artifact_id	parent_corpus_database_id	artifact_role	file_name	sample_kind	sample_status	candidate_parser_family	mirror_local_path	sample_path	estimated_rows_or_members	column_count	columns_preview	pair_signal_count	effect_signal_count	n_signal_count	identity_signal_count	priority_score	parser_priority	recommended_next_stage	routing_basis	queued_at
source_artifact_204687d40fc3fb10	repo_search_osf_ea08e3722d17	data_file	ManyLabsManuscript.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_ea08e3722d17/source_artifact_204687d40fc3fb10__ManyLabsManuscript.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_204687d40fc3fb10.json		0		5	4	9	2	26	low	inspect_code_or_text_for_generated_tables	pair_signals=5; effect_signals=4; n_signals=9; identity_signals=2	2026-05-02T09:17:09
source_artifact_af91e6aeb918c454	repo_search_osf_92e639ac2dc7	data_file	Handout_s23_1_Meissner_Schmauch_Rieckmann.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_af91e6aeb918c454__Handout_s23_1_Meissner_Schmauch_Rieckmann.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_af91e6aeb918c454.json		0		2	1	3	0	23	low	inspect_code_or_text_for_generated_tables	pair_signals=2; effect_signals=1; n_signals=3	2026-05-02T09:17:08
source_artifact_2cabcb5d640e4b39	repo_search_osf_92e639ac2dc7	data_file	Results_s23_1_Meissner_Schmauch_Rieckmann.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_2cabcb5d640e4b39__Results_s23_1_Meissner_Schmauch_Rieckmann.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_2cabcb5d640e4b39.json		0		2	0	1	0	17	low	inspect_code_or_text_for_generated_tables	pair_signals=2; n_signals=1	2026-05-02T09:17:08
source_artifact_3d7d22ab87a56628	repo_search_osf_92e639ac2dc7	data_file	Ausgabe_ANOVA.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_3d7d22ab87a56628__Ausgabe_ANOVA.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_3d7d22ab87a56628.json		0		0	1	2	0	15	low	inspect_code_or_text_for_generated_tables	effect_signals=1; n_signals=2	2026-05-02T09:17:08
source_artifact_6012b6c7bd498507	repo_search_osf_92e639ac2dc7	data_file	Ausgabe_Deskriptive_Statistik_UND_T-est(Lehmann,Litters,Toplar).pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_6012b6c7bd498507__Ausgabe_Deskriptive_Statistik_UND_T-est_Lehmann_Litters_Toplar_.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_6012b6c7bd498507.json		0		0	1	2	0	15	low	inspect_code_or_text_for_generated_tables	effect_signals=1; n_signals=2	2026-05-02T09:17:08
source_artifact_34b37d233c47547f	repo_search_osf_92e639ac2dc7	data_file	Codebuch_s23_1_Meissner_Schmauch_Rieckmann.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_34b37d233c47547f__Codebuch_s23_1_Meissner_Schmauch_Rieckmann.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_34b37d233c47547f.json		0		1	0	0	1	15	low	inspect_code_or_text_for_generated_tables	pair_signals=1; identity_signals=1	2026-05-02T09:17:08
source_artifact_a781f2d617ef762a	repo_search_osf_92e639ac2dc7	data_file	Handout.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a781f2d617ef762a__Handout.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a781f2d617ef762a.json		0		0	1	2	0	15	low	inspect_code_or_text_for_generated_tables	effect_signals=1; n_signals=2	2026-05-02T09:17:08
source_artifact_2c52de8142aff985	repo_search_osf_92e639ac2dc7	data_file	Codebuch_Replikationsstudie.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_2c52de8142aff985__Codebuch_Replikationsstudie.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_2c52de8142aff985.json		0		0	1	0	2	13	low	inspect_code_or_text_for_generated_tables	effect_signals=1; identity_signals=2	2026-05-02T09:17:08
source_artifact_e30e7ef940802565	repo_search_osf_92e639ac2dc7	data_file	Handout_LenaJestrimski_SelinBayram.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_e30e7ef940802565__Handout_LenaJestrimski_SelinBayram.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_e30e7ef940802565.json		0		0	0	2	2	12	low	inspect_code_or_text_for_generated_tables	n_signals=2; identity_signals=2	2026-05-02T09:17:08
source_artifact_101e9ade0c276f95	repo_search_osf_92e639ac2dc7	data_file	Questionnaire_s23_1_Brueckner_Bojic_Kohse_Frey.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_101e9ade0c276f95__Questionnaire_s23_1_Brueckner_Bojic_Kohse_Frey.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_101e9ade0c276f95.json		0		0	1	0	0	10	low	inspect_code_or_text_for_generated_tables	effect_signals=1	2026-05-02T09:17:08
