RCT_ID,Title,Url,Status,First registered on,Analysis Plan Documents,Country names,Keywords,Primary outcome end points,Sample size number clusters,Sample size number observations,Number of clusters,Total number of observations,Relevant papers for csv,Public data url,Program files url,candidate_status,row_rescue_recommendation,strict_blocker
AEARCTR-0003994,A Pair-Matched Randomized Evaluation of Faith-Based Couples Counseling in Uganda,http://www.socialscienceregistry.org/trials/3994,completed,2019-03-11,"March 11, 2019; June 08, 2019; November 15, 2019",Uganda (Western Region),"[""crime_violence_and_conflict"", ""gender"", ""intimate partner violence"", ""violence against women"", ""counseling"", ""couples counseling""]","Our main analyses focus on four outcomes that combine many theoretically-related measures:

1. Intimate Partner Violence. A binary indicator that is 1 if the female partner has experienced any of ten types of physical or sexual violence over the five months preceding the midline survey, and 0 otherwise. We expect that the ITT effect is negative and so will conduct a one-sided (lower-tailed) test.

2. Control and Decision-Making. An index of several groups of items, each of which is coded to vary between 0 and 1. The groups include decision-making about household finances and purchasing decisions, financial control, and social control. When at 0, this implies the female partner experiences all forms of financial and social control, and both partners perceive her to be excluded from all decision-making. When it is at 1, this implies the female partner does not report experiencing any forms of financial or social control, and is involved in all aspects of decision-making. We expect that the ITT effect is positive, and will conduct an upper-tailed test of the null hypothesis.

3. Sexual Consent and Autonomy. An index of items, mostly answered by the female partner but one answered by the male partner, about whether the male partner takes a non-coercive strategy when his partner refuses sex, and how the female partner feels about her control over decisions about and initiation of sex. The responses are coded to vary between 0 and 1. When the index is at 0, this implies that the female partner reports sexual coercion across all of the domains, and that the male partner reports coercive behavior. When it is at 1, this implies the absence of coercion.

4. Communication and Conflict Management Techniques. An index of items addressing a broad range of domains of communication, answered by both female and male partners. The domains include communication about sex, about daily events and companionship, and techniques for de-escalation when arguing about difficult topics. When the index is at 0, this implies that the partners agree that they have had no supportive or open communication or techniques for peaceful or de-escalating communication across many domains. When it is at 1, this implies the partners agree that they communicate with supportive or open communication or techniques for peaceful or de-escalating communication across all the domains.
",1680 couples in 140 congregations,"3,360 individuals",1680 couples,3360 individuals,"Abstract: Violence committed by men against women in intimate relationships is a pervasive problem around the world. Patriarchal norms that place men as the head of household are often to blame. Previous research suggests that trusted authorities can shift perceptions of norms and create behavior change. In many settings, a compelling authority on behavior in relationships is religious leaders, who are influential sources of information about proper conduct in relationships and gatekeepers of marriage, but may also uphold traditional gender roles. One way leaders exert their influence is through premarital or couples counseling courses. In this study, we test whether, if given an opportunity to offer a more progressive religious interpretation of gender roles during these courses, religious leaders could motivate men to share power and thereby reduce violence. Building on existing faith networks of Christian religious leaders in western Uganda, we conducted a large pair-matched, randomized controlled trial among 1,680 heterosexual couples in which participants were randomized to attend a 12-session group counseling course or wait-listed. We find that the program shifted power from men to women and reduced intimate partner violence by five percentage points, comparable with more intensive secular programs. These improvements were largest among couples counseled by religious leaders who held the most progressive views at baseline and who critically engaged with the material. Our findings suggest that religious leaders can be effective agents of change for reducing violence.
Citation: Boyer, C., Levy Paluck, E., Annan, J., Nevatia, T., Cooper, J., Namubiru, J., Heise, L., & Lehrer, R. (2022). Religious leaders can motivate men to cede power and reduce intimate partner violence: Experimental evidence from Uganda. Proceedings of the National Academy of Sciences, 119(31), e2200262119. https://doi.org/10.1073/pnas.2200262119

URL: https://doi.org/10.1073/pnas.2200262119
",https://doi.org/10.7910/DVN/9TEAIV,https://doi.org/10.7910/DVN/9TEAIV,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0004714,Spillovers of Payments for Ecosystem Services: Follow-up of a RCT in Uganda,http://www.socialscienceregistry.org/trials/4714,completed,2019-10-02,Private,Uganda (Western Region),"[""environment_and_energy"", ""Payments for Ecosystem Services"", ""PES"", ""Uganda"", ""forest conservation"", ""deforestation"", ""spillovers"", ""crowding-out""]","1) social preferences
2) environmental preferences
3) forest sharing behavior
4) social norms related to forest sharing behavior
5) human-wildlife conflicts
6) attitude towards chimpanzee conservation
7) hypothetical enrollment in a PES program

The primary outcomes are planned to be analyzed in separate publications. Paper 1: Outcomes 1, 3, 4; Paper 2: Outcome 2; Paper 3: Outcome 5,6;  Paper 4: Outcome 7","original RCT: 136 villages, follow-up: 121 villages","1210 land owners in total: 726 forest owners (at the start of the intervention), 484 neighbors of forest owners",119,753 households,"Abstract: Payments for ecosystem services (PES) are increasingly being implemented worldwide as conservation instruments that provide conditional economic incentives to landowners for a prespecified duration. However, in the psychological and economic literature, critics have raised concerns that PES can undermine the recipient’s intrinsic motivation to engage in pro-environmental behavior. Such “crowding out” may reduce the effectiveness of PES and may even worsen conservation outcomes once programs are terminated. In this study, we harnessed a randomized controlled trial that provided PES to land users in Western Uganda and evaluated whether these incentives had a persistent effect on pro-environmental behavior and its underlying behavioral drivers 6 y after the last payments were made. We elicited pro-environmental behavior with an incentivized, experimental measure that consisted of a choice for respondents between more and less environmentally friendly tree seedlings. In addition to this main outcome, survey-based measures for underlying behavioral drivers captured self-efficacy beliefs, intrinsic motivation, and perceived forest benefits. Overall, we found no indications that PES led to the crowding out of pro-environmental behavior. That is, respondents from the treatment villages were as likely as respondents from the control villages to choose environmentally friendly tree seedlings. We also found no systematic differences between these two groups in their underlying behavioral drivers, and nor did we find evidence for crowding effects when focusing on self-reported tree planting behavior as an alternative outcome measure.
Citation: Vorlaufer, Tobias, Stefanie Engel, Joost de Laat, and Björn Vollan. 2023. ‘Payments for Ecosystem Services Did Not Crowd out Pro-Environmental Behavior: Long-Term Experimental Evidence from Uganda’. Proceedings of the National Academy of Sciences 120 (18): e2215465120. https://doi.org/10.1073/pnas.2215465120.

URL: https://doi.org/10.1073/pnas.2215465120
Abstract: Conservation policies and programs may trigger unintended, potentially irreversible, changes that were initially not anticipated. Concerns have been raised that the introduction of payments for environmental services (PES) fosters the privatization of natural ecosystems to the detriment of marginalized groups. We assess the long-term impacts of PES on sharing of access to natural resources, associated norms, and social preferences. The studied PES program was implemented as a randomized control trial in western Uganda. Using survey and experimental data collected six years after the last payments were made, we find that the PES program did not lead to a lasting shift in resource sharing practices but did induce stronger social norms for resource sharing. Moreover, landowners in former PES villages exhibit more egalitarian social preferences than landowners in control villages. These results highlight that despite introducing unequal conservation benefits to communities, long-lasting negative spillovers of PES could be avoided.
Citation: Vorlaufer, Tobias, Joost de Laat, and Stefanie Engel. 2023. ‘Do Payments for Environmental Services Affect Forest Access and Social Preferences in the Long Run? Experimental Evidence from Uganda’. Journal of the Association of Environmental and Resource Economists 10 (2): 389–412. https://doi.org/10.1086/721440.

URL: https://doi.org/10.1086/721440
",http://doi.org/10.17605/OSF.IO/Q4YEM,http://doi.org/10.17605/OSF.IO/Q4YEM,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0004717,"Exploring the continuum between public and private goods: Bidding for soil fertility information in Malawi
",http://www.socialscienceregistry.org/trials/4717,completed,2019-09-17,Private,Malawi (),"[""agriculture"", ""environment_and_energy""]",Individual and collective contributions (in Malawian Kwacha) towards purchase of a soil fertility test from a maize plot and accompanying management recommendations,30 villages in the public goods game,600 individuals (20 per village),30 villages.,600 farmers.,"Abstract: We examine the relationship between soil heterogeneity and investment in learning among farmers in Malawi using an experimental approach. Soil heterogeneity may both impede social learning and encourage experimentation. In our experiment, farmers contribute towards the purchase of a single soil test in the village in a threshold public goods game. This soil test provides farmers with valuable and actionable information. By randomly varying the plot selected for soil testing we establish the role of soil heterogeneity. We find that farmers contribute more when they perceive soils to be more similar to their own plot, but also free ride on others whose soils they perceive as similar. This free riding increases in larger groups of farmers with similar soils. Despite this, all villages consistently contribute enough to purchase the soil test.
Citation: Berazneva, Julia, Annemie Maertens, Wezi Mhango, and Hope Michelson. 2023. “Paying for Agricultural Information in Malawi: The Role of Soil Heterogeneity.” Journal of Development Economics 165 (October): 103144.
URL: https://doi.org/10.1016/j.jdeveco.2023.103144
",https://doi.org/10.7910/DVN/ALKOCV,https://doi.org/10.7910/DVN/ALKOCV,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0004846,"Does self-reflection, professional skills, or cash lead to the highest socio-emotional and economic gains for women in Rwanda?",http://www.socialscienceregistry.org/trials/4846,completed,2019-10-14,Private,Rwanda (Nyagisozi and Cyahinda sectors of Nyaruguru district),"[""gender"", ""governance"", ""leadership"", ""psychology of poverty""]","Socio-emotional: self-advocacy, number of leadership positions currently held, connections within cooperatives, connections within the home and village, problem solving, effective communication.
Economic: estimated income, likelihood of working for money, marginal utility of expenditure.",451 women.,"We will have 451 individuals observed in each of three survey rounds, plus 308 women observed in the post workshop survey.",456 women,456 women,"Abstract: Despite growing evidence on the determinants of psychosocial wellbeing, we know comparatively little about the impacts of different types of interventions on psychosocial versus economic outcomes. We conduct a randomized control trial in Rwanda that benchmarks two programs against an unconditional cash transfer, implemented in conjunction with existing anti-poverty interventions. The first is psychologically-targeted and focuses on promoting personal agency: self-confidence, sense of value, and social status. The second program targets specific skills: goal setting, public speaking, and networking. The psychologically-targeted intervention leads to significant improvements across a range of psychosocial outcomes, but no economic gains relative to the cash transfer. By contrast, the skills-based program improves economic outcomes but not psychosocial wellbeing. Our results suggest that well-designed, low-cost programs can outperform cost-equivalent cash transfers in terms of impacts on psychosocial and economic outcomes.
Citation: Megan Lang, Edward Soule, and Catherine Tinsley. ""Psychology, Skills, or Cash?"" 2021.
URL: https://www.google.com/url?q=https%3A%2F%2Fwww.dropbox.com%2Fs%2F9hvrdc5dw1hksmf%2FResonate.pdf%3Fdl%3D0&sa=D&sntz=1&usg=AFQjCNG2KNoUQwF0a9xdpmFm7tTF8IWy0w
",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7WCTBP,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7WCTBP,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0005055,China's effect on attitudes towards aid in New Zealand,http://www.socialscienceregistry.org/trials/5055,completed,2019-11-18,Private,New Zealand (Pacific),"[""governance"", ""Aid"", ""Public Opinion"", ""Aid Policy""]","There are three main outcomes of interest. These are:
1) Desire for level of New Zealand's aid spending to be changed.
2) What the purpose of New Zealand's aid should be (helping developing countries or advancing New Zealand’s interests).
3) Whether New Zealand's aid to the Pacific should increase as a share of New Zealand's total aid spending.",,1200,,"1147, Individual","Abstract: Abstract
China’s rise is ushering in a new era of geostrategic contestation involving foreign aid. In
many traditional OECD donors, aid policy is changing as a result. We report on a survey
experiment studying the impacts of rising Chinese aid on public opinion in traditional
donors. We randomly treated people with vignettes emphasising China’s rise as an aid
donor in the Pacific, a region of substantial geostrategic competition. We used a large,
nationally-representative sample of Australians (Australia is the largest donor to the
Pacific). As expected, treating participants reduced hostility to aid and increased support
for more aid focused on the Pacific. Counter to expectations, however, treatment reduced
support for using aid to advance Australian interests. These findings were largely replicated
in a separate experiment in New Zealand. Knowledge of Chinese competition changes support
for aid, but it does not increase support for using aid as a tool of geostrategy.
Citation: Wood, T., Hoy, C., & Pryke, J. (2020). The Effect of Geostrategic Competition on Public Attitudes to Aid. Journal of Experimental Political Science, 8(3), 285-295. https://doi.org/10.1017/XPS.2020.27
URL: https://doi.org/10.1017/XPS.2020.27
",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3VVWPL,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3VVWPL,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0005247,"Community advocacy forums and public service delivery - Impact, and the role of information, deliberation, and administrative placement",http://www.socialscienceregistry.org/trials/5247,completed,2020-01-08,"January 08, 2020",Uganda (National),"[""agriculture"", ""education"", ""governance"", ""health"", ""community based monitoring"", ""public service delivery"", ""administrative placement"", ""information"", ""deliberation""]","We assess the impact of the baraza intervention on a range of outcomes related to agriculture, health, education, and infrastructure. For each sector, key outcomes are definded, and combined into sector level indices, and in a single index following Anderson (2008). For agriculture, a first outcome looks at access to extension at home. In particular, we estimate the percentage of households in our sample who report that they were visited by an expert (e.g. crop or livestock extension agent, or community based facilitator or another experienced farmer) at the home in the last 12 months (the variable named “baraza.B2” in the end-line questionnaire). Second, we consider the proportion that reports visiting extension offices, demonstration sites or model (baraza.B3 or baraza.B3.3). A third outcome variable is the presence of NAADS/OWC supported farmer groups is also a useful indicator of agricultural service delivery in Uganda (baraza.B4.1). Further down impact pathway is actual change in the use of modern inputs by farmers in areas where agricultural related services are improved as a consequence of the baraza interventions. For instance, we also estimate the proportion of households in our sample that report to have used inorganic fertilizers (DAP, Urea, NPK, Foliar, TSP, SSP, MOP) or improved seed in the last 12 months (baraza.B1 or baraza.B1.5). We also include two outcomes that look at public services related to crop marketing. First, we estimate the proportion of households in our sample that report they received help in marketing their produce from the village procurement committee/village farmers forum in the last 12 months. (baraza.B5.2) Second, we ask a similar question to assess the proportion of households in our sample that report they received help in marketing their produce from a cooperative or association in the last 12 months. (baraza.B5.3).
For Infrastructure, a first outcome we consider is whether the household uses unprotected water source during dry season (yes/no). This is measured as the share of households that report that the main source of drinking water during the dry season is rain water, surface water, water obtained from a tube well or borehole, an unprotected dug well or and unprotected spring. (baraza.C1). Next, we look at the distance to the primary water source (baraza.C1.2) and waiting time at the water source (baraza.C1.3), both during the dry season. We also ask if there is a water user committee in the village (baraza.C2.3). We include one question related to road infrastructure. We ask how far the household is located from the nearest all weather road (in km; baraza.A6).
For the health sector, the first two outcomes we consider attempt to assess changes in access or use of public health facilities. A first indicator measures the use of public health facilities for illness. In particular, we construct an indicator that is true if the household head responds that treatment would be sought in a health center 2, 3, 4 or in a regional referral hospital if a member of your household had fever (baraza.D2). A similar indicator attempts to assess the use of the public health system for maternal health care, and asks if treatment would be sought in a health center 2, 3, 4 or in a regional referral hospital if a member of your household was to give birth (baraza.D2.4). Next, we ask if a Village Health Team is present in the village (baraza.D3). We also consider distance to the nearest government health facility, measured in km (baraza.D4.2). We then ask whether any household members were unable to work or go to school due to an illness in the past one year (baraza.D1). We then ask how long did you have to wait before being attended (in min) (baraza.D4.6). Finally, we ask if a traditional health practitioner was visited in the last year (baraza.D6).
For the education sector, impact is assessed by the following outcomes:  the number of children within the households that attend public school (either Universal Primary Education (UPE; baraza.E1.2) or Universal Secondary Education (USE; baraza.E2.1)); distance to primary or secondary school (or the average if both are reported; baraza.E1.2 and baraza.E2.2); whether the primary or secondary school attended by any of their children has a complete boundary fence (baraza.E1.4 and baraza.E1.4); and whether there is a water source available in the school (baraza.E1.6 and baraza.E2.6). We also look at how the school is managed, and how stakeholders are involved. For instance, we look at whether the school has a School Management Committee (SMC) (baraza.E1.10 for primary schools, baraza.E2.10 for secondary schools) and consider the percentage of households that are informed about SMC meetings (baraza.E1.13 and baraza.E2.13). Finally, we ask households if an inspector had visited the school in the year before the survey (baraza.E1.18 and baraza.E2.18).",230,"11,500",146 sub-counties,7300,"Abstract: To improve public service delivery, the Government of Uganda organizes community forums-popularly known as barazas-where citizens receive information from government officials, and get the opportunity to directly engage with them. We run a cluster randomized control trial to assess the impact of this policy intervention on public service delivery in agriculture, health, education, and infrastructure. Using a factorial design, we further test the relative importance of the two main components of the intervention-information provision and citizen engagement. we also compare the effectiveness of barazas organized at the district level to the effectiveness of barazas organized at the sub-county level. Using a strictly pre-registered confirmatory analysis, we find no impact of the intervention on general public service delivery, but there are some indications that sub-county level barazas increase outcomes in the agricultural sector. A more exploratory part that looks at individual outcomes, potential mechanisms, and heterogeneous treatment effects suggests localized impacts of barazas in the areas of agricultural extension services and agricultural input distribution, access to drinking water, and school enrolment and infrastructure.
Citation: Kabunga, Nassul Ssentamu; Miehe, Caroline; Mogues, Tewodaj; and Van Campenhout, Bjorn. 2020. Community based monitoring and public service delivery: Impact, and the role of information, deliberation, and jurisdictional tier. IFPRI Discussion Paper 1933. Washington, DC: International Food Policy Research Institute (IFPRI). https://doi.org/10.2499/p15738coll2.133751
URL: https://www.ifpri.org/publication/community-based-monitoring-and-public-service-delivery-impact-and-role-information
",https://github.com/bjvca/baraza/tree/master/data/public,https://github.com/bjvca/baraza/tree/master/report,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0005772,The Voice of the Emperor and Personalized Messages during the COVID-19 Pandemic,http://www.socialscienceregistry.org/trials/5772,completed,2020-04-27,"April 27, 2020",Japan (),"[""governance"", ""welfare"", ""Information provisions"", ""personalized messages"", ""the Voice of the Emperor"", ""COVID-19"", ""self-restraint behavior""]","1. hours of outings
2. hours of outings for unnecessary purposes
","3,500 individuals","3,500 individuals",,,"Abstract: A randomized survey experiment (N = 2,868) was conducted at the onset of the COVID-19 pandemic to examine the effects of information provision on individuals’ cooperation with stay-home activities. Employing a 2 × 2 factorial design, the study examined the influence of social comparison and a powerful messenger. Using an online sample of approximately 3,000 Japanese respondents, it was found that participants demonstrated greater cooperation with stay-home activities when they perceived that they had spent a relatively long time outside the home compared with prevailing social norms in the previous week. Conversely, individuals who spent a relatively short time outside the home exhibited the opposite effect. However, these results were observed solely in conjunction with the influence of a powerful messenger. The study also explored heterogeneous responses based on personality traits. In conclusion, the results highlight the challenges of changing behavior through informational interventions, emphasizing the role of both the characteristics of the sender and recipient of the information.
Citation: Kitamura, S. and K. Yamada (2023). The constructive and destructive power of social norms in the presence of authoritative influence. American Psychologist.
URL: https://psycnet.apa.org/fulltext/2024-37960-001.html
",https://osf.io/tejmf/?view_only=4af5b3f76ce743eea903382f8143866c,https://osf.io/tejmf/?view_only=4af5b3f76ce743eea903382f8143866c,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0006090,CSI in the tropics: Experimental evidence of improved public service delivery through coordination,http://www.socialscienceregistry.org/trials/6090,completed,2020-06-29,"June 26, 2020",Colombia (),"[""crime_violence_and_conflict"", ""Crime"", ""Homicides"", ""Team work"", ""Public sector.""]","Our main outcomes are actions and decisions taken by the CSIs, detectives, and the prosecution. We use the Prosecution Office outcomes to measure performance: indictment, bill of charges, sentence and conviction rates.",668 shifts,Close to 1500 cases,,"1,683 homicide cases","Abstract: This paper evaluates the impacts of increased coordination, accountability, and leadership among teams of responsible public officials, with evidence from homicide investigations in Colombia. We randomly assigned the investigations of 66% of the 1,683 homicides occurring in Bogotá, Colombia, during 2016 to a new investigation procedure emphasizing these features. We find a statistically significant 30% increase in the conviction rate in the treatment group relative to the control group. Indicators of the quality of the investigative process also improve, as well as the rate at which a formal accusation is presented before a court. Complementary findings suggest that the treatment produces well-coordinated teams that can communicate more fluently. Also, a survey of investigative team members reveals that work motivation, the extent to which they receive feedback on their performance, the pertinence and effectiveness of their roles, and the perceived quality and coordination of the team all improve under the new scheme.
Citation: Daniela Collazos & Leopoldo Fergusson & Miguel La Rota & Daniel Mejía & Daniel Ortega, 2020. ""CSI in the tropics Experimental evidence of improved public service delivery through coordination,"" Documentos CEDE 2020-20, Universidad de los Andes - CEDE.
URL: https://ideas.repec.org/p/col/000089/018206.html
",,https://www.dropbox.com/s/88r0ba124k181lk/DoFiles%20CSI%20BOG.zip?dl=0,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0006271,"Unconditional cash transfers in Kiryandongo refugee settlement, Uganda",http://www.socialscienceregistry.org/trials/6271,completed,2020-08-11,"August 06, 2020",Uganda (Kiryandongo District),"[""other"", ""welfare"", ""Social Protection"", ""Unconditional Cash Transfers"", ""Protracted Displacement"", ""Refugees"", ""Humanitarian Sector""]","The primary outcome is the economic well-being of our households. This will be measured using three primary indicators:
1) Household consumption, 2) Household assets (including savings and loans), and 3) Agricultural and non-agricultural business revenue",Design not clustered,"The treatment group consists of refugee households in cohorts 1 and 2 who will have received their cash transfer before the endline survey (note that we may add some households from cohort 3 to the treatment group if non-compliance or attrition cause statistical power to dip to unacceptable levels). The control group consists of a random sample of households from cohorts 17-20 who will have not yet received their cash transfer at the endline survey. There are no additional criteria beyond being a GiveDirectly cash transfer recipient, the assignment to treatment timing through GiveDirectly’s public randomization, and the ability and willingness to provide informed consent to participate in the study.

Prior to the lottery process, we planned to sample approximately 1500 households (750 treatment, 750 control). This would have resulted in a minimal detectable effect size (MDES) of 0.145 SDs with 80% power. This effect size is less than the 0.18 SD effect of business revenue observed in a previous GiveDirectly evaluation (Haushofer and Shapiro 2016). IDinsight has powered the study on business outcomes, as the smallest effect size is expected for business outcomes compared to other outcomes of interest.

During baseline data collection, IDinsight learned that some physical households will receive more than one cash transfer. This is because cash transfers will be made based on a list of households as registered with UNHCR. However, the group of people that live together and the “household” registered with UNHCR are not always the same. This would be problematic for the study as some of our control households live with family members who will receive a cash transfer before our endline survey, essentially meaning these control households will be treated. Such “spillover” households in the control group, as well as equivalent households from the treatment group, were therefore dropped from the study. As a result of both the issue of multiple transfers per household and challenges locating some of the sampled households, our sample size dropped to 1264 at baseline.","1,090","1,090","Abstract: Refugees in protracted displacement are often limited in their opportunities for income-generating activities and investments, making them dependent on aid for meeting basic needs. In the context of stretched humanitarian aid budgets, it is a necessary policy question to determine ways to increase refugees’ self-reliance. In this study, we combine a randomized controlled trial with extensive longitudinal qualitative data to explore the multidimensional impacts of a large, one-time, unconditional transfer of 1,000 USD to households of predominantly South Sudanese refugees living in protracted displacement in Uganda. Estimated after 19 months, we find that the transfer significantly increased households’ consumption, asset values, business ownership, business revenue, psychological well-being, and self-reliance. We find positive but insignificant effects on food security, migration, employment, or female empowerment. Overall, a large one-time cash transfer given in the context of shocks has multidimensional improvements in refugees’ lives, providing meaningful movement towards self-reliance.
Citation: Prankur Gupta, Daniel Stein, Kyla Longman, Heather Lanthorn, Rico Bergmann, Emmanuel Nshakira-Rukundo, Noel Rutto, Christine Kahura, Winfred Kananu, Gabrielle Posner, K.J. Zhao, Penny Davis, Cash transfers amid shocks: A large, one-time, unconditional cash transfer to refugees in Uganda has multidimensional benefits after 19 months, World Development, Volume 173, 2024, 106339, ISSN 0305-750X, https://doi.org/10.1016/j.worlddev.2023.106339.
URL: https://www.sciencedirect.com/science/article/abs/pii/S0305750X23001572?dgcid=coauthor
Abstract: Objectives: In this paper, we estimate the impact after 4–8 months of a large one-off unconditional cash transfer delivered to refugees during a time of dual shocks: the COVID-19 pandemic and cuts to monthly aid. We focus on four key outcomes: (1) health-seeking behaviour; (2) COVID-19 specific preventive health practices; (3) food security and (4) psychological well-being.

Methods: We use both quantitative and qualitative data to understand the impact of a cash transfer in this context. Quantitatively, we use a baseline survey of 1200 households (Q4 2019) and follow-up with three rounds of phone surveys in Q2 and Q3 2021, capturing at least half the sample in each round. We exploit an experimental variation in the timing of the cash transfer to assess the effect of the cash transfer through ordinary least squares regressions of intention to treat. Controlling for key baseline characteristics, we analyse the effect of the cash transfer on health access, COVID-19 health practices, food security and psychological well-being. Qualitatively, we make use of a longitudinal, small-n sample of refugee respondents, each of whom we interviewed up to 15 times between February and September 2020 to understand change over time and to go deeper into key topics.

Results: We do not find a statistically significant effect (6.2%, p=0.188) of receiving the cash transfer on preventative measures against COVID-19. However, households receiving the cash transfer were more food secure, with a 14.4% (p=0.011) improvement on the food security index, have better psychological well-being (24.5%, p=0.003) and are more likely to seek healthcare in the private health facilities (10.4%, p=0.057) as compared with control households. We do not find significant results on the value of food consumption. Overall, we find stronger treatment effects for households that were the first to receive the cash transfers.

Conclusion: Taken together, we find significant support for the importance of cash transfers to refugee households mitigating against declines in food security and mental well-being in the face of shocks.
Citation: Stein D, Bergemann R, Lanthorn H, et al Cash, COVID-19 and aid cuts: a mixed-method impact evaluation among South Sudanese refugees registered in Kiryandongo settlement, Uganda BMJ Global Health 2022;7:e007747.
URL: https://doi.org/10.1136/bmjgh-2021-007747
",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XBVYXA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XBVYXA,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0006307,"Information Constraints and Preventive Behavior amongst COVID-19 Risk Groups in Khyber Pakhtunkhwa, Pakistan",http://www.socialscienceregistry.org/trials/6307,completed,2020-08-18,Private,Pakistan (Khyber Pakhtunkhwa),"[""health"", ""COVID-19"", ""health insurance"", ""information campaign"", ""risk group behavior""]",Uptake of preventive practices,,Intervention sample: 21500; Interview target: 2500,,,"Abstract: Preventing infections is crucial for population groups that are at higher risk to experience a
complicated disease course and have limited access to healthcare. Our research with low-
income households from Pakistan first documents gaps in knowledge and individual preventive
practices in the context of the COVID-19 pandemic, despite pervasive public information
campaigns. Second, using a randomized experiment, we evaluate whether a more targeted
and personalized SMS information campaign exploiting administrative health records could
contribute to narrowing this gap. We find that the intervention helped the at-risk population to
adhere to higher levels of handwashing in the time between the first and second wave of
infections, and all message recipients were more than twice as likely to use tele-medical
services compared to the control group.
Citation: Rogge, Lisa; Khan, Sheraz Ahmad; Khan, Zohaib; Noon, Muhammad Jawad; Landmann, Andreas; Vollmer, Sebastian; 2021, ""The Effect of Personalized Health Information on Preventive Behavior amongst COVID-19 Risk Groups: a Randomized Experiment in Pakistan"", Courant Research Centre Discussion Papers No. 289
URL: http://www2.vwl.wiso.uni-goettingen.de/courant-papers/CRC-PEG_DP_289.pdf
",,https://data.goettingen-research-online.de/dataset.xhtml?persistentId=doi:10.25625/VZJAFY,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
