point_id,nct_id,D,N,registered_result_rows,primary_rows,secondary_rows,other_prespecified_rows,conversion_methods,field,field_label,source_family,study_type,allocation,phases,overall_status,primary_completion_date,results_first_submit_date,lead_sponsor_class,intervention_types,outcome_title,source_url,row_unit,log10_N,log10_D
ctgov_api_trial_median_05449,NCT03702010,0.16772986723345693,27.0,11,4,7,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,NA,COMPLETED,2020-07-01,,OTHER,DEVICE,Comparing Visual Analogue Scale (VAS),https://clinicaltrials.gov/study/NCT03702010,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.4313637641589874,-0.7753895967872395
ctgov_api_trial_median_05450,NCT03703102,0.6303505991291616,109.0,4,4,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2020-02-06,,INDUSTRY,DRUG,Percent Change From Baseline to Week 16 in Eczema Area and Severity Index (EASI) Score,https://clinicaltrials.gov/study/NCT03703102,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.037426497940624,-0.20041783004623742
ctgov_api_trial_median_05451,NCT03703336,0.2043822441296688,402.0,2,0,2,0,event_count_or_to_d_from_percent_measure,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2020-01-08,,OTHER_GOV,BIOLOGICAL,Percentage of Participants With Seroconversion 28 Days After the Second Vaccination,https://clinicaltrials.gov/study/NCT03703336,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.60422605308447,-0.6895568365777269
ctgov_api_trial_median_05452,NCT03704064,0.2393937763634311,105.0,57,1,56,0,chinn_log_odds_ratio_to_d; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,NA,COMPLETED,2021-07-26,,OTHER,BEHAVIORAL,Percent Weight Change at Week 72,https://clinicaltrials.gov/study/NCT03704064,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.0211892990699383,-0.6208871443479588
ctgov_api_trial_median_05453,NCT03707821,0.3215151816264503,246.0,1,1,0,0,event_count_or_to_d_from_percent_measure,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,NA,COMPLETED,2018-11-01,,INDUSTRY,DEVICE,Vision Satisfaction in Bright Lighting,https://clinicaltrials.gov/study/NCT03707821,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.3909351071033793,-0.4927985153029728
ctgov_api_trial_median_05454,NCT03707912,0.13325734748068996,203.0,9,1,8,0,event_count_or_to_d_from_count_measure; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE4,COMPLETED,2019-03-15,,INDUSTRY,DRUG,Time to Resolution of Acute Respiratory Viral Infection (ARVI) Symptoms.,https://clinicaltrials.gov/study/NCT03707912,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.307496037913213,-0.8753088357171739
ctgov_api_trial_median_05455,NCT03709823,0.514001807082689,78.0,9,9,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2019-04-23,,INDUSTRY,BEHAVIORAL; DRUG,Primary Efficacy Analysis of Primary Outcome Measure: Percentage of Expected Cigarettes Smoked Per Participant During Study Treatment,https://clinicaltrials.gov/study/NCT03709823,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.8920946026904804,-0.2890353541474079
ctgov_api_trial_median_05456,NCT03710564,0.06478674263460915,535.0,1,1,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,TERMINATED,2020-12-21,,INDUSTRY,BIOLOGICAL,Change From Baseline in Best-Corrected Visual Acuity (BCVA) at Week 52,https://clinicaltrials.gov/study/NCT03710564,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.7283537820212285,-1.188513855081335
ctgov_api_trial_median_05457,NCT03711162,0.053767414835780555,334.0,22,2,20,0,chinn_log_hazard_ratio_to_d; chinn_log_odds_ratio_to_d; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,TERMINATED,2021-03-30,,INDUSTRY,DRUG,Annual Rate of Decline in FVC up to Week 52,https://clinicaltrials.gov/study/NCT03711162,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.5237464668115646,-1.2694808441169931
ctgov_api_trial_median_05458,NCT03712124,0.6512950261939767,21.0,2,2,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2019-09-08,,INDUSTRY,DRUG,Change From Baseline (Day 1) in Maximal Tolerated Volume Consumed During the Nutrient Satiety Test at Day 14,https://clinicaltrials.gov/study/NCT03712124,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.3222192947339193,-0.18622223843079708
