point_id,plot_name,source_layer,source_family,source_label,citation_key,row_unit,unit_id,row_label,D,N,support_or_significance,source_file,source_row_number,study_type,allocation,trial_phase,completion_year,outcome_type,outcome_id,p_value,method,param_type,param_value,phase_2plus_flag,admission_reason,log10_N,log10_D,two_sample_p05_boundary_D,above_two_sample_p05_curve
ctgov_primary_randomized_00925,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00827983,Ongoing Pregnancy Rate at the End of the Study,0.0686051999089932,683.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,65482,Interventional,Randomized,Phase 3,2011.0,Primary,1,0.37,Chi-squared,Difference in pregnancy rates,-3.1,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.8344207036815323,-1.16364296583557,0.14999187524495144,False
ctgov_primary_randomized_00926,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00828191,Ongoing Pregnancy Rate,0.045491389879854,800.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,65495,Interventional,Randomized,Phase 3,2012.0,Primary,1,0.52,Fisher Exact,Difference in pregnancy rates,-2.5,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.9030899869919438,-1.3420707941454246,0.13859038243496777,False
ctgov_primary_randomized_00927,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00829244,Number of Oocytes Retrieved Per Participant,0.2949715828764043,200.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30647,Interventional,Randomized,Phase 4,2010.0,Primary,1,0.037,ANOVA,Mean Difference (Final Values),-1.7,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.3010299956639813,-0.5302198212910781,0.27718076486993554,True
ctgov_primary_randomized_00928,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00830167,Change From Baseline for Numerical Rating Scale (NRS) Pain Scores at Endpoint-LOCF (Last Observation Carried Forward) Relative to Baseline,0.253970052069219,498.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30691,Interventional,Randomized,Phase 3,2011.0,Primary,1,0.0046,ANCOVA,Mean Difference (Final Values),-0.44,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.6972293427597176,-0.5952174919938166,0.17565617247700147,True
ctgov_primary_randomized_00929,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00831779,Adjusted Mean Percent Change From Baseline in Insulin Sensitivity at Week 12 (Last Observation Carried Forward [LOCF]),0.5112727138000752,116.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30687,Interventional,Randomized,Phase 2,2010.0,Primary,1,0.0059,ANOVA,Mean Difference (Final Values),19.97,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.0644579892269186,-0.29134738459064025,0.3639561749240074,True
ctgov_primary_randomized_00930,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00834106,Entire Study: Combined Incidence of CIN2+ Related to HPV Types 16 or 18 in 20 to 45 Year Old Participants (End of Study Test of Hypothesis),0.0980337941311201,3006.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30676,Interventional,Randomized,Phase 3,2016.0,Primary,3,0.0072,"Exact test, 1-sided",Vaccine efficacy,100.0,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,3.4779889762508893,-1.008624188851161,0.07149630515597935,True
ctgov_primary_randomized_00931,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00838682,Rebleeding Within 3 Days,0.3807370617826333,106.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,5759,Interventional,Randomized,Phase 4,2009.0,Primary,1,<0.05,Fisher Exact,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.0253058652647704,-0.4193748459482675,0.38073706178263317,True
ctgov_primary_randomized_00932,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00842712,Randomized Part: Progression Free Survival (PFS) Time - Independent Read,0.2265236160455352,232.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,65672,Interventional,Randomized,Phase 2,2013.0,Primary,2,0.0845,Log Rank,Hazard Ratio (HR),0.718,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.3654879848909,-0.6448865142533151,0.2573558793434829,False
ctgov_primary_randomized_00933,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00843492,Number of Participants With Venous Thromboembolism (VTE) or Death up to the Time of Complete Mobilization,0.1790472868468069,1351.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,5975,Interventional,Randomized,Phase 3,2010.0,Primary,1,<0.001,Fisher Exact,Odds Ratio (OR),0.3,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,3.130655349022031,-0.747032255586945,0.10664743440338105,True
ctgov_primary_randomized_00934,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00843882,Proportion of Patients With Major Erythroid Response (MER),0.3662660919932643,247.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30818,Interventional,Randomized,Phase 3,2023.0,Primary,1,0.004,Fisher Exact,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.392696953259666,-0.4362032853809033,0.24941904386882585,True
ctgov_primary_randomized_00935,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00844480,Bone Mass Density (BMD) at Total Hip,1.0526484522256063,17.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30820,Interventional,Randomized,Phase 2,2016.0,Primary,1,0.03,"t-test, 2 sided",,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.2304489213782739,0.022283356228405986,0.9507221800782473,True
ctgov_primary_randomized_00936,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00844857,Change From Baseline in the Children's Depression Rating Scale Revised (CDRS-R) Total Score at Week 8,0.3479437564359734,291.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30800,Interventional,Randomized,Phase 4,2012.0,Primary,1,0.003,Mixed Models Analysis,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.4638929889859074,-0.4584909521556949,0.22979024712283044,True
