source_dataset,project,pair_id,original_title,replication_title,original_doi,replication_doi,outcome,D_original,N_original,D_replication,N_replication,original_sig_05,replication_sig_05,n_ratio,d_ratio,category,appendix_row_num,smaller_N_paper_title,larger_N_paper_title,smaller_N_paper_doi,larger_N_paper_doi,D_smaller_N,N_smaller_N,D_larger_N,N_larger_N,D_larger_N_minus_smaller_N
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission46_1171,A bimodal extension of the Eriksen flanker task,Bimodal Flanker: Audio vs. Visual,10.3758/s13414-020-02150-8,,"For auditory flankers, correct responses are significantly faster in the perceptual-congruent condition than in the response-congruent and incongruent conditions, with no difference in response times between the latter two conditions (interaction of congruency and flanker modality)",2.3026779152533137,34.0,0.3517262290563295,147.0,True,True,4.323529411764706,0.152746602868963,shrunk_still_sig,,A bimodal extension of the Eriksen flanker task,Bimodal Flanker: Audio vs. Visual,10.3758/s13414-020-02150-8,,2.3026779152533137,34.0,0.3517262290563295,147.0,-1.9509516861969842
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission54_1215,Germs and the out-group: Chronic and situational disease concerns affect intergroup categorization.,"Does pathogen avoidance affect intergroup categorization? Replication of Makhanova, Miller, and Maner (2015).",10.1037/ebs0000028,10.1037/ebs0000279,"Concerns about disease, pathogens, germs can bias people toward categorizing social targets as members of an unfamiliar out-group",0.6666666666666667,44.0,0.220028114417273,489.0,True,True,11.113636363636363,0.3300421716259096,shrunk_still_sig,,Germs and the out-group: Chronic and situational disease concerns affect intergroup categorization.,"Does pathogen avoidance affect intergroup categorization? Replication of Makhanova, Miller, and Maner (2015).",10.1037/ebs0000028,10.1037/ebs0000279,0.6666666666666667,44.0,0.220028114417273,489.0,-0.44663855224939375
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission10_1041__endpoint,The semantic red effect: Processing the word red undermines intellectual performance,Processing the Word <i>Red</i> and Intellectual Performance: Four Replication Attempts,10.1016/j.jesp.2009.06.003,10.1525/collabra.277,"Reading the word ""red"" before an achievement test reduces test performance as compared to reading the word of a control color",0.7385489458759964,44.0,0.1542196531791907,173.0,True,False,3.9318181818181817,0.208814397529564,shrunk_below_sig,,The semantic red effect: Processing the word red undermines intellectual performance,Processing the Word <i>Red</i> and Intellectual Performance: Four Replication Attempts,10.1016/j.jesp.2009.06.003,10.1525/collabra.277,0.7385489458759964,44.0,0.1542196531791907,173.0,-0.5843292926968057
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission94_1877,Truth From Language and Truth From Fit: The Impact of Linguistic Concreteness and Level of Construal on Subjective Truth,The Effect of Concrete Wording on Truth Judgements: A Preregistered Replication and Extension of Hansen &amp; Wänke (),10.1177/0146167210386238,10.1525/collabra.192,Concretely worded statements are judged to be more likely to be true than abstract equivalents,0.305,46.0,0.073,246.0,False,False,5.3478260869565215,0.2393442622950819,shrunk_below_sig,,Truth From Language and Truth From Fit: The Impact of Linguistic Concreteness and Level of Construal on Subjective Truth,The Effect of Concrete Wording on Truth Judgements: A Preregistered Replication and Extension of Hansen &amp; Wänke (),10.1177/0146167210386238,10.1525/collabra.192,0.305,46.0,0.073,246.0,-0.23199999999999998
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission94_1878,Truth From Language and Truth From Fit: The Impact of Linguistic Concreteness and Level of Construal on Subjective Truth,The Effect of Concrete Wording on Truth Judgements: A Preregistered Replication and Extension of Hansen &amp; Wänke (),10.1177/0146167210386238,10.1525/collabra.192,Concretely worded statements are judged to be more likely to be true than abstract equivalents,0.9686442096757052,46.0,0.075,221.0,True,False,4.804347826086956,0.0774278101813146,shrunk_below_sig,,Truth From Language and Truth From Fit: The Impact of Linguistic Concreteness and Level of Construal on Subjective Truth,The Effect of Concrete Wording on Truth Judgements: A Preregistered Replication and Extension of Hansen &amp; Wänke (),10.1177/0146167210386238,10.1525/collabra.192,0.9686442096757052,46.0,0.075,221.0,-0.8936442096757052
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission38_1_1_1066,Implicit Attitude Formation Through Classical Conditioning,Incidental Attitude Formation via the Surveillance Task: A Registered Replication Report of Olson and Fazio (2001),10.1111/1467-9280.00376,10.31234/osf.io/kavx4,Participants assessed CS+ more positively than CS- in the explicit condition,0.5542562584220407,50.0,0.12,1340.0,False,True,26.8,0.2165063509461096,shrunk_still_sig,,Implicit Attitude Formation Through Classical Conditioning,Incidental Attitude Formation via the Surveillance Task: A Registered Replication Report of Olson and Fazio (2001),10.1111/1467-9280.00376,10.31234/osf.io/kavx4,0.5542562584220407,50.0,0.12,1340.0,-0.43425625842204074
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission87_1345__endpoint,Stand by Your Stroop: Standing Up Enhances Selective Attention and Cognitive Control,Does Posture Influence the Stroop Effect?,10.1177/0956797617721270,10.1177/0956797620953842,"Standing, compared to sitting, enhances selective attention by reducing the Stroop interference effect.",0.8565791327430803,50.0,0.110981824305554,443.0,True,False,8.86,0.1295640064802297,shrunk_below_sig,,Stand by Your Stroop: Standing Up Enhances Selective Attention and Cognitive Control,Does Posture Influence the Stroop Effect?,10.1177/0956797617721270,10.1177/0956797620953842,0.8565791327430803,50.0,0.110981824305554,443.0,-0.7455973084375263
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission72_1274,Bottomless Bowls: Why Visual Cues of Portion Size May Influence Intake<sup>**</sup>,Visual cues and food intake: A preregistered replication of Wansink et al. (2005).,10.1038/oby.2005.12,10.1037/xge0001503,The discrepancy between actual and estimated consumption among participants using self-refilling bowls.,0.049,54.0,0.149,464.0,False,False,8.592592592592593,3.040816326530612,grew,,Bottomless Bowls: Why Visual Cues of Portion Size May Influence Intake<sup>**</sup>,Visual cues and food intake: A preregistered replication of Wansink et al. (2005).,10.1038/oby.2005.12,10.1037/xge0001503,0.049,54.0,0.149,464.0,0.09999999999999999
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission72_1275,Bottomless Bowls: Why Visual Cues of Portion Size May Influence Intake<sup>**</sup>,Visual cues and food intake: A preregistered replication of Wansink et al. (2005).,10.1038/oby.2005.12,10.1037/xge0001503,The extent to which participants believed they monitored their consumption.,0.17,54.0,0.098,464.0,False,False,8.592592592592593,0.5764705882352941,shrunk_below_sig,,Bottomless Bowls: Why Visual Cues of Portion Size May Influence Intake<sup>**</sup>,Visual cues and food intake: A preregistered replication of Wansink et al. (2005).,10.1038/oby.2005.12,10.1037/xge0001503,0.17,54.0,0.098,464.0,-0.07200000000000001
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission72_1417,Bottomless Bowls: Why Visual Cues of Portion Size May Influence Intake<sup>**</sup>,Visual cues and food intake: A preregistered replication of Wansink et al. (2005).,10.1038/oby.2005.12,10.1037/xge0001503,"Visual portion size cues affect consumption behavior by shaping consumption norms and expectations, leading to unintentional overeating.",0.831587915700115,54.0,0.45,464.0,True,True,8.592592592592593,0.5411334045434564,shrunk_still_sig,,Bottomless Bowls: Why Visual Cues of Portion Size May Influence Intake<sup>**</sup>,Visual cues and food intake: A preregistered replication of Wansink et al. (2005).,10.1038/oby.2005.12,10.1037/xge0001503,0.831587915700115,54.0,0.45,464.0,-0.381587915700115
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission14c_1043,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,The Drunk Utilitarian Revisited: Does Alcohol Really Increase Utilitarianism in Moral Judgment?,10.1016/j.cognition.2014.09.006,10.1177/01461672211052120,drunk utilitarian,0.6060437322090948,60.0,0.2630132921767416,329.0,True,True,5.483333333333333,0.4339840150116391,shrunk_still_sig,,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,The Drunk Utilitarian Revisited: Does Alcohol Really Increase Utilitarianism in Moral Judgment?,10.1016/j.cognition.2014.09.006,10.1177/01461672211052120,0.6060437322090948,60.0,0.2630132921767416,329.0,-0.3430304400323532
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission14c_1169,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,The Drunk Utilitarian Revisited: Does Alcohol Really Increase Utilitarianism in Moral Judgment?,10.1016/j.cognition.2014.09.006,10.1177/01461672211052120,drunk utilitarian(placebo control condition),0.6060437322090948,60.0,0.9051392757105036,329.0,True,True,5.483333333333333,1.4935213873282267,grew,,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,The Drunk Utilitarian Revisited: Does Alcohol Really Increase Utilitarianism in Moral Judgment?,10.1016/j.cognition.2014.09.006,10.1177/01461672211052120,0.6060437322090948,60.0,0.9051392757105036,329.0,0.29909554350140877
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission14c_1170,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,The Drunk Utilitarian Revisited: Does Alcohol Really Increase Utilitarianism in Moral Judgment?,10.1016/j.cognition.2014.09.006,10.1177/01461672211052120,drunk utilitarian(alcohol condition (participants will drink 1.6 g of alcohol at 40% strength for each 1 kg of their body weight)),0.6060437322090948,60.0,0.0,329.0,True,False,5.483333333333333,0.0,shrunk_below_sig,,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,The Drunk Utilitarian Revisited: Does Alcohol Really Increase Utilitarianism in Moral Judgment?,10.1016/j.cognition.2014.09.006,10.1177/01461672211052120,0.6060437322090948,60.0,0.0,329.0,-0.6060437322090948
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission2_2_1058__endpoint,The Presence of Variety Reduces Perceived Quantity,The Effect of Variety on Perceived Quantity,10.1086/598971,10.15626/mp.2020.2639,The presence of variety lowers the perceived quantity,2.362041597078492,80.0,0.0549448818897637,127.0,True,False,1.5875,0.0232616063822596,shrunk_below_sig,,The Presence of Variety Reduces Perceived Quantity,The Effect of Variety on Perceived Quantity,10.1086/598971,10.15626/mp.2020.2639,2.362041597078492,80.0,0.0549448818897637,127.0,-2.3070967151887283
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission73_1336,The Dark Side of a Smiley,The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley”,10.1177/1948550617720269,10.1525/collabra.90195,"Due to perceptions of (in)appropriateness, the use of smileys may backfire and produce less favorable perceptions of competence in a formal work-related setting, yet more favorable perceptions of warmth in an informal work-related setting.",0.34,85.0,0.47,823.0,False,True,9.68235294117647,1.3823529411764703,grew,,The Dark Side of a Smiley,The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley”,10.1177/1948550617720269,10.1525/collabra.90195,0.34,85.0,0.47,823.0,0.12999999999999995
FReD filtered pair table,FReD SoSci submissions,fred_soscisubmission73_1335,The Dark Side of a Smiley,The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley”,10.1177/1948550617720269,10.1525/collabra.90195,"Due to perceptions of (in)appropriateness, the use of smileys may backfire and produce less favorable perceptions of competence in a formal work-related setting, yet more favorable perceptions of warmth in an informal work-related setting.",0.45,85.0,0.14,823.0,True,True,9.68235294117647,0.3111111111111111,shrunk_still_sig,,The Dark Side of a Smiley,The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley”,10.1177/1948550617720269,10.1525/collabra.90195,0.45,85.0,0.14,823.0,-0.31
