study_id,Week beginning,Journal Name,Trial Title,Publication Date,Link to online trial report,Link to online registry entry for trial,Pre-specified outcomes obtained from protocol or registry entry?,Initial assessor Name,Assigned date,Completion date,Link to Assessment,Second assessor name,[S] Total number of prespecified PRIMARY outcomes,[S] Number of prespecified PRIMARY outcomes correctly reported,[S] Number of prespecified PRIMARY outcomes incorrectly reported ,[S] Number of prespecified PRIMARY outcomes not reported in publication,[S] Number of PRIMARY outcomes insufficiently prespecified,[S] Total number of prespecified SECONDARY outcomes,[S] Number of prespecified SECONDARY outcomes correctly reported,[S] Number of prespecified SECONDARY outcomes incorrectly reported ,[S] Number of SECONDARY outcomes not reported in publication,[S] Number of SECONDARY outcomes insufficiently prespecified,[S] Total number of NON-PRESPECIFIED outcomes reported,[S] Number of NON-PRESPECIFIED outcomes correctly declared,Total number of prespecified PRIMARY outcomes,Number of prespecified PRIMARY outcomes correctly reported,Number of prespecified PRIMARY outcomes incorrectly reported ,Number of prespecified PRIMARY outcomes not reported in publication,Number of PRIMARY outcomes insufficiently prespecified,Total number of prespecified SECONDARY outcomes,Number of prespecified SECONDARY outcomes correctly reported,Number of prespecified SECONDARY outcomes incorrectly reported ,Number of SECONDARY outcomes not reported in publication,Number of SECONDARY outcomes insufficiently prespecified,Total number of NON-PRESPECIFIED outcomes reported,Number of NON-PRESPECIFIED outcomes correctly declared,First Assessor Opinion - Letter required?,Second Assessor Opinion - Letter Required?,Final Decision - Letter Required?,Link to letter ,"Letter checked by BG, CH or KM - initial and date",Letter Submission Deadline,Letter sent date,Letter Status,Letter published?,Letter published date
13,2015-10-26,NEJM,Paclitaxel-Eluting versus Everolimus-Eluting Coronary Stents in Diabetes,2015-10-29,http://www.nejm.org/doi/full/10.1056/NEJMoa1510188,http://ctri.nic.in/Clinicaltrials/advsearch.php,Protocol,Philip Hartley,2015-10-30,2015-11-01,https://docs.google.com/spreadsheets/d/1jY791XpQqpvt-zxyPfHsJGISJD9syz6zQXP8sJGriTg/edit#gid=0,Ioan Milosevic,1,1,0,0,0,15,14,0,1.0,0,4,0,1,1,0,0,0,15,14,0,1.0,0,4,0,Yes,Yes,Yes,https://docs.google.com/document/d/1xv_ekMivMTRBwGBmVRTCzSK5H8ZlkXnaMBzV6R6hflM/edit,BG 12th nov 2015,2015-11-19 00:00:00,2015-11-07 00:00:00,Letter rejected by editor,No,
14,,JAMA,Effect of a Buffered Crystalloid Solution vs Saline on Acute Kidney Injury Among Patients in the Intensive Care UnitThe SPLIT Randomized Clinical Trial,2015-10-27,http://jama.jamanetwork.com/article.aspx?articleid=2454911,http://www.anzctr.org.au/trial_view.aspx?ACTRN=ACTRN12613001370796,Protocol,Ioan Milosevic,2015-10-30,2015-11-02,https://drive.google.com/open?id=13tGwajYMRg0cxCZvHnMfsWT4HTvo1fNzvFOgp5fQhpI,Henry Drysdale,1,1,0,0,0,12,12,0,0.0,0,1,0,1,1,0,0,0,12,12,0,0.0,0,1,0,No,No,No,,Letter not required,2015-11-24 00:00:00,Not required,Letter not required,Letter not required,
15,,JAMA,Effect of Noninvasive Ventilation vs Oxygen Therapy on Mortality Among Immunocompromised Patients With Acute Respiratory FailureA Randomized Clinical Trial,2015-10-27,http://jama.jamanetwork.com/article.aspx?articleid=2454912,http://clinicaltrials.gov/show/NCT01915719,Protocol,Ioan Milosevic,2015-10-30,2015-11-02,https://drive.google.com/open?id=1M8br026UdJ4PXWbwIrbKdemngdZqMDpmEMnfWcpG3Dc,Henry Drysdale,1,1,0,0,0,6,5,0,1.0,0,3,1,1,1,0,0,0,6,5,0,1.0,0,3,1,Not sure,Not Sure,Yes,https://docs.google.com/document/d/1-ZCMqgiqTtHDrOMQps85z-nCrXAzFuARrZ_TDcekJf0/edit#,BG Nov 12 2015,2015-11-24 00:00:00,2015-11-12 00:00:00,Letter rejected by editor,No,
16,,JAMA,Anticholinergic vs Long-Acting β-Agonist in Combination With Inhaled Corticosteroids in Black Adults With Asthma The BELT Randomized Clinical Trial,2015-10-27,http://jama.jamanetwork.com/article.aspx?articleid=2466145,https://clinicaltrials.gov/show/NCT01290874,Registry Entry,Ioan Milosevic,2015-10-30,2015-11-04,https://drive.google.com/open?id=1YpDi1uc8R1Y94mW1mY9J_imLFM8TPTvmuCd0yadpdTc,Aaron Dale,1,1,0,0,0,10,10,0,0.0,0,2,0,1,1,0,0,0,7,7,0,0.0,0,2,0,Yes,Yes,Yes,https://docs.google.com/document/d/1MqzBLKUoPdrwfd3nh40cjhUpMCaQDyOap69R23VhjAY/edit#,BG Nov 12 2015 ,2015-11-24 00:00:00,2015-11-12 00:00:00,Letter rejected by editor,No,
17,,Lancet,Clinical outcomes in patients with ST-segment elevation myocardial infarction treated with everolimus-eluting stents versus bare-metal stents (EXAMINATION): 5-year results of a randomised trial,2015-10-28,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00548-6/abstract,https://clinicaltrials.gov/show/NCT00828087,Registry Entry,Henry Drysdale,2015-10-30,2015-11-03,https://docs.google.com/spreadsheets/d/1lDT0Pchhcoa4U_Y5wFjdd54cv4eGuIijfYEekIsqCbY/edit#gid=0,Philip Hartley,1,1,0,0,0,32,25,0,5.0,0,11,0,1,1,0,0,0,6,5,0,1.0,0,46,0,Yes,Yes,Yes,https://docs.google.com/document/d/1qpTABuRcz8pNpgscmNT4hyM9ZPde-d3qpsiXE1qwwWY/edit#heading=h.p0rbmhgsvknf,BG 9th Nov 2015,2015-11-11 00:00:00,2015-11-09 00:00:00,Letter published,Yes,2016-05-14
18,,Lancet,Postural modification to the standard Valsalva manoeuvre for emergency treatment of supraventricular tachycardias (REVERT): a randomised controlled trial,2015-10-31,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)61485-4/abstract,http://www.isrctn.com/ISRCTN67937027,Registry Entry,Aaron Dale,2015-10-30,2015-11-03,https://docs.google.com/spreadsheets/d/1H0-ymJJEE4sCJlV1Av8VCvKmdipczLIUhcnov0urUBk/edit#gid=0,Ioan Milosevic,1,1,0,0,0,4,4,0,0.0,0,1,0,1,1,0,0,0,4,4,0,0.0,0,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1ZkPcuVrbxDFRh__wBiygD4JGfNabjyL_6BWlnu4Gz_s/edit#heading=h.c7rvw5m9uatb,BG 9th Nov 2015,2015-11-14 00:00:00,2015-11-10 00:00:00,Letter rejected by editor,No,
20,,BMJ,Liraglutide in people treated for type 2 diabetes with multiple daily insulin injections: randomised clinical trial (MDI Liraglutide trial),2015-10-28,http://www.bmj.com/content/351/bmj.h5364,https://www.clinicaltrialsregister.eu/ctr-search/trial/2012-001941-42/SE,Registry Entry,Ioan Milosevic,2015-10-30,2015-11-05,https://drive.google.com/open?id=1KzdSAuo2ENMQvIIeMrU8Cpe17tB1Blc7-wjMesSlkLM,Aaron Dale,1,1,0,0,0,18,18,0,0.0,0,0,0,1,1,0,0,0,18,18,0,0.0,0,0,0,No,No,No,,Letter not required,BMJ,Not required,Letter not required,Letter not required,
22,2015-11-02,NEJM,Cabozantinib versus Everolimus in Advanced Renal-Cell Carcinoma,2015-11-05,http://www.nejm.org/doi/full/10.1056/NEJMoa1510016,https://clinicaltrials.gov/ct2/show/NCT01865747?term=NCT01865747&rank=1,Protocol,Philip Hartley,2015-11-06,2015-11-15,https://docs.google.com/spreadsheets/d/1TCRUUZO5jSm0IVEklPkNPjKkYkDMUtp47j7C0NUxPBE/edit#gid=0,Henry Drysdale,1,1,0,0,0,15,3,0,,8,0,0,1,1,0,0,0,15,3,0,,8,0,0,No,Yes,Yes,https://docs.google.com/document/d/1EhdmLDe0Hzy_tOdc5zsJmnEO1-0DMQN_Mls_0IsUjkk/edit#heading=h.7jj9xqn5vcae,BG 23 nov 15 ,2015-11-26 00:00:00,2015-11-23 00:00:00,Letter rejected by editor,No,
23,,NEJM,Nivolumab versus Everolimus in Advanced Renal-Cell Carcinoma,2015-11-05,http://www.nejm.org/doi/full/10.1056/NEJMoa1510665,https://clinicaltrials.gov/show/NCT01668784,Protocol,Henry Drysdale,2015-11-06,2015-11-11,https://docs.google.com/spreadsheets/d/1P2zM4DRXAmWl_RLJs5PpxsTe2CkWSqE1vdPPNnmEWco/edit#gid=0,Ioan Milosevic,1,1,0,0,1,7,5,0,,6,3,1,1,1,0,0,1,7,5,0,,6,3,1,Yes,Yes,Yes,https://docs.google.com/document/d/1Acce3W2luRBJ8ZU82-YiMvGAOvmz2pOJCprCQ8bKj94/edit#heading=h.8fdur5dkv75s,KM 18/11,2015-11-26 00:00:00,2015-11-23 00:00:00,Letter rejected by editor,No,
24,,JAMA,Efavirenz-Based Antiretroviral Therapy Among Nevirapine-Exposed HIV-Infected Children in South Africa,2015-11-03,http://jama.jamanetwork.com/article.aspx?articleid=2467551,https://clinicaltrials.gov/show/NCT01146873,Registry Entry,Eirion Slade,2015-11-06,2015-11-08,https://docs.google.com/spreadsheets/d/1Gfjvk5iTwWTI7WIt-_-Fl37V5PjpukTxNPVUCzpXISs/edit#gid=0,Philip Hartley,4,2,0,0,0,9,6,0,,1,2,0,4,2,0,0,0,9,6,0,,1,2,0,Yes,Yes,Yes,https://docs.google.com/document/d/1hL7RasZlFXIwXQe8gQRHuo8CGexFyP3AxN0YhZ5KBvs/edit#heading=h.alcueertjb51,BG 25/11,2015-12-01 00:00:00,2015-12-06 00:00:00,Letter rejected by editor,No,
