study_id,Week beginning,Journal Name,Trial Title,Publication Date,Link to online trial report,Link to online registry entry for trial,Pre-specified outcomes obtained from protocol or registry entry?,Initial assessor Name,Assigned date,Completion date,Link to Assessment,Second assessor name,[S] Total number of prespecified PRIMARY outcomes,[S] Number of prespecified PRIMARY outcomes correctly reported,[S] Number of prespecified PRIMARY outcomes incorrectly reported ,[S] Number of prespecified PRIMARY outcomes not reported in publication,[S] Number of PRIMARY outcomes insufficiently prespecified,[S] Total number of prespecified SECONDARY outcomes,[S] Number of prespecified SECONDARY outcomes correctly reported,[S] Number of prespecified SECONDARY outcomes incorrectly reported ,[S] Number of SECONDARY outcomes not reported in publication,[S] Number of SECONDARY outcomes insufficiently prespecified,[S] Total number of NON-PRESPECIFIED outcomes reported,[S] Number of NON-PRESPECIFIED outcomes correctly declared,Total number of prespecified PRIMARY outcomes,Number of prespecified PRIMARY outcomes correctly reported,Number of prespecified PRIMARY outcomes incorrectly reported ,Number of prespecified PRIMARY outcomes not reported in publication,Number of PRIMARY outcomes insufficiently prespecified,Total number of prespecified SECONDARY outcomes,Number of prespecified SECONDARY outcomes correctly reported,Number of prespecified SECONDARY outcomes incorrectly reported ,Number of SECONDARY outcomes not reported in publication,Number of SECONDARY outcomes insufficiently prespecified,Total number of NON-PRESPECIFIED outcomes reported,Number of NON-PRESPECIFIED outcomes correctly declared,First Assessor Opinion - Letter required?,Second Assessor Opinion - Letter Required?,Final Decision - Letter Required?,Link to letter ,"Letter checked by BG, CH or KM - initial and date",Letter Submission Deadline,Letter sent date,Letter Status,Letter published?,Letter published date
25,,Ann Intern Med.,Alexander Technique Lessons or Acupuncture Sessions for Persons With Chronic Neck Pain: A Randomized Trial,2015-11-03,http://annals.org/article.aspx?articleid=2467961,http://www.controlled-trials.com/ISRCTN15186354,Registry Entry,Henry Drysdale,2015-11-06,2015-11-13,https://docs.google.com/spreadsheets/d/1qVmaNwxclrTtZzUh2YaecFj7bOIAIndvRSoRkHyQMBQ/edit#gid=0,Ioan Milosevic,3,1,2,0,0,17,6,0,,5,9,2,1,0,1,0,0,9,4,0,,3,6,2,Yes,Yes,Yes,https://docs.google.com/document/d/1M_KNDBeSh4WVvWyz4nobpon4-LYGNNOlG-dXChChUTo/edit,BG 23 nov 15,2015-12-01 00:00:00,2015-11-23 00:00:00,Letter published,Yes,2015-11-23
26,,Lancet,Early combined immunosuppression for the management of Crohn's disease (REACT): a cluster randomised controlled trial,2015-11-07,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00068-9/abstract,https://clinicaltrials.gov/ct2/show/record/NCT01030809,Registry Entry,Ioan Milosevic,2015-11-06,2015-11-12,https://drive.google.com/open?id=1rFEPRxKepvxmgBoSR4AB7LYE3hH47RnLAQ3PNoxjFaA,Aaron Dale,1,1,0,0,0,6,3,0,,1,6,0,1,1,0,0,0,6,3,0,,1,2,0,Yes,Not Sure,Yes,https://docs.google.com/document/d/1hvpByVHN59OthWGBjtuH5RBJiAoPe6irZ_he2WyVWac/edit#,KM 18/11,2015-11-21 00:00:00,2015-11-19 00:00:00,Letter published,Yes,2016-02-20
27,,Lancet,"Prophylactic antibiotics after acute stroke for reducing pneumonia in patients with dysphagia (STROKE-INF): a prospective, cluster-randomised, open-label, masked endpoint, controlled clinical trial",2015-11-07,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00126-9/abstract,http://www.isrctn.com/ISRCTN37118456,Registry Entry,Ioan Milosevic,2015-11-06,2015-11-13,https://drive.google.com/open?id=1zJXYlYwO7wEFpExAnQSevNKKzpQWS6hB9HMroTB3-ic,Aaron Dale,2,1,0,0,1,14,6,0,,0,6,0,2,1,0,0,1,14,6,0,,0,6,0,Yes,Yes,Yes,https://docs.google.com/document/d/1vcJBArmnlZLpN-PEbeTkJuXmzypcrLLIWO-o6Y_1Iwc/edit#heading=h.l2m0ya8rtbg7,KM 18/11,2015-11-21 00:00:00,2015-11-19 00:00:00,Letter published,Yes,2016-01-27
28,,Lancet,Fractional flow reserve versus angiography for guidance of PCI in patients with multivessel coronary artery disease (FAME): 5-year follow-up of a randomised controlled trial,2015-11-07,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00057-4/abstract,http://clinicaltrials.gov/show/NCT00267774,Registry Entry,Aaron Dale,2015-11-06,2015-11-12,https://docs.google.com/spreadsheets/d/1Tf7OfqrmVXQ-9UNq9Arvp0P3L7Q7aQhVF8CyjGQF6-8/edit#gid=0,Eirion Slade,1,1,0,0,0,8,8,0,,0,5,1,1,1,0,0,0,5,5,0,,0,5,1,Yes,Yes,Yes,https://docs.google.com/document/d/17XNf-acDmwLdmmxEqMMnxIFDpR3OBxVsJr7i94IIcJU/edit#heading=h.i8yy47zat55d,CH 18/11,2015-11-21 00:00:00,2015-11-19 00:00:00,Letter published,Yes,2016-06-04
29,,Lancet,Sensitivity and specificity of mammography and adjunctive ultrasonography to screen for breast cancer in the Japan Strategic Anti-cancer Randomized Trial (J-START): a randomised controlled trial,2015-11-04,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00774-6/abstract,https://upload.umin.ac.jp/cgi-open-bin/ctr/ctr.cgi,Registry Entry,Aaron Dale,2015-11-06,2015-11-16,https://docs.google.com/spreadsheets/d/1ZHXt8oTW68mPzWbT18T_A0mZl0cuRPkcUeodFoiIx1c/edit#gid=0,Eirion Slade,3,3,0,0,3,1,0,0,,0,16,0,3,3,0,0,3,1,0,0,,0,16,0,Yes,Yes,Yes,https://docs.google.com/document/d/1fNpvatWKnChGj3nQYH5izj1TfUh4uiXq_26TIGeYkVY/edit#heading=h.stpzjv2976,CH 17/11,2015-11-18 00:00:00,2015-11-17 00:00:00,Letter published,Yes,2016-06-11
30,,Lancet,Effect of the REG1 anticoagulation system versus bivalirudin on outcomes after percutaneous coronary intervention (REGULATE-PCI): a randomised clinical trial,2015-11-04,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00515-2/abstract,https://clinicaltrials.gov/show/NCT01848106,Registry Entry,Eirion Slade,2015-11-06,2015-11-08,https://docs.google.com/spreadsheets/d/1C2pd7Glsr746SV0a6lrPPhibqxRyl0wpeNwLr_Cbcu8/edit#gid=0,Philip Hartley,1,1,0,0,0,0,0,0,,0,21,0,1,1,0,0,0,0,0,0,,0,15,0,Yes,Yes,Yes,https://docs.google.com/document/d/1-9WuiEu6Hmpa0bBkLIfiRhiWGBguhh5yuI-d8W-NJKU/edit#heading=h.im2p0fky4tvh,CH 17/11,2015-11-18 00:00:00,2015-11-17 00:00:00,Letter published,Yes,2016-04-09
31,,NEJM,Isosorbide Mononitrate in Heart Failure with Preserved Ejection Fraction,2015-11-08,http://www.nejm.org/doi/full/10.1056/NEJMoa1510774,https://clinicaltrials.gov/ct2/show/record/NCT02053493,Protocol,Ioan Milosevic,2015-11-13,2015-11-15,https://drive.google.com/open?id=1jCwJbak-f-nG4YQpCghJVVLJxU2Wdi2T0PtOys58iag,Philip Hartley,1,1,0,0,0,12,11,0,1.0,0,2,0,1,1,0,0,0,8,7,0,1.0,0,2,0,Yes,Yes,Yes,https://docs.google.com/document/d/1XvUo2DK3PBRfekSRiLTQk9DGqRpndyP9woaNkG_p_HU/edit#heading=h.kykb7cgaqewa,KM 19/11,2015-11-29 00:00:00,2015-11-19 00:00:00,Letter rejected by editor,No,
32,,JAMA,A Randomized Trial of Cardiovascular Responses to Energy Drink Consumption in Healthy Adults,2015-11-08,http://jama.jamanetwork.com/article.aspx?articleid=2469194,https://clinicaltrials.gov/show/NCT01940822,Protocol,Ioan Milosevic,2015-11-13,2015-11-15,https://docs.google.com/spreadsheets/d/1JDSvQdt0ZQpTu3tkK_XpGtCOC8pxczkhUI-IZlgbWog/edit?usp=drive_web,Philip Hartley,4,2,0,2,0,6,4,0,2.0,0,2,0,4,2,0,2,0,6,4,0,2.0,0,2,0,Yes,Yes,Yes,https://docs.google.com/document/d/1z4ZwS7JTk5nJyVNQ-ULjmEkDrvpXa4lIsgxdX-vA_ek/edit#heading=h.orbbo79e4ji3,BG 25 nov 15,2015-12-06 00:00:00,2015-11-26 00:00:00,Letter rejected by editor,No,
33,,JAMA,"Effect of Vericiguat, a Soluble Guanylate Cyclase Stimulator, on Natriuretic Peptide Levels in Patients With Worsening Chronic Heart Failure and Reduced Ejection Fraction",2015-11-08,http://jama.jamanetwork.com/article.aspx?articleid=2469195,https://clinicaltrials.gov/show/NCT01951625,Registry Entry,Aaron Dale,2015-11-13,2015-11-19,https://docs.google.com/spreadsheets/d/1SsUx4ZZ1gYa06GdwsPH_hlH25fDgj7hU0TQI5bMxUqE/edit,Henry Drysdale,1,1,0,0,0,1,1,0,0.0,0,28,28,1,1,0,0,0,1,1,0,0.0,0,28,28,No,No,Yes,https://docs.google.com/document/d/1iMWN_pSyP1aFThlIedMH2cKsr79lxoK3S63iTBSoBKs/edit#,CH 30/11,2015-12-06 00:00:00,2015-12-03 00:00:00,Letter rejected by editor,No,
34,,Lancet,Sustained efficacy of pulmonary artery pressure to guide adjustment of chronic heart failure therapy: complete follow-up results from the CHAMPION randomised trial,2015-11-08,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00723-0/abstract,https://clinicaltrials.gov/show/NCT00531661,Protocol,Aaron Dale,2015-11-13,2015-11-19,https://docs.google.com/spreadsheets/d/1_0qc9LjkvawkuuTAem7dZjSjj4Ck8LMRcno2BFeQnks/edit#gid=0,Henry Drysdale,0,0,0,0,0,0,0,0,0.0,0,8,0,0,0,0,0,0,0,0,0,0.0,0,8,0,Yes,Yes,Yes,https://docs.google.com/document/d/1O1UoXBn6ZBX75I4DhAEeXkjODzjhIvjv3TY2zOPzU1g/edit#heading=h.8todett1j52c,CH 23/11,2015-11-22 00:00:00,2015-11-23 00:00:00,Letter published,Yes,2016-08-06
35,2015-11-09,NEJM,Two-Year Outcomes of Surgical Treatment of Severe Ischemic Mitral Regurgitation,2015-11-09,http://www.nejm.org/doi/full/10.1056/NEJMoa1512913,https://clinicaltrials.gov/ct2/show/NCT00807040,Protocol,Aaron Dale,2015-11-13,2015-11-23,https://docs.google.com/spreadsheets/d/1tunIl7eAGKvQinPtzHeP8CiwU9GglkH0seUnPN1cHe8/edit#gid=0,Henry Drysdale,1,1,0,0,0,22,10,0,12.0,0,2,0,1,1,0,0,0,22,10,0,12.0,0,2,0,Yes,Yes,Yes,https://docs.google.com/document/d/1pqFrBGgeZhoNtHRznYYOKb4UundNPSBtSjzQWR4C40w/edit#,BG 30 nov,2015-11-30 00:00:00,2015-11-30 00:00:00,Letter rejected by editor,No,
36,,NEJM,Trial of Continuous or Interrupted Chest Compressions during CPR,2015-11-09,http://www.nejm.org/doi/full/10.1056/NEJMoa1509139,https://clinicaltrials.gov/ct2/show/NCT01372748?term=NCT01372748&rank=1,Protocol,Philip Hartley,2015-11-13,2015-11-15,https://docs.google.com/spreadsheets/d/1fsuathdpHeOBXEUlVR8L6hIz1QMaeuKFj9LCkWIaHq4/edit#gid=0,Aaron Dale,1,1,0,0,0,8,6,0,2.0,0,8,1,1,1,0,0,0,8,6,0,2.0,0,8,1,Yes,Yes,Yes,https://docs.google.com/document/d/1fvhr2LKg_PbM52kL5o9bpPKFEVi6L9DGmt66Bg5gvMk/edit#heading=h.p2syqn61bsul,CH 18/11,2015-11-30 00:00:00,2015-11-18 00:00:00,Letter rejected by editor,No,
37,,NEJM,A Randomized Trial of Intensive versus Standard Blood-Pressure Control,2015-11-09,http://www.nejm.org/doi/full/10.1056/NEJMoa1511939,https://clinicaltrials.gov/ct2/show/record/NCT01206062?term=NCT01206062&rank=1,Protocol,Philip Hartley,2015-11-13,2015-11-22,https://docs.google.com/spreadsheets/d/1c-i-kg9X1xA12DDCT_rjqYX8BOugcJj9T5hMNxN9Qt4/edit#gid=0,Aaron Dale,1,1,0,0,0,15,8,0,7.0,0,1,0,1,1,0,0,0,15,8,0,7.0,0,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1oRU-0nesqjv2J7vhVDQnhduEqG4D3rqAlPOjNEBp96k/edit#heading=h.q4u26c4l1ds1,BG 23 nov 15,2015-11-30 00:00:00,2015-11-23 00:00:00,Letter unpublished after 4 weeks,No,
38,,NEJM,Andexanet Alfa for the Reversal of Factor Xa Inhibitor Activity,2015-11-09,http://www.nejm.org/doi/full/10.1056/NEJMoa1510991,https://clinicaltrials.gov/ct2/show/NCT02207725?term=NCT02207725&rank=1,Protocol,Eirion Slade,2015-11-13,2015-11-14,https://drive.google.com/open?id=1RkUwwOZotZEu8y8Fk-2r9PQ9cjZnOp4UpqqaE22yF7E,Ioan Milosevic,4,4,0,0,0,16,16,0,0.0,0,0,0,4,4,0,0,0,16,16,0,0.0,0,0,0,No,No,No,No letter required,BG 25 nov 15,2015-11-30 00:00:00,Not required,Letter not required,Letter not required,
39,,NEJM,Everolimus-Eluting Bioresorbable Scaffolds for Coronary Artery Disease,2015-11-12,http://www.nejm.org/doi/full/10.1056/NEJMoa1509038,https://clinicaltrials.gov/archive/NCT01751906/2013_01_08,Protocol,Eirion Slade,2015-11-13,2015-11-14,https://docs.google.com/spreadsheets/d/1CBHSYsvqK5C1YztzA9L6i0o5KkbRG2zjoTpHIMz87uA/edit#gid=0&vpid=A1,Ioan Milosevic,1,1,0,0,0,83,15,0,68.0,0,8,0,1,1,0,0,0,29,2,0,27.0,0,8,0,Yes,Yes,Yes,https://docs.google.com/document/d/1qAUE-L1NoDnD9_cwgWntuEHUdrn7CiCOt14ut-nYdKs/edit#heading=h.201q3abfk9xz,BG 1dec15 (check 30 day 180day first),2015-12-03 00:00:00,2015-12-02 00:00:00,Letter rejected by editor,No,
40,,JAMA,"Effect of Financial Incentives to Physicians, Patients, or Both on Lipid LevelsA Randomized Clinical Trial",2015-11-10,http://jama.jamanetwork.com/article.aspx?articleid=2468891,https://clinicaltrials.gov/ct2/show/NCT01346189?term=NCT01346189&rank=1,Protocol,Aaron Dale,2015-11-13,2015-12-07,https://docs.google.com/spreadsheets/d/1FziN7-JYsDe7ahysg6Z4RnXIyNhd8PMqCsYy94StHtU/edit,Eirion Slade,3,3,0,0,0,9,3,0,6.0,0,6,0,3,3,0,0,0,9,3,0,6.0,0,6,0,Yes,Yes,Yes,https://docs.google.com/document/d/1s5tKNyq8spg3xaCRVLd9WK76Q8F51xjoMJVBLVm_gss/edit,CH 8/12,2015-12-08 00:00:00,2015-12-08 00:00:00,Letter rejected by editor,No,
41,,JAMA,Endovascular Revascularization and Supervised Exercise for Peripheral Artery Disease and Intermittent Claudication,2015-11-10,http://jama.jamanetwork.com/article.aspx?articleid=2468892,http://www.trialregister.nl/trialreg/admin/rctview.asp?TC=2249,Protocol,Aaron Dale,2015-11-13,2015-11-22,https://docs.google.com/spreadsheets/d/1eAkim6TDGpep4M2iILGn2wdUywyPD6zY5WCcW8pwBU4/edit#gid=0&vpid=A1,Philip Hartley,3,3,0,0,0,37,21,0,16.0,0,6,0,1,1,0,0,0,13,7,0,6.0,0,2,0,Yes,Yes,Yes,https://docs.google.com/document/d/1VKvBqIG67tzsbWIbOCBdk0ErQo1Skzy6KEqHl-cp_Ew/edit,CH 8/12,2015-12-08 00:00:00,2015-12-08 00:00:00,Letter rejected by editor,No,
42,,JAMA,Effect of Clopidogrel and Aspirin vs Aspirin Alone on Migraine Headaches After Transcatheter Atrial Septal Defect ClosureThe CANOA Randomized Clinical Trial,2015-11-09,http://jama.jamanetwork.com/article.aspx?articleid=2469193,https://clinicaltrials.gov/ct2/show/record/NCT00799045,Protocol,Ioan Milosevic,2015-11-13,2015-11-22,https://drive.google.com/open?id=1Gut8_L8TntvTvvla7w9Avl7tzGTlWuRhcejH7YAUYPw,Philip Hartley,1,1,0,0,0,4,3,0,1.0,0,8,0,1,1,0,0,0,4,3,0,1.0,0,8,0,Yes,Yes,Yes,https://docs.google.com/document/d/1nzND6ZUJT00iL5f2hsQ7ffPuqH4iJb59dS0DmOahsAk/edit#heading=h.ibk1p8tcbjgs,BG 7th dec 15,2015-12-07 00:00:00,2015-12-07 00:00:00,Letter rejected by editor,No,
43,,JAMA,Effect of Intravascular Ultrasound–Guided vs Angiography-Guided Everolimus-Eluting Stent ImplantationThe IVUS-XPL Randomized Clinical Trial,2015-11-10,http://jama.jamanetwork.com/article.aspx?articleid=2469205,https://clinicaltrials.gov/show/NCT01308281,Protocol,Henry Drysdale,2015-11-13,2015-11-16,https://docs.google.com/spreadsheets/d/1JKogenf94xvPO3kT0oODQNOGmlAE_YdlHWioxLJwEbA/edit#gid=0,Eirion Slade,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0.0,0,5,0,Yes,Yes,Yes,https://docs.google.com/document/d/1th_LMM6axjWf_Ag4ORSjOeAQQP9K_PRI_-W7mAdCgiI/edit#heading=h.nauosbknvypm,BG 8th dec 15,2015-12-08 00:00:00,2015-12-08 00:00:00,Letter rejected by editor,No,
44,,Ann Intern Med.,Sofosbuvir Plus Velpatasvir Combination Therapy for Treatment-Experienced Patients With Genotype 1 or 3 Hepatitis C Virus Infection: A Randomized Trial,2015-11-10,http://annals.org/article.aspx?articleid=2468807,https://clinicaltrials.gov/ct2/show/record/NCT01909804,Registry Entry,Henry Drysdale,2015-11-13,2015-11-17,https://docs.google.com/spreadsheets/d/1C0T0fdhOOEXnlZ8UCBiuP2qlNtBh7ODFza1-CMjjd0o/edit#gid=0,Eirion Slade,2,1,0,0,1,4,0,0,3.0,1,5,0,2,1,0,0,1,4,0,0,3.0,1,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1XyX1ErKswep5i1tH2NNGDVVwpTXqGRM-Dfr_VlrMI0s/edit,BG 8th dec 15,2015-12-08 00:00:00,2015-12-08 00:00:00,Letter published,Yes,2015-12-08
45,,Ann Intern Med.,Sofosbuvir With Velpatasvir in Treatment-Naive Noncirrhotic Patients With Genotype 1 to 6 Hepatitis C Virus Infection: A Randomized Trial,2015-11-10,http://annals.org/article.aspx?articleid=2468806,https://clinicaltrials.gov/ct2/show/NCT01858766,Registry Entry,Henry Drysdale,2015-11-13,2015-11-18,https://docs.google.com/spreadsheets/d/18_bZ5IUB3OTJPf2vP15sCgI15ZBtFvfR9UTs1TFPVKQ/edit#gid=0,Eirion Slade,2,1,0,0,1,5,1,0,3.0,1,3,0,2,1,0,0,1,5,1,0,3.0,1,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1r8gSIkQJn9XK5BPr6QQun3HbOONiWnXeZ_RX878kwFQ/edit,BG 8th dec 15,2015-12-08 00:00:00,2015-12-08 00:00:00,Letter published,Yes,2015-12-08
46,,Lancet,Immediate delivery compared with expectant management after preterm pre-labour rupture of the membranes close to term (PPROMT trial): a randomised controlled trial,2015-11-09,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00724-2/abstract,http://www.isrctn.com/ISRCTN44485060,Protocol,Ioan Milosevic,2015-11-13,2015-11-19,https://drive.google.com/open?id=1EELYPdHYa2mD2VTJiSDcOUeqrHLNPZu6RvrtWMucDRg,Philip Hartley,1,1,0,0,0,34,16,0,18.0,0,17,0,1,1,0,0,0,34,16,0,18.0,0,17,0,Yes,Yes,Yes,https://docs.google.com/document/d/18XvvGmcDEItqYemmmimyMh00jUBDrrDhJnL2YKeD61g/edit#,BG 23 nov 15,2015-11-23 00:00:00,2015-11-23 00:00:00,Letter published,Yes,2016-05-14
47,,BMJ,Computerised cognitive behaviour therapy (cCBT) as treatment for depression in primary care (REEACT trial): large scale pragmatic randomised controlled trial,2015-11-11,http://www.bmj.com/content/351/bmj.h5627,http://www.isrctn.com/ISRCTN91947481?q=91947481&filters=&sort=&offset=1&totalResults=1&page=1&pageSize=10&searchType=basic-search ,Registry Entry,Henry Drysdale,2015-11-13,2015-11-19,https://docs.google.com/spreadsheets/d/1_9VL-TCvAKN57HB8D_WQVNptMDRM7wihuLtRDO37Lyg/edit#gid=0,Eirion Slade,2,0,0,2,0,11,8,0,3.0,0,3,0,2,0,0,2,0,4,3,0,1.0,0,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1VjFAe7Hb0ZjkKCprmphTPLNX4Sp8MHZKn4PH5ICLQNs/edit,KM 17/12,BMJ,2015-12-17 00:00:00,Letter published,Yes,2015-12-17
48,,JAMA,Panretinal Photocoagulation vs Intravitreous Ranibizumab for Proliferative Diabetic Retinopathy A Randomized Clinical Trial,2015-11-13,http://jama.jamanetwork.com/article.aspx?articleid=2469891,https://clinicaltrials.gov/show/NCT01489189,Registry Entry,Aaron Dale,2015-11-14,2015-11-09,https://docs.google.com/spreadsheets/d/1guirfvsEo-p5s4paPc4a2H9N4vnZmg_jAty4k3HRSWs/edit#gid=0,Henry Drysdale,1,1,0,0,0,13,10,0,2.0,1,16,0,1,1,0,0,0,13,10,0,2.0,1,16,0,Yes,Yes,Yes,https://docs.google.com/document/d/1U_b7w8aDKBnXnwsTckHHXw8Wc4wHfHvLP0Hdy-jzKsE/edit#,BG 9 dec 15,2015-12-11 00:00:00,2015-12-09 00:00:00,Letter rejected by editor,No,
49,2015-11-16,NEJM,"Sofosbuvir and Velpatasvir for HCV Genotype 1, 2, 4, 5, and 6 Infection",2015-11-16,http://www.nejm.org/doi/full/10.1056/NEJMoa1512610,http://clinicaltrials.gov/show/NCT02201940,Registry Entry,Henry Drysdale,2015-11-20,2015-11-26,https://docs.google.com/spreadsheets/d/1nccs4wi1NVQyEum-_iNIqU1YAHTqSY3DS68NuaDBY04/edit#gid=0&vpid=A1,Aaron Dale,2,1,1,0,0,5,1,0,4.0,0,2,0,2,1,1,0,0,5,1,0,4.0,0,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1Frl_EAiErJfCyv5_Y8oDLDw_VN-7S3YmMbZA9i4kPsE/edit#heading=h.8g14v3bwzuh9,bg 30 nov 2015,2015-12-07 00:00:00,2015-11-30 00:00:00,Letter rejected by editor,No,
50,,NEJM,Sofosbuvir and Velpatasvir for HCV in Patients with Decompensated Cirrhosis,2015-11-16,http://www.nejm.org/doi/full/10.1056/NEJMoa1512614,https://clinicaltrials.gov/show/NCT02201901,Registry Entry,Henry Drysdale,2015-11-20,2015-11-27,https://docs.google.com/spreadsheets/d/15HctRRJgbzT6LudoICPAoKqP8XYNMUkTpjzpS4r449E/edit#gid=0&vpid=A1,Aaron Dale,2,2,0,0,0,7,3,0,4.0,0,0,0,2,2,0,0,0,7,3,0,4.0,0,0,0,Yes,Yes,Yes,https://docs.google.com/document/d/10zfjs2MaKwMeNh5dPi6AodSdSZJ4cJNZy1xee68AN0U/edit#heading=h.vyo0tdxwfmun,BG 7 dec 15,2015-12-07 00:00:00,2015-12-07 00:00:00,Letter rejected by editor,No,
52,,NEJM,Activity of Oral ALS-008176 in a Respiratory Syncytial Virus Challenge Study,2015-11-19,http://www.nejm.org/doi/full/10.1056/NEJMoa1413275,https://clinicaltrials.gov/ct2/show/NCT02094365?term=NCT02094365&rank=1,Protocol,Philip Hartley,2015-11-20,2015-11-28,https://docs.google.com/spreadsheets/d/1MVihr8u2QI5YjGPqpwucxFI-20c9x2OnGV_PGsqtRaM/edit#gid=0&vpid=A1,Ioan Milosevic,1,1,0,0,0,11,7,0,4.0,1,5,0,1,1,0,0,0,11,7,0,4.0,1,5,0,Yes,Yes,Yes,https://docs.google.com/document/d/1wmTxJYFO-xYYE36tigOMDDgFp_3iUPyGd_AT3L_Fn6Q/edit#heading=h.km5w9c2pmzpn,bg 9 dec 2015,2015-12-10 00:00:00,2012-12-09 00:00:00,Letter rejected by editor,No,
53,,NEJM,Polymer-free Drug-Coated Coronary Stents in Patients at High Bleeding Risk,2015-11-19,http://www.nejm.org/doi/full/10.1056/NEJMoa1503943,https://clinicaltrials.gov/ct2/show/NCT01623180?term=NCT01623180&rank=1,Protocol,Philip Hartley,2015-11-20,2015-11-27,https://docs.google.com/spreadsheets/d/10j0IMnvKDcc-y3BkzDtN9QtRpOXkTSNLhNsGeiSjGp0/edit#gid=0,Ioan Milosevic,2,2,0,0,0,61,13,0,48.0,0,10,0,2,2,0,0,0,17,1,0,16.0,0,10,0,Yes,Yes,Yes,https://docs.google.com/document/d/1pM8lGiBTZMloRZRi4tHNhMqxdKlTc_mJO55RARBxoC0/edit#heading=h.3q0h4fybass7,BG 9th dec 2015 ,2015-12-10 00:00:00,2012-12-09 00:00:00,Letter rejected by editor,No,
54,,JAMA,Early Administration of Azithromycin and Prevention of Severe Lower Respiratory Tract Illnesses in Preschool Children With a History of Such Illnesses,2015-11-17,http://jama.jamanetwork.com/article.aspx?articleid=2470445,http://clinicaltrials.gov/show/NCT01272635,Registry Entry,Ioan Milosevic,2015-11-20,2015-11-22,https://drive.google.com/open?id=1sS5CEggFn41gaUErP6ErIX0UVdXVOyFz5VVE-caHlFg,Eirion Slade,1,1,0,0,0,4,3,0,1.0,0,3,0,1,1,0,0,0,4,3,0,1.0,0,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1AuVQkjxAO9W1s1h74VQ6_QiNB8VKaQj6nmlM0CVuJ0Q/edit#heading=h.lwfhuu4wq4wa,BG 14th dec,2015-12-15 00:00:00,2015-12-15 00:00:00,Letter rejected by editor,No,
55,,Lancet,Extended pre-exposure prophylaxis with lopinavir–ritonavir versus lamivudine to prevent HIV-1 transmission through breastfeeding up to 50 weeks in infants in Africa (ANRS 12174): a randomised controlled trial,2015-11-18,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00984-8/abstract,https://clinicaltrials.gov/ct2/show/record/NCT00640263,Registry Entry,Ioan Milosevic,2015-11-20,2015-11-22,https://drive.google.com/open?id=1Bxlh5UFaCzUKMzvASWJX6T3AUhArKBqcv2wdpJK-TJI,Eirion Slade,1,1,0,0,0,2,2,0,0.0,0,0,0,1,1,0,0,0,2,2,0,0.0,0,0,0,No,No,No,,BG 25 Nov 15,2015-12-02 00:00:00,Not required,Letter not required,Letter not required,
56,,Lancet,"Liraglutide safety and efficacy in patients with non-alcoholic steatohepatitis (LEAN): a multicentre, double-blind, randomised, placebo-controlled phase 2 study",2015-11-19,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00803-X/abstract,https://clinicaltrials.gov/show/NCT01237119,Protocol,Aaron Dale,2015-11-20,2015-11-30,https://docs.google.com/spreadsheets/d/1xV7Fq9i8RC9IecqVf71gcQhqhXynU__3FcSyYAzRL64/edit#gid=0&vpid=A1,Philip Hartley,1,1,0,0,0,18,16,0,2.0,0,4,0,1,1,0,0,0,18,16,0,2.0,0,4,0,Yes,Yes,Yes,https://docs.google.com/document/d/18TfL8I6I7PaNzfF0lKeqRTBANoGVQAoyWc295eEjfHg/edit#heading=h.wz2l3vklpg8c,CH 30 Nov 25,2015-12-03 00:00:00,2015-12-03 00:00:00,Letter published,Yes,2016-06-11
57,,Lancet,"Spironolactone versus placebo, bisoprolol, and doxazosin to determine the optimal treatment for drug-resistant hypertension (PATHWAY-2): a randomised, double-blind, crossover trial",2015-11-21,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00257-3/abstract,https://clinicaltrials.gov/show/NCT02369081,Registry Entry,Aaron Dale,2015-11-20,2015-12-02,https://docs.google.com/spreadsheets/d/1i6m6KCrN8B3W2HjNDqLy4ztYw8o8TTvVCGZP5qeMC8I/edit#gid=0&vpid=A1,Philip Hartley,3,1,0,2,0,1,0,0,1.0,0,10,0,3,1,0,2,0,1,0,0,1.0,0,10,0,Yes,Yes,Yes,https://docs.google.com/document/d/1rfIBdNGTHwRhPPjcQzHO7AAqd--TpCfqjVx7ket65Fw/edit#,BG 4 Dec 15 but correct refs and get phil approval,2015-12-05 00:00:00,2015-12-05 00:00:00,Letter published,Yes,2016-04-02
