inventory_task_id	cluster_id	parent_corpus_database_id_or_key	preferred_source_family_name	artifact_rows	local_mirrored_rows	parser_candidate_rows	pair_evidence_rows	effect_evidence_rows	n_evidence_rows	skipped_files	role_counts_json	parser_counts_json
inventory_task_c257d0214bcc1433	cluster_nakagawa_yang_c7aa4950fea4	raw_corpus:nakagawa_yang	Nakagawa/Yang ecology and evolution in-silico replication corpus	210	210	115	4	6	30	0	"{""code_file"": 7, ""context_file"": 8, ""data_file"": 114, ""local_mirror"": 81}"	"{""analysis_code_inventory"": 7, ""csv_table_parser"": 112, ""document_context_or_source_object_review"": 8, ""r_data_parser"": 3, ""unknown"": 80}"
inventory_task_da940966928b0c1e	cluster_osf_03_rp_cb_final_analysis_paper_level_data_e82d9617efa7	raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	92	61	20	7	7	14	0	"{""code_file"": 30, ""codebook"": 6, ""data_file"": 13, ""file_inventory"": 3, ""local_mirror"": 2, ""provider_file"": 24, ""repository_component"": 1, ""source_access_metadata"": 13}"	"{""analysis_code_inventory"": 54, ""binary_probe_context"": 1, ""csv_table_parser"": 20, ""json_metadata_inventory"": 14, ""provider_file_inventory"": 2, ""unknown"": 1}"
inventory_task_597e0260dcccafd3	cluster_political_science_unlock_f7f85210dec5	raw_corpus:political_science_unlock	Political Science Unlock	317	317	37	1	10	6	0	"{""archive_file"": 26, ""code_file"": 58, ""codebook"": 2, ""context_file"": 28, ""data_file"": 34, ""file_inventory"": 4, ""local_mirror"": 165}"	"{""analysis_code_inventory"": 58, ""csv_table_parser"": 22, ""document_context_or_source_object_review"": 29, ""json_metadata_inventory"": 18, ""provider_file_inventory"": 4, ""r_data_parser"": 2, ""statistical_package_parser"": 5, ""unknown"": 145, ""xlsx_workbook_parser"": 8, ""zip_member_inventory"": 26}"
inventory_task_b92144c685d43d59	cluster_reproducibility_project_cancer_biology_8ff34e7d6b72	rpcb | doi:10.7554/eLife.71601	Reproducibility Project: Cancer Biology	92	61	20	7	7	14	0	"{""code_file"": 30, ""codebook"": 6, ""data_file"": 13, ""file_inventory"": 3, ""local_mirror"": 2, ""provider_file"": 24, ""repository_component"": 1, ""source_access_metadata"": 13}"	"{""analysis_code_inventory"": 54, ""binary_probe_context"": 1, ""csv_table_parser"": 20, ""json_metadata_inventory"": 14, ""provider_file_inventory"": 2, ""unknown"": 1}"
inventory_task_0dbed828492cf787	cluster_rpcb_elife_registered_report_replication_effects_d7e3fd26d901	raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	92	61	20	7	7	14	0	"{""code_file"": 30, ""codebook"": 6, ""data_file"": 13, ""file_inventory"": 3, ""local_mirror"": 2, ""provider_file"": 24, ""repository_component"": 1, ""source_access_metadata"": 13}"	"{""analysis_code_inventory"": 54, ""binary_probe_context"": 1, ""csv_table_parser"": 20, ""json_metadata_inventory"": 14, ""provider_file_inventory"": 2, ""unknown"": 1}"
inventory_task_da46fa7405b09e8e	cluster_score_cos_preregistration_indicated_original_papers_dcacb6718443	score	Systematizing Confidence in Open Research and Evidence (SCORE) data/code/materials	230	109	211	78	75	72	0	"{""codebook"": 1, ""context_file"": 2, ""data_file"": 209, ""file_inventory"": 1, ""local_mirror"": 2, ""repository_component"": 15}"	"{""compressed_csv_table_parser"": 1, ""csv_table_parser"": 208, ""document_context_or_source_object_review"": 2, ""json_metadata_inventory"": 2, ""unknown"": 15, ""xlsx_workbook_parser"": 2}"
inventory_task_6c7deb341b73c5bc	cluster_awesome_time_honest_c4dcfa6f78be	github:ying531/awesome-replicability-data	ying531/awesome-replicability-data time_honest package	102	102	20	0	7	12	0	"{""code_file"": 4, ""data_file"": 20, ""file_inventory"": 14, ""local_mirror"": 15, ""source_access_metadata"": 49}"	"{""analysis_code_inventory"": 4, ""binary_probe_context"": 15, ""csv_table_parser"": 20, ""json_metadata_inventory"": 49, ""provider_file_inventory"": 14}"
inventory_task_7781346bdc43eb34	cluster_cultural_distance_2fde510433cc	lead_harvest:psa_006_trolley	PSA006 trolley multi-lab replication package	116	116	3	1	2	2	0	"{""archive_file"": 1, ""code_file"": 43, ""context_file"": 22, ""data_file"": 3, ""local_mirror"": 44, ""source_access_metadata"": 3}"	"{""analysis_code_inventory"": 43, ""binary_probe_context"": 2, ""csv_table_parser"": 3, ""document_context_or_source_object_review"": 22, ""json_metadata_inventory"": 3, ""unknown"": 42, ""zip_member_inventory"": 1}"
inventory_task_86b9a31286d71f20	cluster_how_replicable_are_links_between_personality_traits_and_consequential_life_outco_f308cd171b71	corpus_db_loopr_coding_workbook	Life Outcomes of Personality Replication Project (LOOPR)	1	1	1	0	0	0	0	"{""data_file"": 1}"	"{""xlsx_workbook_parser"": 1}"
inventory_task_9223f2c7eb854945	cluster_osf_07_final_ss_template_direct_aab7d6f050d3	score	SCORE power and sample-size methods package	303	139	210	78	74	72	0	"{""code_file"": 10, ""codebook"": 1, ""context_file"": 2, ""data_file"": 208, ""file_inventory"": 3, ""local_mirror"": 6, ""provider_file"": 32, ""repository_component"": 26, ""source_access_metadata"": 15}"	"{""analysis_code_inventory"": 22, ""binary_probe_context"": 1, ""compressed_csv_table_parser"": 1, ""csv_table_parser"": 207, ""document_context_or_source_object_review"": 18, ""json_metadata_inventory"": 17, ""provider_file_inventory"": 2, ""unknown"": 31, ""xlsx_workbook_parser"": 2, ""zip_member_inventory"": 2}"
inventory_task_31ced7c6fca854ac	cluster_sports_sfbva_node_c21ed8767a97	corpus_db_sports_science_supplemental_outcomes_table	Estimating the Replicability of Sport Science Research	1	1	0	0	0	0	0	"{""local_mirror"": 1}"	"{""json_metadata_inventory"": 1}"
inventory_task_bcb03b269c483073	cluster_successes_and_failures_of_replications_a_meta_analysis_of_independent_replicatio_48eb11098644	doi:10.31222/osf.io/8psw2	Successes and Failures of Replications based on OSF Registries	0	0	0	0	0	0	0	{}	{}
inventory_task_c7efd093bf481440	cluster_ying_2023_770ed6292b41	family::ying_2023_pilot_full_scale_trials	Ying 2023 pilot-full-scale trials	120	120	1	0	0	1	0	"{""data_file"": 1, ""local_mirror"": 119}"	"{""csv_table_parser"": 1, ""json_metadata_inventory"": 119}"
