artifact_id	parent_corpus_database_id	artifact_role	candidate_parser_family	file_type	file_name	raw_url	source_local_path	mirror_status	mirror_local_path	mirror_sha256	mirror_byte_size	sample_status	sample_path	sample_kind	sample_error
source_artifact_77e507cd4092902b	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Codebuch(Lehmann,Litters,Toplar).pdf	https://osf.io/download/ha2xc/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_77e507cd4092902b__Codebuch_Lehmann_Litters_Toplar_.pdf	64d38e230582541b2cfa43cf4f50082479c295e1c2323b47d777be4a7f26169c	942344	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_77e507cd4092902b.json	pdf_text	
source_artifact_7aa516099cfbfde0	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Codebuch_ Replikationsstudie_ TimSäger_LindaFriese.pdf	https://osf.io/download/adwq6/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_7aa516099cfbfde0__Codebuch__Replikationsstudie__TimSa_ger_LindaFriese.pdf	5d20bce43a0abdb930cd8550aaa93d0a543ebc0ff676b124ceedd38634ff9858	148045	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_7aa516099cfbfde0.json	pdf_text	
source_artifact_2c52de8142aff985	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Codebuch_Replikationsstudie.pdf	https://osf.io/download/nwkeh/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_2c52de8142aff985__Codebuch_Replikationsstudie.pdf	65978ce27c0fbca1f89203c9cb30f1b497c09ae5ac178b5fb1e9ec088127caae	303432	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_2c52de8142aff985.json	pdf_text	
source_artifact_8d6aded73d248fcb	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Codebuch_Wollmann_Buschermöhle_Düwel.pdf	https://osf.io/download/nwpkq/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_8d6aded73d248fcb__Codebuch_Wollmann_Buschermo_hle_Du_wel.pdf	62858087d651788b98de0a557cd79ebeb8551e362ef1071b427b774f32f1574f	128418	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_8d6aded73d248fcb.json	pdf_text	
source_artifact_34b37d233c47547f	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Codebuch_s23_1_Meissner_Schmauch_Rieckmann.pdf	https://osf.io/download/4efcd/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_34b37d233c47547f__Codebuch_s23_1_Meissner_Schmauch_Rieckmann.pdf	9dce85579e569c417329b55fe7f908397bcfbb8b0d4fee29848d271dc48134e8	192527	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_34b37d233c47547f.json	pdf_text	
source_artifact_d3af09cb3e5dfcd6	repo_search_osf_92e639ac2dc7	provider_file	unknown	docx	Cronbachs Alpha Alle Szenarien.docx	https://osf.io/download/scd4k/		unsupported_file_type:docx			18787	not_sampled			
source_artifact_d4b3f6d99c21c1b3	repo_search_osf_92e639ac2dc7	provider_file	unknown	jasp	Data_Analysis_s23_1_Meissner_Schmauch_Rieckmann.jasp	https://osf.io/download/3v9se/		unsupported_file_type:jasp			21637975	not_sampled			
source_artifact_84745edb97084b3e	repo_search_osf_92e639ac2dc7	provider_file	unknown	jasp	Data_unfiltered_S23_1_Wollmann_Buschermöhle_Düwel.jasp	https://osf.io/download/ka359/		unsupported_file_type:jasp			246596	not_sampled			
source_artifact_0e1a44ac192223cf	repo_search_osf_92e639ac2dc7	data_file	csv_table_parser	csv	Data_unfiltered_s23_1_Brueckner_Bojic_Kohse_Frey.csv	https://osf.io/download/rhze8/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_0e1a44ac192223cf__Data_unfiltered_s23_1_Brueckner_Bojic_Kohse_Frey.csv	b45f6101189e21a2790a28c2101e0bf3e752f63e7f4e379e9dc6b48fb6338463	95815	sample_failed	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_0e1a44ac192223cf.json	sample_failed	Error tokenizing data. C error: Expected 13 fields in line 3, saw 14
source_artifact_158b1175ccb599fb	repo_search_osf_92e639ac2dc7	data_file	csv_table_parser	csv	Data_unfiltered_s23_1_Meissner_Schmauch_Rieckmann.csv	https://osf.io/download/6udkw/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_158b1175ccb599fb__Data_unfiltered_s23_1_Meissner_Schmauch_Rieckmann.csv	7a7406431d7688b650bd19e1e70a099eb92bef9ab336d8862ad585de828da685	180259	sample_failed	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_158b1175ccb599fb.json	sample_failed	Error tokenizing data. C error: Expected 28 fields in line 3, saw 33
