corpus_result_table_id	primary_parent_corpus_database_id	parent_corpus_database_ids	source_artifact_ids	source_artifact_file_names	source_artifact_local_path	source_artifact_sha256	parser_scope	column_count	row_count_emitted	columns_json
corpus_result_table_7352fd27c85e7480	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_4f6144da29c746ac	est_study_3.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_3.rds	94ddb0cb268bedc478c6ff264445f54117009929b0aafb8d665584002bce50e3	inspect_sample_for_result_fields	13	20	"[""survey"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""estimate_type"", ""study"", ""type""]"
corpus_result_table_ab6282b376ef2087	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_e8a1754f31105589	est_study_5.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_5.rds	b7d845e33169f521194af6db53587ae741a445c3fc29b1f82671019e4100fa60	inspect_sample_for_result_fields	15	48	"[""survey"", ""x_pid3"", ""AD_Z_party_sure_thing"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""estimate_type"", ""study"", ""type""]"
corpus_result_table_eea793c62dc31ce0	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_5c6264c130de5c4b	est_study_6.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_6.rds	4384522d2db1f92a4bbd574ca195e3e1e4ddf5699abdca3fe75df6040ac88834	inspect_sample_for_result_fields	12	2	"[""survey"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""study"", ""estimate_type""]"
corpus_result_table_6de7a0e41f602ef3	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_676c3406501fc614	est_study_7.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_7.rds	3e52150d8c2cb58e021dc4ddd52713204ad1db1cc407f2a9c1161c8e4d073baa	inspect_sample_for_result_fields	14	8	"[""survey"", ""knobe_Z_type"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""estimate_type"", ""study"", ""type""]"
corpus_result_table_a983fcc6e6bfc644	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_c9651600c424294e	est_study_8a.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_8a.rds	44c65a94e15eeb3060dd5b461ceee2fe4460c66d64c0fa8b7de751af4d07769e	inspect_sample_for_result_fields	14	40	"[""survey"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""estimate_type"", ""outcome_group"", ""study"", ""term_group""]"
corpus_result_table_c304e322bba213a8	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_7351f9b9e195c32a	est_study_8b.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_8b.rds	b658f7e8277e2610e894e68dedbdd050631ec876999edc4be49404c218c48da6	inspect_sample_for_result_fields	13	20	"[""survey"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""estimate_type"", ""outcome_group"", ""study""]"
corpus_result_table_a783ffa1117bf761	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_e3ab6327ec14f3e2	peyton_original.csv	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/peyton_original.csv	add0d59aec8457e71d2f3f0eb3bacccb4c3c58c742b608d56f05ceb1f7e8d8d8	inspect_sample_for_result_fields	64	1000	"[""experiment"", ""year"", ""sample"", ""wts"", ""Z"", ""attention_heartattack"", ""attention_math"", ""dem_edu"", ""dem_partyid"", ""dem_income"", ""dem_ideo5"", ""dem_work"", ""dem_college"", ""dem_race5"", ""dem_female"", ""dem_pid3"", ""dem_age"", ""dem_republican"", ""dem_democrat"", ""dem_white"", ""dem_black"", ""dem_asian"", ""dem_hispanic"", ""fmptrust_trustpols"", ""fmptrust_selfintrst"", ""fmptrust_bigintrst"", ""fmptrust_corrptpols"", ""fmptrust_index"", ""fmptrust_scale"", ""trustgov_trustgstd"", ""trustgov_trustgstate"", ""trustgov_scale"", ""govrole_services"", ""govrole_jobs"", ""govrole_blacks"", ""govrole_healthcare"", ""govspend_defense"", ""fedspend_welfare"", ""fedspend_foreignaid"", ""fedspend_foodstamp"", ""fedspend_blacks"", ""fedspend_homeless"", ""fedspend_highways"", ""fedspend_ss"", ""fedspend_enviro"", ""fedspend_school"", ""fedspend_crime"", ""fedspend_immig"", ""fedspend_index"", ""fedspend_scale"", ""bintrust_family"", ""bintrust_friends"", ""bintrust_scientists"", ""bintrust_neighbors"", ""bintrust_unis"", ""bintrust_fedgov"", ""bintrust_stategov"", ""bintrust_localgov"", ""bintrust_media"", ""bintrust_stranger"", ""bintrust_police"", ""bintrust_govadmins"", ""bintrust_politicians"", ""study_type""]"
corpus_result_table_3cc9cb2d1d444713	many_labs_2 | doi:10.1177/2515245918810225	many_labs_2 | doi:10.1177/2515245918810225	source_artifact_e73f2494577868a8	Data_Figure_NOweird_oriEffects.csv	data/raw/replication_projects/ml2/Data_Figure_NOweird_oriEffects.csv	8f02ea14d0ac71ae9e39d7892c9e418ee1ac0e668ffeaa24963849264ef4baa4	inspect_sample_for_result_fields	67	32	"[""study.id"", ""study.slate"", ""study.name"", ""study.analysis"", ""testInfo.statistic"", ""testInfo.estimate"", ""df1"", ""df2"", ""N"", ""n1"", ""n2"", ""esType"", ""test.alternative"", ""ESCI.ncp"", ""ESCI.ncp.lo"", ""ESCI.ncp.hi"", ""ESCI.N.total"", ""ESCI.n.1"", ""ESCI.n.2"", ""ESCI.d"", ""ESCI.var.d"", ""ESCI.l.d"", ""ESCI.u.d"", ""ESCI.U3.d"", ""ESCI.cl.d"", ""ESCI.cliffs.d"", ""ESCI.pval.d"", ""ESCI.g"", ""ESCI.var.g"", ""ESCI.l.g"", ""ESCI.u.g"", ""ESCI.U3.g"", ""ESCI.cl.g"", ""ESCI.pval.g"", ""ESCI.r"", ""ESCI.var.r"", ""ESCI.l.r"", ""ESCI.u.r"", ""ESCI.pval.r"", ""ESCI.fisher.z"", ""ESCI.var.z"", ""ESCI.l.z"", ""ESCI.u.z"", ""ESCI.OR"", ""ESCI.l.or"", ""ESCI.u.or"", ""ESCI.pval.or"", ""ESCI.lOR"", ""ESCI.l.lor"", ""ESCI.u.lor"", ""ESCI.pval.lor"", ""ESCI.cohensQ"", ""ESCI.cohensQ.l"", ""ESCI.cohensQ.u"", ""ESCI.bootR1"", ""ESCI.bootR2"", ""ESCI.bootCI.l"", ""ESCI.bootCI.u"", ""testInfo.p.value"", ""study.analysis.ori"", ""oriWEIRD"", ""offset"", ""offset_dens"", ""offset_fix"", ""study.labels"", ""usethisES"", ""oriWEIRD.n""]"
corpus_result_table_6e4914e2da82ff24	many_labs_2 | doi:10.1177/2515245918810225	many_labs_2 | doi:10.1177/2515245918810225	source_artifact_4651a5df2d7654a7	ML2_OriginalEffects.csv	data/raw/replication_projects/ml2/ML2_OriginalEffects.csv	78b3432bebb798595ebb08ee10fb68d3f6f59cd5e0ab49606cfb6835eb226406	inspect_sample_for_result_fields	60	32	"[""study.id"", ""study.slate"", ""study.name"", ""study.analysis"", ""testInfo.statistic"", ""testInfo.estimate"", ""df1"", ""df2"", ""N"", ""n1"", ""n2"", ""esType"", ""test.alternative"", ""ESCI.ncp"", ""ESCI.ncp.lo"", ""ESCI.ncp.hi"", ""ESCI.N.total"", ""ESCI.n.1"", ""ESCI.n.2"", ""ESCI.d"", ""ESCI.var.d"", ""ESCI.l.d"", ""ESCI.u.d"", ""ESCI.U3.d"", ""ESCI.cl.d"", ""ESCI.cliffs.d"", ""ESCI.pval.d"", ""ESCI.g"", ""ESCI.var.g"", ""ESCI.l.g"", ""ESCI.u.g"", ""ESCI.U3.g"", ""ESCI.cl.g"", ""ESCI.pval.g"", ""ESCI.r"", ""ESCI.var.r"", ""ESCI.l.r"", ""ESCI.u.r"", ""ESCI.pval.r"", ""ESCI.fisher.z"", ""ESCI.var.z"", ""ESCI.l.z"", ""ESCI.u.z"", ""ESCI.OR"", ""ESCI.l.or"", ""ESCI.u.or"", ""ESCI.pval.or"", ""ESCI.lOR"", ""ESCI.l.lor"", ""ESCI.u.lor"", ""ESCI.pval.lor"", ""ESCI.cohensQ"", ""ESCI.cohensQ.l"", ""ESCI.cohensQ.u"", ""ESCI.bootR1"", ""ESCI.bootR2"", ""ESCI.bootCI.l"", ""ESCI.bootCI.u"", ""testInfo.p.value"", ""study.analysis.ori""]"
corpus_result_table_5ec8c60464eea52b	raw_corpus:rpcb	raw_corpus:rpcb | rpcb | doi:10.7554/eLife.71601	source_artifact_5c93fe6d8f458720 | source_artifact_8ba51ebb7fce532d | source_artifact_cfb146f687e2e329 | source_artifact_e58e2946b0b0ff5e | source_artifact_eb7a0bf739bcf691 | source_artifact_f65d6ecc2f05ea74	RP_CB Final Analysis - Experiment level data dictionary.csv | osf_02__RP_CB_Final_Analysis_-_Experiment_level_data_dictionary.csv	data/raw/source_artifacts/figure1/raw_corpus_rpcb/source_artifact_eb7a0bf739bcf691__RP_CB_Final_Analysis_-_Experiment_level_data_dictionary.csv	7432b12b5fc65fa6b8583746da45da94c7bafbd744ebecd9ee5cfa3ebccb2cc7	inspect_sample_for_result_fields	3	44	"[""Variable name"", ""Description of variable"", ""Type""]"
