artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen	mirror_status	sample_status	sample_path	sample_kind	sample_error
source_artifact_42c1ccc86c44fefb	repo_search_dataverse_4450c811f725	data_file	dataverse	3491615	repo_search_dataverse_4450c811f725	CATS_51_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491615	https://dataverse.harvard.edu/api/access/datafile/3491615	doi:10.7910/DVN/KZW8R2		CATS_51_.tab	tab	text/tab-separated-values	4841	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_42c1ccc86c44fefb__CATS_51_.tab	da30a89f1cb3520a0e957e5ea2929cb734f4942715657ead4086dd9c3cc28424	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_42c1ccc86c44fefb.json	delimited_table	
source_artifact_fee14db750012876	repo_search_dataverse_4450c811f725	data_file	dataverse	3491803	repo_search_dataverse_4450c811f725	CATS_52_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491803	https://dataverse.harvard.edu/api/access/datafile/3491803	doi:10.7910/DVN/KZW8R2		CATS_52_.tab	tab	text/tab-separated-values	7508	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_fee14db750012876__CATS_52_.tab	104f5f8c6236dc80812f6956e67c83d51d6477f0b451a650408e3f106a6ce11a	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_fee14db750012876.json	delimited_table	
source_artifact_5bec80e605c28774	repo_search_dataverse_4450c811f725	data_file	dataverse	3491832	repo_search_dataverse_4450c811f725	CATS_53_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491832	https://dataverse.harvard.edu/api/access/datafile/3491832	doi:10.7910/DVN/KZW8R2		CATS_53_.tab	tab	text/tab-separated-values	24063	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_5bec80e605c28774__CATS_53_.tab	063a5ff65a1e4ec6a0982b7d00445830db48878f9e4093ddeb83c73e610f4087	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_5bec80e605c28774.json	delimited_table	
source_artifact_5391ebe046dfeed7	repo_search_dataverse_4450c811f725	data_file	dataverse	3491585	repo_search_dataverse_4450c811f725	CATS_54_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491585	https://dataverse.harvard.edu/api/access/datafile/3491585	doi:10.7910/DVN/KZW8R2		CATS_54_.tab	tab	text/tab-separated-values	5471	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_5391ebe046dfeed7__CATS_54_.tab	0c27d61006dd10df02683cd172d027823c5b6bdba1bce570981daadf59374367	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_5391ebe046dfeed7.json	delimited_table	
source_artifact_3422a9cfc0afcc44	repo_search_dataverse_4450c811f725	data_file	dataverse	3491753	repo_search_dataverse_4450c811f725	CATS_55_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491753	https://dataverse.harvard.edu/api/access/datafile/3491753	doi:10.7910/DVN/KZW8R2		CATS_55_.tab	tab	text/tab-separated-values	8866	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_3422a9cfc0afcc44__CATS_55_.tab	1b07f3c33c9fea895bb32949cdaaa3fb1ad46a0a035951a16261dcbeefe6ca79	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_3422a9cfc0afcc44.json	delimited_table	
source_artifact_bd5d8c227422c6f8	repo_search_dataverse_4450c811f725	data_file	dataverse	3491714	repo_search_dataverse_4450c811f725	CATS_56_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491714	https://dataverse.harvard.edu/api/access/datafile/3491714	doi:10.7910/DVN/KZW8R2		CATS_56_.tab	tab	text/tab-separated-values	13619	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_bd5d8c227422c6f8__CATS_56_.tab	9f7f3dac3d6dd5a9238e66d2ff69f760802749f96aa431929460942329f0ca5d	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_bd5d8c227422c6f8.json	delimited_table	
source_artifact_01f4817521f5419f	repo_search_dataverse_4450c811f725	data_file	dataverse	3491639	repo_search_dataverse_4450c811f725	CATS_57_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491639	https://dataverse.harvard.edu/api/access/datafile/3491639	doi:10.7910/DVN/KZW8R2		CATS_57_.tab	tab	text/tab-separated-values	6010	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_01f4817521f5419f__CATS_57_.tab	94de6a7aaded5c685113230a87ecd3ff6a4dd9a4111340f52b8cc0c4740b42c5	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_01f4817521f5419f.json	delimited_table	
source_artifact_e8ef74b0feeee8e0	repo_search_dataverse_4450c811f725	data_file	dataverse	3491537	repo_search_dataverse_4450c811f725	CATS_58_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491537	https://dataverse.harvard.edu/api/access/datafile/3491537	doi:10.7910/DVN/KZW8R2		CATS_58_.tab	tab	text/tab-separated-values	6045	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_e8ef74b0feeee8e0__CATS_58_.tab	ba2ad8cc038c2379a5e83a79ef32434d8d48281c259929e4f1b97afde2678e93	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_e8ef74b0feeee8e0.json	delimited_table	
source_artifact_ded7c19ee9be05cf	repo_search_dataverse_4450c811f725	data_file	dataverse	3491888	repo_search_dataverse_4450c811f725	CATS_59_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491888	https://dataverse.harvard.edu/api/access/datafile/3491888	doi:10.7910/DVN/KZW8R2		CATS_59_.tab	tab	text/tab-separated-values	6045	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_ded7c19ee9be05cf__CATS_59_.tab	d25e51e84c295a64df5b9a5d2ae5a98fd7be9e2dae957f3c3e772942213be83b	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_ded7c19ee9be05cf.json	delimited_table	
source_artifact_e4d53ceee7cd6866	repo_search_dataverse_4450c811f725	data_file	dataverse	3491576	repo_search_dataverse_4450c811f725	CATS_60_.tab	https://dataverse.harvard.edu/file.xhtml?fileId=3491576	https://dataverse.harvard.edu/api/access/datafile/3491576	doi:10.7910/DVN/KZW8R2		CATS_60_.tab	tab	text/tab-separated-values	5735	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_4450c811f725/source_artifact_e4d53ceee7cd6866__CATS_60_.tab	69a00dd92fe993b33534e76dea8ad6b4bfe8b6bea2596959781e8e02046cde65	mirrored	downloaded	csv_table_parser				doi:10.7910/DVN/KZW8R2	needs_download	mirror_sample_and_route_parser_candidate	dataverse_pid=doi:10.7910/DVN/KZW8R2	2026-05-01	downloaded	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_e4d53ceee7cd6866.json	delimited_table	
