pair_chase_task_id	figure1_replication_pair_id	dn_pair_check_id	plot_universe_id	source_family_key	source_family_label	project	source_dataset	native_pair_id	pair_result_status	current_plot_rule_status	current_plot_rule_blockers	included_in_current_figure1	original_title	replication_title	original_doi	replication_doi	outcome_label	D_original	N_original	D_replication	N_replication	D_larger_N_minus_smaller_N	d_ratio	n_ratio	source_result_promotion_status	value_verification_state	target_acquisition_state	source_artifact_local_path	source_artifact_sha256	source_artifact_access_status	strict_original_result_check_id	strict_replication_result_check_id	pair_chase_priority	pair_chase_route	pair_chase_blocker	next_action	source_object_seed_urls_json	local_corpus_artifact_paths_json	search_query_original	search_query_replication	search_query_pair	created_at
figure1_pair_chase_80d103747cac1e4d	fig1_pair_dd9e7956cbeaade2	dn_pair_dd9e7956cbeaade2	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_52	dn_checked_numeric_pair	excluded_by_current_figure1_dn_rule	blocked_replication_N_le_original_N	false	paper_9_experiment_2	paper_9_experiment_2			Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + HGF (450 culture)	1.808879	18.0	0.5176725	18.0	-1.2912065	0.28618415051531915	1.0	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_e2b7208e241a8d56	dn_result_48d7715548ac4da0	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_9_experiment_2"" effect size sample size"	"""paper_9_experiment_2"" replication effect size sample size"	"""paper_9_experiment_2"" ""paper_9_experiment_2"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_69ba8b0a332846a1	fig1_pair_e1f61337efc490df	dn_pair_e1f61337efc490df	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_153	dn_checked_numeric_pair	included_by_current_figure1_dn_rule		true	paper_42_experiment_2	paper_42_experiment_2			Metastatic burden in femurs of shScr injected mice vs liposome	1.937689	10.0	0.5447114	12.0	-1.3929776	0.2811139455299586	1.2	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_329761d6719304aa	dn_result_7ad9a7efdcc60a21	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_42_experiment_2"" effect size sample size"	"""paper_42_experiment_2"" replication effect size sample size"	"""paper_42_experiment_2"" ""paper_42_experiment_2"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_29a7972da7452ee2	fig1_pair_e89a4344664d1fce	dn_pair_e89a4344664d1fce	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_73	dn_checked_numeric_pair	excluded_by_current_figure1_dn_rule	blocked_N_lt_10	false	paper_15_experiment_1	paper_15_experiment_1			DOX accumulation in prostate tumor tissue of DOX+PBS vs DOX+iRGD	7.409639	6.0	0.3177959	8.0	-7.0918431	0.042889525387134246	1.3333333333333333	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_97c6877a49b495bb	dn_result_01e33d5ac054cdff	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_15_experiment_1"" effect size sample size"	"""paper_15_experiment_1"" replication effect size sample size"	"""paper_15_experiment_1"" ""paper_15_experiment_1"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_66f70820b7664842	fig1_pair_eff6e32405495365	dn_pair_eff6e32405495365	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_60	dn_checked_numeric_pair	excluded_by_current_figure1_dn_rule	blocked_replication_N_le_original_N	false	paper_9_experiment_2	paper_9_experiment_2			Clonogenic frequency between TOP-GFPlow + HGF vs TOP-GFPlow + HGF + PHA (Co100 culture)	1.814815	18.0	0.8763851	18.0	-0.9384299	0.48290602623407897	1.0	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_1583456554cd1519	dn_result_502c4406d1d54759	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_9_experiment_2"" effect size sample size"	"""paper_9_experiment_2"" replication effect size sample size"	"""paper_9_experiment_2"" ""paper_9_experiment_2"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_e730d0040ed759ac	fig1_pair_f180c04fbde83cf4	dn_pair_f180c04fbde83cf4	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_63	dn_checked_numeric_pair	excluded_by_current_figure1_dn_rule	blocked_replication_N_le_original_N	false	paper_9_experiment_2	paper_9_experiment_2			Clonogenic frequency between TOP-GFPlow + MFCM vs TOP-GFPlow + MFCM + PHA (Co100 culture)	1.45847	18.0	1.407293	18.0	-0.05117700000000003	0.9649104883885167	1.0	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_f6ab188b012831f9	dn_result_1d97c43a7b6ba07d	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_9_experiment_2"" effect size sample size"	"""paper_9_experiment_2"" replication effect size sample size"	"""paper_9_experiment_2"" ""paper_9_experiment_2"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_3af948840298c61a	fig1_pair_f3437be69fb986fb	dn_pair_f3437be69fb986fb	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_3	dn_checked_numeric_pair	excluded_by_current_figure1_dn_rule	blocked_N_lt_10	false	paper_1_experiment_2	paper_1_experiment_2			DU145 cell proliferation between siPTEN+siPTENP1 and siPTEN	7.692164	6.0	1.588906	10.0	-6.103258	0.2065616385714085	1.6666666666666667	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_9ceeb542e3ac543d	dn_result_374ba80d9a2004b8	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_1_experiment_2"" effect size sample size"	"""paper_1_experiment_2"" replication effect size sample size"	"""paper_1_experiment_2"" ""paper_1_experiment_2"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_ea33baf2fe939876	fig1_pair_f4564e9301b638d3	dn_pair_f4564e9301b638d3	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_97	dn_checked_numeric_pair	included_by_current_figure1_dn_rule		true	paper_21_experiment_1	paper_21_experiment_1			Relative tumor volume of A549 xenografts treated with DOX vs vehicle	3.004983	12.0	1.263148	18.0	-1.7418350000000002	0.4203511301062268	1.5	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_4402f1461ee0d590	dn_result_443bdb92e95b8ca5	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_21_experiment_1"" effect size sample size"	"""paper_21_experiment_1"" replication effect size sample size"	"""paper_21_experiment_1"" ""paper_21_experiment_1"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_369f391dbbae923b	fig1_pair_f4ce98f1d035a7b4	dn_pair_f4ce98f1d035a7b4	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_103	dn_checked_numeric_pair	excluded_by_current_figure1_dn_rule	blocked_N_lt_10 | blocked_replication_N_le_original_N	false	paper_24_experiment_1	paper_24_experiment_1			PTEN-3'UTR luciferase reporter activity of siNC vs siPTEN	8.586207	8.0	2.484508	8.0	-6.101699	0.28936036599164217	1.0	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_73112a3d7e08b28e	dn_result_45bfc6e94762df33	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_24_experiment_1"" effect size sample size"	"""paper_24_experiment_1"" replication effect size sample size"	"""paper_24_experiment_1"" ""paper_24_experiment_1"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_08211704d58cf092	fig1_pair_f4dad62a391c241b	dn_pair_f4dad62a391c241b	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_118	dn_checked_numeric_pair	excluded_by_current_figure1_dn_rule	blocked_N_lt_10	false	paper_24_experiment_4	paper_24_experiment_4			cell proliferation of siNC vs siVAPA in wild-type HCT116 cells	6.088486	6.0	2.171778	8.0	-3.9167079999999994	0.35670247086057194	1.3333333333333333	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_53655cbe1b190969	dn_result_022a12e9110670b8	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_24_experiment_4"" effect size sample size"	"""paper_24_experiment_4"" replication effect size sample size"	"""paper_24_experiment_4"" ""paper_24_experiment_4"" replication original effect sample size"	2026-05-05T00:00:00
figure1_pair_chase_42dd7a9a0f3bf12f	fig1_pair_f6ccdee0845c45eb	dn_pair_f6ccdee0845c45eb	plot1_replication_pairs	rpcb	RPCB	RPCB	RPCB	rpcb_89	dn_checked_numeric_pair	included_by_current_figure1_dn_rule		true	paper_20_experiment_1	paper_20_experiment_1			Primary tumor growth between LM-4175 with or without Cav1 WT or Cav1 KO pMEFs	0.1874	34.0	0.2942	61.0	0.1068	1.5699039487726787	1.7941176470588236	ready_for_source_result_side_promotion	value-bearing source text found	source object mirrored	data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv	df1b7186b9cd3050141ccb67efa9c77f02383d769bf2babb94f5fecfc5d45bd4	local_file_present	dn_result_67352fd4819e933a	dn_result_626837f28ea321b6	P0	promote_existing_value_text_to_source_result		Promote existing value-bearing side rows into source_result/source_result_support before any new source chase.	[]	"[""data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv""]"	"""paper_20_experiment_1"" effect size sample size"	"""paper_20_experiment_1"" replication effect size sample size"	"""paper_20_experiment_1"" ""paper_20_experiment_1"" replication original effect sample size"	2026-05-05T00:00:00
