Study ID,Week beginning,Journal Name,Trial Title,Publication Date,Link to online trial report,Link to online reistry entry for trial,"Link to pre-trial protocol, if available",Pre-specified outcomes obtained from protocol or registry entry?,Assessor Name,Assigned date,Completion date,Link to Assessment,Assessment checked by second assessor - date,Second assessor name,Second assessor discrepancies?,Second assessor discrepancies free text,Total number of prespecified primary outcomes,Number of prespecified primary outcomes reported somewhere in the publication (other that main results table),Number of prespecified primary outcomes correctly reported,Total number of prespecified secondary outcomes,Number of prespecified secondary outcomes reported somewhere in the publication (other than main results table),Number of prespecified secondary outcomes correctly reported,Total number of non-prespecified outcomes reported,Number of non-prespecified outcomes correctly reported  (ie novel outcomes but described as such in the paper),First Assessor Opinion - Letter required?,Second Assessor Opinion - Letter Required?,Final Decision - Letter Required?,Link to letter,Letter checked by BG or CH - initial and date,Letter Submission Deadline,Letter sent date,Letter Status,Letter published date,"Results, Letter, Assessment checked for website - 1st assessor initial and date",Publication delay,"Complications and matters arising, in free text"
37,,NEJM,A Randomized Trial of Intensive versus Standard Blood-Pressure Contro,09/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1511939,https://clinicaltrials.gov/ct2/show/record/NCT01206062?term=NCT01206062&rank=1,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1511939/suppl_file/nejmoa1511939_protocol.pdf,Protocol,Philip Hartley,13/11/2015,22/11/2015,https://docs.google.com/spreadsheets/d/1c-i-kg9X1xA12DDCT_rjqYX8BOugcJj9T5hMNxN9Qt4/edit#gid=0,22/11/2015,Aaron Dale,No,,1,0,1,15,0,8,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1xF9GgmnIXDvoDTwuA9fajaxAD_Fjx-rKdyLoAdKeb8Q/edit,BG 23 nov 15,#REF!,23/11/2015,Letter unpublished after 4 weeks,,HD 20/12,,
38,,NEJM,Andexanet Alfa for the Reversal of Factor Xa Inhibitor Activity,09/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1510991,https://clinicaltrials.gov/ct2/show/NCT02207725?term=NCT02207725&rank=1,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1510991/suppl_file/nejmoa1510991_protocol.pdf,Protocol,Eirion Slade,13/11/2015,14/11/2015,https://drive.google.com/open?id=1RkUwwOZotZEu8y8Fk-2r9PQ9cjZnOp4UpqqaE22yF7E,24/11/2015,Ioan Milosevic,No,,4,0,4,16,8,8,0,0,No,No,No,No letter required,BG 25 nov 15,#REF!,Not required,Letter not required,,HD 20/12,,
39,,NEJM,Everolimus-Eluting Bioresorbable Scaffolds for Coronary Artery Disease,12/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1509038,https://clinicaltrials.gov/archive/NCT01751906/2013_01_08,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1509038/suppl_file/nejmoa1509038_protocol.pdf,Protocol,Eirion Slade,13/11/2015,14/11/2015,https://docs.google.com/spreadsheets/d/1CBHSYsvqK5C1YztzA9L6i0o5KkbRG2zjoTpHIMz87uA/edit#gid=0&vpid=A1,24/11/2015,Ioan Milosevic,Yes,Highlighted in yellow,1,0,1,83,0,15,8,0,Yes,Yes,Yes,https://docs.google.com/document/d/1eDeSFToRbaaz7y1WYFNUpHkpRO6rZPh6aiCXaCXZ_Ys/edit,BG 1dec15 (check 30 day 180day first),#REF!,02/12/2015,Letter rejected by editor,,ES 9/01,,"please check whether 30 and 180 day data has been reported, if not will need to code in scores here for them not reporting those time points"
40,,JAMA,"Effect of Financial Incentives to Physicians, Patients, or Both on Lipid LevelsA Randomized Clinical Trial",10/11/2015,http://jama.jamanetwork.com/article.aspx?articleid=2468891,https://clinicaltrials.gov/ct2/show/NCT01346189?term=NCT01346189&rank=1,http://jama.jamanetwork.com/data/Journals/JAMA/934661/JOI150135supp1_prod.pdf,Protocol,Aaron Dale,13/11/2015,07/12/2015,https://docs.google.com/spreadsheets/d/1FziN7-JYsDe7ahysg6Z4RnXIyNhd8PMqCsYy94StHtU/edit,24/11/2015,Eirion Slade,Yes,"Reviewed by AD, who was then made first assessor",3,0,3,9,0,3,6,0,Yes,Yes,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLSjAxOTVaaVhYaVk/view,CH 8/12,#REF!,08/12/2015,Letter rejected by editor,,AD 30/12,,
41,,JAMA,Endovascular Revascularization and Supervised Exercise for Peripheral Artery Disease and Intermittent Claudication,10/11/2015,http://jama.jamanetwork.com/article.aspx?articleid=2468892,http://www.trialregister.nl/trialreg/admin/rctview.asp?TC=2249,https://drive.google.com/file/d/0B2r5CjEdwpx_cWxzUFZOYXJHNG8/view,Protocol,Aaron Dale,13/11/2015,22/11/2015,https://docs.google.com/spreadsheets/d/1eAkim6TDGpep4M2iILGn2wdUywyPD6zY5WCcW8pwBU4/edit#gid=0&vpid=A1,02/12/2015,Philip Hartley,Yes,Resolved,3,0,3,37,0,21,6,0,Yes,Yes,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLSlpYal9QWjBZRVk/view,CH 8/12,#REF!,08/12/2015,Letter rejected by editor,,AD 30/12,,
42,,JAMA,Effect of Clopidogrel and Aspirin vs Aspirin Alone on Migraine Headaches After Transcatheter Atrial Septal Defect ClosureThe CANOA Randomized Clinical Trial,09/11/2015,http://jama.jamanetwork.com/article.aspx?articleid=2469193,https://clinicaltrials.gov/ct2/show/record/NCT00799045,http://jama.jamanetwork.com/data/Journals/JAMA/0/JOI150131supp1_prod.pdf,Protocol,Ioan Milosevic,13/11/2015,22/11/2015,https://drive.google.com/open?id=1Gut8_L8TntvTvvla7w9Avl7tzGTlWuRhcejH7YAUYPw,,Philip Hartley,No,,1,0,1,4,0,3,8,0,Yes,,Yes,https://drive.google.com/open?id=11kO_lrV9jRmlFi1gIN6ORLoHhd0qgZH-lwKu8ZpTC4M,BG 7th dec 15,#REF!,07/12/2015,Letter rejected by editor,,IM 12/1,,
43,,JAMA,Effect of Intravascular Ultrasound–Guided vs Angiography-Guided Everolimus-Eluting Stent ImplantationThe IVUS-XPL Randomized Clinical Trial,10/11/2015,http://jama.jamanetwork.com/article.aspx?articleid=2469205,https://clinicaltrials.gov/show/NCT01308281,http://jama.jamanetwork.com/article.aspx?articleid=2469205,Protocol,Henry Drysdale,13/11/2015,16/11/2015,https://docs.google.com/spreadsheets/d/1JKogenf94xvPO3kT0oODQNOGmlAE_YdlHWioxLJwEbA/edit#gid=0,18/11/2015,Eirion Slade,No,,0,0,0,0,0,0,5,0,Yes,Yes,Yes,https://docs.google.com/document/d/1dEoWf4aNho7t2qBouhfgOZQRlPL46VjJPGtS7feXpcg/edit,BG 8th dec 15,#REF!,08/12/2015,Letter rejected by editor,,HD 09/01,,
44,,Ann Intern Med.,Sofosbuvir Plus Velpatasvir Combination Therapy for Treatment-Experienced Patients With Genotype 1 or 3 Hepatitis C Virus Infection: A Randomized Trial,10/11/2015,http://annals.org/article.aspx?articleid=2468807,https://clinicaltrials.gov/ct2/show/record/NCT01909804,Not available,Registry Entry,Henry Drysdale,13/11/2015,17/11/2015,https://docs.google.com/spreadsheets/d/1C0T0fdhOOEXnlZ8UCBiuP2qlNtBh7ODFza1-CMjjd0o/edit#gid=0,18/11/2015,Eirion Slade,No,,2,0,1,3,0,0,5,0,Yes,Yes,Yes,https://docs.google.com/document/d/1XyX1ErKswep5i1tH2NNGDVVwpTXqGRM-Dfr_VlrMI0s/edit,BG 8th dec 15,#REF!,08/12/2015,Letter published,08/12/2015,HD 10/12,,
45,,Ann Intern Med.,Sofosbuvir With Velpatasvir in Treatment-Naive Noncirrhotic Patients With Genotype 1 to 6 Hepatitis C Virus Infection: A Randomized Trial,10/11/2015,http://annals.org/article.aspx?articleid=2468806,https://clinicaltrials.gov/ct2/show/NCT01858766,Not available,Registry Entry,Henry Drysdale,13/11/2015,18/11/2015,https://docs.google.com/spreadsheets/d/18_bZ5IUB3OTJPf2vP15sCgI15ZBtFvfR9UTs1TFPVKQ/edit#gid=0,,Eirion Slade,Yes,I agree that pharmacokinetics is inadequately prespecified,2,0,1,5,0,0,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1r8gSIkQJn9XK5BPr6QQun3HbOONiWnXeZ_RX878kwFQ/edit,BG 8th dec 15,#REF!,08/12/2015,Letter published,08/12/2015,HD 10/12,,
46,,Lancet,Immediate delivery compared with expectant management after preterm pre-labour rupture of the membranes close to term (PPROMT trial): a randomised controlled trial,09/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00724-2/abstract,http://www.isrctn.com/ISRCTN44485060,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1464097/,Protocol,Ioan Milosevic,13/11/2015,19/11/2015,https://drive.google.com/open?id=1EELYPdHYa2mD2VTJiSDcOUeqrHLNPZu6RvrtWMucDRg,,Philip Hartley,No,,1,0,1,34,5,11,17,0,Yes,,Yes,https://drive.google.com/open?id=1RIqokpmY0f6e6faqyFtIX0DAjoIImN5EbXqg01Hv7iU,BG 23 nov 15,#REF!,23/11/2015,Letter published,14/05/2016,IM 22/12,,
47,,BMJ,Computerised cognitive behaviour therapy (cCBT) as treatment for depression in primary care (REEACT trial): large scale pragmatic randomised controlled trial,11/11/2015,http://www.bmj.com/content/351/bmj.h5627,http://www.isrctn.com/ISRCTN91947481?q=91947481&filters=&sort=&offset=1&totalResults=1&page=1&pageSize=10&searchType=basic-search,Published after trial start date,Registry Entry,Henry Drysdale,13/11/2015,19/11/2015,https://docs.google.com/spreadsheets/d/1_9VL-TCvAKN57HB8D_WQVNptMDRM7wihuLtRDO37Lyg/edit#gid=0,,Eirion Slade,No,,1,0,0,4,0,3,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1VjFAe7Hb0ZjkKCprmphTPLNX4Sp8MHZKn4PH5ICLQNs/edit,KM 17/12,BMJ,17/12/2015,Letter published,17/12/2015,HD 17/12,,
48,,JAMA,Panretinal Photocoagulation vs Intravitreous Ranibizumab for Proliferative Diabetic Retinopathy A Randomized Clinical Trial,13/11/2015,http://jama.jamanetwork.com/article.aspx?articleid=2469891,https://clinicaltrials.gov/show/NCT01489189,https://drive.google.com/file/d/0B7EgEnbh0CtLV0VESlJtdnp6TXc/view,Registry Entry,Aaron Dale,14/11/2015,09/11/2015,https://docs.google.com/spreadsheets/d/1guirfvsEo-p5s4paPc4a2H9N4vnZmg_jAty4k3HRSWs/edit#gid=0,09/11/2015,Henry Drysdale,No,,1,0,1,13,0,10,16,0,Yes,Yes,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLcjdEM2JrMkxXcjg/view,BG 9 dec 15,#REF!,09/12/2015,Letter rejected by editor,,AD 10/01/16,,
49,16/11/2015,NEJM,"Sofosbuvir and Velpatasvir for HCV Genotype 1, 2, 4, 5, and 6 Infection",16/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1512610,http://clinicaltrials.gov/show/NCT02201940,,Registry Entry,Henry Drysdale,20/11/2015,26/11/2015,https://docs.google.com/spreadsheets/d/1nccs4wi1NVQyEum-_iNIqU1YAHTqSY3DS68NuaDBY04/edit#gid=0&vpid=A1,30/11/2015,Aaron Dale,No,,2,1,1,5,0,1,2,0,Yes,,Yes,https://docs.google.com/document/d/1YvUqNW7sXhaWFTd4iQhrD6dVbfc3NCHZcKVowbXwZUM/edit,bg 30 nov 2015,#REF!,30/11/2015,Letter rejected by editor,,HD 31/12,,
50,,NEJM,Sofosbuvir and Velpatasvir for HCV in Patients with Decompensated Cirrhosis,16/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1512614,https://clinicaltrials.gov/show/NCT02201901,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1512614/suppl_file/nejmoa1512614_protocol.pdf,Registry Entry,Henry Drysdale,20/11/2015,27/11/2015,https://docs.google.com/spreadsheets/d/15HctRRJgbzT6LudoICPAoKqP8XYNMUkTpjzpS4r449E/edit#gid=0&vpid=A1,02/11/2015,Aaron Dale,No,,2,,2,7,1,2,0,0,Yes,Yes,Yes,https://docs.google.com/document/d/1n964-B-uy9D3NMDsHaIUfJICwo0RL_JqVS2Wu-iipMg/edit,BG 7 dec 15,#REF!,07/12/2015,Letter rejected by editor,,HD 09/01,,
51A,,NEJM,Sofosbuvir and Velpatasvir for HCV Genotype 2 and 3 Infection,17/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1512612,https://clinicaltrials.gov/ct2/results?term=NCT02220998&Search=Search,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1512612/suppl_file/nejmoa1512612_protocol.pdf,Protocol,Philip Hartley,20/11/2015,26/11/2015,https://docs.google.com/spreadsheets/d/1DDCeC1a1aYHWJYjIFwV8gJq4rj50nqyGDWRQ7KcSmzY/edit#gid=0,28/11/2015,Ioan Milosevic,Yes,"Use endpoints, not objectives",1,0,1,5,0,2,2,0,Yes,Yes,Yes,https://docs.google.com/document/d/19_0GAMa0PY4tl4FTUvlGOSn7_v_JsEQ10Jmk5TXpNcI/edit,CH 8/12,#REF!,08/12/2015,Letter rejected by editor,,PH 9/1,,
51B,,NEJM,Sofosbuvir and Velpatasvir for HCV Genotype 2 and 3 Infection,17/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1512612,https://clinicaltrials.gov/ct2/results?term=NCT02220998&Search=Search,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1512612/suppl_file/nejmoa1512612_protocol.pdf,Protocol,Philip Hartley,20/11/2015,26/11/2015,https://docs.google.com/spreadsheets/d/1njT04nYNQprKTQmR0qRTX6B434Npy-00f97FlSA1cus/edit#gid=0,28/11/2015,Ioan Milosevic,Yes,"Use endpoints, not objectives",1,0,1,5,0,2,2,0,Yes,Yes,Yes,https://docs.google.com/document/d/19_0GAMa0PY4tl4FTUvlGOSn7_v_JsEQ10Jmk5TXpNcI/edit,CH 8/12,#REF!,08/12/2015,Letter rejected by editor,,PH 9/1,,
52,,NEJM,Activity of Oral ALS-008176 in a Respiratory Syncytial Virus Challenge Study,19/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1413275,https://clinicaltrials.gov/ct2/show/NCT02094365?term=NCT02094365&rank=1,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1413275/suppl_file/nejmoa1413275_protocol.pdf,Protocol,Philip Hartley,20/11/2015,28/11/2015,https://docs.google.com/spreadsheets/d/1MVihr8u2QI5YjGPqpwucxFI-20c9x2OnGV_PGsqtRaM/edit#gid=0&vpid=A1,03/12/2015,Ioan Milosevic,Yes,Query on some endpoints,1,0,1,11,0,7,5,0,Yes,Yes,Yes,https://docs.google.com/document/d/1pX_tVdwisSJdRgzlE3RlR_wFLYNpdelvHaGPFDjm7cU/edit,bg 9 dec 2015,#REF!,09/12/2012,Letter rejected by editor,,PH 6/1,,
53,,NEJM,Polymer-free Drug-Coated Coronary Stents in Patients at High Bleeding Risk,19/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1503943,https://clinicaltrials.gov/ct2/show/NCT01623180?term=NCT01623180&rank=1,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1503943/suppl_file/nejmoa1503943_protocol.pdf,Protocol,Philip Hartley,20/11/2015,27/11/2015,https://docs.google.com/spreadsheets/d/10j0IMnvKDcc-y3BkzDtN9QtRpOXkTSNLhNsGeiSjGp0/edit#gid=0,09/12/2015,Ioan Milosevic,Yes,https://drive.google.com/open?id=1tNBJpxaBJ2zfDfHXCK6RDCxrrtCRxsfqw1SWKg1efVY,2,0,2,55,0,11,10,0,Yes,Yes,,https://docs.google.com/document/d/1ws7dVAywuPhIau7SvrjUlRqwKKMJY-IDw9QauoEVrGc/edit,BG 9th dec 2015 but update refs and discuss with ioan,#REF!,09/12/2012,Letter rejected by editor,,,,
54,,JAMA,Early Administration of Azithromycin and Prevention of Severe Lower Respiratory Tract Illnesses in Preschool Children With a History of Such Illnesses,17/11/2015,http://jama.jamanetwork.com/article.aspx?articleid=2470445,http://clinicaltrials.gov/show/NCT01272635,Published after trial commencement,Registry Entry,Ioan Milosevic,20/11/2015,22/11/2015,https://drive.google.com/open?id=1sS5CEggFn41gaUErP6ErIX0UVdXVOyFz5VVE-caHlFg,,Eirion Slade,No,,1,0,1,4,0,3,3,0,Yes,Yes,Yes,https://drive.google.com/open?id=13fMOwWRXHO1AsTDm7sylMFgB8raJbe-y8UOodCXrpJM,BG 14th dec,#REF!,15/12/2015,Letter rejected by editor,,IM 12/1,,
55,,Lancet,Extended pre-exposure prophylaxis with lopinavir–ritonavir versus lamivudine to prevent HIV-1 transmission through breastfeeding up to 50 weeks in infants in Africa (ANRS 12174): a randomised controlled trial,18/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00984-8/abstract,https://clinicaltrials.gov/ct2/show/record/NCT00640263,Published after trial commencement,Registry Entry,Ioan Milosevic,20/11/2015,22/11/2015,https://drive.google.com/open?id=1Bxlh5UFaCzUKMzvASWJX6T3AUhArKBqcv2wdpJK-TJI,,Eirion Slade,No,,1,0,1,4,0,2,0,0,No,No,No,,BG 25 Nov 15,#REF!,Not required,Letter not required,,IM 12/12,,
56,,Lancet,"Liraglutide safety and efficacy in patients with non-alcoholic steatohepatitis (LEAN): a multicentre, double-blind, randomised, placebo-controlled phase 2 study",19/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00803-X/abstract,https://clinicaltrials.gov/show/NCT01237119,http://bmjopen.bmj.com/content/3/11/e003995.full.pdf+html,Protocol,Aaron Dale,20/11/2015,30/11/2015,https://docs.google.com/spreadsheets/d/1xV7Fq9i8RC9IecqVf71gcQhqhXynU__3FcSyYAzRL64/edit#gid=0&vpid=A1,12/12/2015,Philip Hartley,No,,1,0,1,18,0,16,4,0,Yes,Yes,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLTElKSVVjWHNuNmc/view,CH 30 Nov 25,#REF!,03/12/2015,Letter unpublished after 4 weeks,,AD 30/12,,
57,,Lancet,"Spironolactone versus placebo, bisoprolol, and doxazosin to determine the optimal treatment for drug-resistant hypertension (PATHWAY-2): a randomised, double-blind, crossover trial",21/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00257-3/abstract,https://clinicaltrials.gov/show/NCT02369081,Published after trial completion,,Aaron Dale,20/11/2015,02/12/2015,https://docs.google.com/spreadsheets/d/1i6m6KCrN8B3W2HjNDqLy4ztYw8o8TTvVCGZP5qeMC8I/edit#gid=0&vpid=A1,,Philip Hartley,No,,3,0,1,1,0,0,10,0,Yes,,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLNXRiUWxTV3BZeFk/view,BG 4 Dec 15 but correct refs and get phil approval,#REF!,05/12/2015,Letter published,,AD 10/01/16,,Registry entry not made until four months before final data collection. Protocol not published until after final data collection. EudraCT registry entry not acccessible.
58,,Lancet,"Skin antisepsis with chlorhexidine–alcohol versus povidone iodine–alcohol, with and without skin scrubbing, for prevention of intravascular-catheter-related infection (CLEAN): an open-label, multicentre, randomised, controlled, two-by-two factorial trial",21/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00244-5/abstract,https://clinicaltrials.gov/archive/NCT01629550/2012_06_29,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3680971/pdf/1745-6215-14-114.pdf,Registry Entry,Eirion Slade,20/11/2015,24/11/2015,https://docs.google.com/spreadsheets/d/1WHdJz_Y94HiYOhEA7QFr3MqrTdgmuemVf1UYpa9Zoa4/edit,30/11/2015,Henry Drysdale,Yes,"See comments on assessment sheet. Have deleted NPS outcomes for now, as I think it would help to re-assess these.",1,0,1,7,0,6,1,1,No,Yes,No,,"BG 4 Dec 15 no letter required on balance, list of prespecified outcomes in paper so implicit that outcomes not in that list are non pre specified, and mortality/hospital stay issues discussed in comments on sheet.  ",#REF!,Not required,Letter not required,,HD 31/12,,
59,,Lancet,"Safety, efficacy, and immunogenicity of VGX-3100, a therapeutic synthetic DNA vaccine targeting human papillomavirus 16 and 18 E6 and E7 proteins for cervical intraepithelial neoplasia 2/3: a randomised, double-blind, placebo-controlled phase 2b trial",21/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00239-1/abstract,https://clinicaltrials.gov/archive/NCT01304524/2012_04_06,https://docs.google.com/document/d/119m4R_9yolR5UirEAbUfy37pHtYhS8cIHK1y_uWiFpE/edit,Registry Entry,Eirion Slade,20/11/2015,24/11/2015,https://docs.google.com/spreadsheets/d/14ktLgb_5lY1_dmhtbjc8W5Q0KH3NlTKH6FWptjFDZLs/edit#gid=0&vpid=A1,30/11/2015,Henry Drysdale,Yes,"See comments on assessment sheet. Consider including NPS for all results given with p-values in free text results section. These are highlighted in the pdf that's saved in the Trial 59 folder, but have not been included yet.",1,0,1,1,0,1,15,15,No,Yes,No,,BG 4 DEc 15 overall no letter,#REF!,Not required,Letter not required,,HD 31/12,,
60,,Lancet,"Nanoliposomal irinotecan with fluorouracil and folinic acid in metastatic pancreatic cancer after previous gemcitabine-based therapy (NAPOLI-1): a global, randomised, open-label, phase 3 trial ",29/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00986-1/abstract,https://clinicaltrials.gov/ct2/show/record/NCT01494506,Not available,Registry Entry,Ioan Milosevic,27/11/2015,08/12/2015,https://drive.google.com/open?id=1qsbm-_M5ORh-a452xMV015-3R-IrPOZkuI4Kglx-M0A,,Henry Drysdale,No,,1,0,1,3,0,3,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1fpbgK51Vhl0BH5l0TTl2GP37e-QVhUQYQbH8gpyPw7I/edit,BG 8th dec 15,#REF!,09/12/2015,Letter published,14/05/2016,IM 12/1,,
62,23/11/2015,NEJM,A Randomized Trial of Progesterone in Women with Recurrent Miscarriages,26/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1504927,http://www.controlled-trials.com/ISRCTN92644181,http://www.nejm.org/doi/full/10.1056/NEJMoa1504927,Protocol,Aaron Dale,27/11/2015,12/12/2015,https://docs.google.com/spreadsheets/d/1CThX2yhqwjNwWGJtSmuHtGtRAtMrw0XbdMdJ4D5Siks/edit#gid=0,12/12/2015,Ioan Milosevic,Yes,Resolved,1,0,1,8,0,8,0,0,No,Not Sure,No,Letter not required,BG 14th dec,#REF!,Not required,Letter not required,,AD 30/12,,
63,,NEJM,"Empagliflozin, Cardiovascular Outcomes, and Mortality in Type 2 Diabetes",26/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1504720,https://clinicaltrials.gov/ct2/show/NCT01131676?term=NCT01131676&rank=1,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1504720/suppl_file/nejmoa1504720_protocol.pdf,Protocol,Philip Hartley,27/11/2015,12/12/2015,https://docs.google.com/spreadsheets/d/12R5h3ccCaSdO6ZS-yRmw4GQQ-D1-rmqJfb-rDi6IxM4/edit#gid=0,16/12/2015,Eirion Slade,Yes,Just check HbA1c as a NPS and also hospitalisation for unstable angina is a component of the primary outcome. Also just check that the Registry enty used tallies up to the original protocol outcomes (which can be deduced by looking through the summary of changes),1,0,1,50,0,36,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1oY24c8cC7sn5pH51T4ITm0XbL_B5xXJSGt2-LdzhSpM/edit,BG 17 dec,#REF!,17/12/2015,Letter rejected by editor,,HD 12/1,,
64A,,NEJM,Home Use of an Artificial Beta Cell in Type 1 Diabetes in Adults,26/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1509351,https://clinicaltrials.gov/ct2/show/record/NCT01961622?term=NCT01961622&rank=1,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1509351/suppl_file/nejmoa1509351_protocol.pdf,Protocol,Philip Hartley,27/11/2015,16/12/2015,https://docs.google.com/spreadsheets/d/1jGHHRB0iztdonRgavgPEh1tvR9mgwQ0Jqo42VrNVrkA/edit#gid=0,16/12/2015,Eirion Slade,Yes,,1,0,1,15,0,10,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1P-NdVGnMym6yRJNzYLRDRjEBfCPv88KcmPxRrfozURg/edit,BG 17 dec,#REF!,17/12/2015,Letter rejected by editor,,ES 09/01,,
64B,,NEJM,Home Use of an Artificial Beta Cell in Type 1 Diabetes in Children,26/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1509351,https://clinicaltrials.gov/ct2/show/record/NCT01961622?term=NCT01961622&rank=1,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1509351/suppl_file/nejmoa1509351_protocol.pdf,Protocol,Philip Hartley,27/11/2015,16/12/2015,https://docs.google.com/spreadsheets/d/1GMdsMzOTXTdTCi84WsUoz0VfKT96Ki6QAoA8z1nRLg4/edit#gid=0,16/12/2015,Eirion Slade,Yes,,1,0,1,12,0,8,4,0,Yes,Yes,Yes,https://docs.google.com/document/d/1P-NdVGnMym6yRJNzYLRDRjEBfCPv88KcmPxRrfozURg/edit,BG 17 dec,#REF!,17/12/2015,Letter rejected by editor,,ES 09/01,,
68,,Ann Intern Med.,HIV Salvage Therapy Does Not Require Nucleoside Reverse Transcriptase Inhibitors,24/11/2015,http://annals.org/article.aspx?articleid=2471595,https://clinicaltrials.gov/archive/NCT00537394/2008_01_28,,Registry Entry,Eirion Slade,27/11/2015,15/12/2015,https://docs.google.com/spreadsheets/d/1yxheOx7lrvK0wejwoFbiYyso4DBcHh3-3HJIqrFXYgc/edit#gid=0,16/12/2015,Aaron Dale,Yes,Comments on powerpoint and assessment sheet,1,0,1,22,1,7,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1ME1gndvrt1_ZZ49QJ1nnkpsX4900V8gCuRRSRfyj0Ys/edit,,#REF!,22/12/2015,Letter published,,ES 09/01,,
69,,Lancet,Bifidobacterium breve BBG-001 in very preterm infants: a randomised controlled phase 3 trial,25/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01027-2/abstract,http://www.controlled-trials.com/ISRCTN05511098?q=05511098&filters=&sort=&offset=1&totalResults=1&page=1&pageSize=10&searchType=basic-search,"https://www.npeu.ox.ac.uk/PiPS/protocol (only available registry entries and protocol available after start date, but both identical so registry entry (easier) used)",Registry Entry,Eirion Slade,27/11/2015,07/12/2015,https://docs.google.com/spreadsheets/d/1fdBEsYbFGZsS7YkX6-3g_7uSklWrp3YpHM13-Cf9kBs/edit,07/12/2015,Aaron Dale,Yes,See comments sheet,3,0,3,19,0,18,8,0,Yes,Yes,Yes,https://docs.google.com/document/d/1UjJ9lDW5oDFILb6VoiUOzTaH0-Gi-QVnibpnhjydXxE/edit,KM 8/12,#REF!,08/12/2015,Letter unpublished after 4 weeks,,ES 09/01,,
70,,BMJ,Stepped care for depression and anxiety in visually impaired older adults: multicentre randomised controlled trial,23/11/2015,http://www.bmj.com/content/351/bmj.h6127,http://www.trialregister.nl/trialreg/admin/rctview.asp?TC=3296,http://www.biomedcentral.com/1471-244X/13/209,Registry Entry,Henry Drysdale,27/11/2015,28/11/2015,https://docs.google.com/spreadsheets/d/1CyZx5y3n7_ReQlaGWenbCBIhPn5pnfLIg7J8UlbMc-Q/edit#gid=0&vpid=A1,16/12/2015,Ioan Milosevic,Yes,See comments on sheet,1,,0,7,0,0,22,0,Yes,Not Sure,Yes,https://docs.google.com/document/d/1SAuPf-gz91PeqrYGxRw6i3J8YkYEU4iPcOJAw-ZLS8U/edit,CH 18/1/16,BMJ,19/01/2016,Letter published,19/01/2016,HD 18/01,,
