candidate_id	lab	n_death_no_delay	mean_death_no_delay	sd_death_no_delay	n_all_other	mean_all_other	sd_all_other	mean_difference_death_no_delay_minus_all_other	mean_difference_se	pooled_sd	cohen_d_death_no_delay_minus_all_other	cohen_d_se
api_candidate_410ff1685532db83	BeaudryLab	16	0.125	0.3415650255319866	37	0.1891891891891892	0.46175016319781975	-0.0641891891891892	0.11425491649246196	0.42990367538704266	-0.14931063134410194	0.2995756872086921
api_candidate_410ff1685532db83	BehavioralNeuroscienceLab	6	0.8333333333333334	0.752772652709081	48	0.1875	0.39444277960558327	0.6458333333333334	0.3125472777475804	0.44171504331093303	1.4621040037314665	0.45613076015849363
api_candidate_410ff1685532db83	BehavioralScienceInstitute	42	1.0714285714285714	1.386218881510581	177	0.96045197740113	1.1695064125951518	0.11097659402744142	0.23125704661501412	1.2134212555599984	0.09145759852065993	0.17169308182755477
api_candidate_410ff1685532db83	BehaviouralScienceCentre	16	0.1875	0.4031128874149275	39	0.10256410256410256	0.3073547406047282	0.08493589743589744	0.11215381911855217	0.3372262996341973	0.2518661727392874	0.29789173173966915
api_candidate_410ff1685532db83	BrainDynamicsLab	26	0.11538461538461539	0.32581259360842113	81	0.12345679012345678	0.39945951138327884	-0.008072174738841392	0.07779983499983817	0.3832104762039933	-0.021064598282392353	0.2254092509490499
api_candidate_410ff1685532db83	CDAL	7	0.2857142857142857	0.48795003647426666	30	0.23333333333333334	0.4301830671520762	0.05238095238095236	0.2004549520906276	0.4406241707668174	0.11887898090064802	0.41999091053826576
api_candidate_410ff1685532db83	CognitivePsychologyLab	28	0.4642857142857143	1.0708993401928104	75	0.17333333333333334	0.4464070779896745	0.29095238095238096	0.20884230161458758	0.6727434034906047	0.43248641226765194	0.2235477172843541
api_candidate_410ff1685532db83	CoventryBOP	18	0.5555555555555556	0.7047921864945659	45	0.13333333333333333	0.34377582547616437	0.4222222222222223	0.1738461569920879	0.47294758390548963	0.8927463350919582	0.29036275937248174
api_candidate_410ff1685532db83	ExperimentalPsychologyLab	8	0.125	0.3535533905932738	38	0.0	0.0	0.125	0.125	0.14101901870444158	0.8864052604279181	0.40030533459130374
api_candidate_410ff1685532db83	GRECIL	18	0.2222222222222222	0.42779263194649864	37	0.05405405405405406	0.22924343513512563	0.16816816816816815	0.10764464237968376	0.3072397810758372	0.5473515427569535	0.29224807672611774
api_candidate_410ff1685532db83	KasselLab	8	0.125	0.3535533905932738	39	0.02564102564102564	0.16012815380508716	0.09935897435897437	0.12760275152175887	0.20272361997770785	0.49012036372426754	0.3915483548771398
api_candidate_410ff1685532db83	MSUCloseRelationshipsLab	41	0.4146341463414634	0.6314906870294115	169	0.1834319526627219	0.4317296984739163	0.2312021936787415	0.1040637108723727	0.47669146699921044	0.4850143325077066	0.17570680634891214
api_candidate_410ff1685532db83	OzArGeGroup	24	0.3333333333333333	0.6370220572706061	77	0.14285714285714285	0.3522217346728335	0.19047619047619047	0.1360859410243747	0.43533227483634795	0.4375420833380551	0.23584012353561645
api_candidate_410ff1685532db83	SPAL	12	0.08333333333333333	0.28867513459481287	36	0.1111111111111111	0.3984095364447979	-0.027777777777777776	0.10655334588966311	0.37510063062035426	-0.07405420175337465	0.3334227347921846
api_candidate_410ff1685532db83	SPlab	32	2.21875	1.3850439611050431	100	1.1	1.2431631210161223	1.11875	0.2745958523869103	1.2784267675545598	0.8750990110602911	0.2102269678151788
api_candidate_410ff1685532db83	StigmaLab	9	0.4444444444444444	0.7264831572567789	32	0.1875	0.39655776945626603	0.2569444444444444	0.25210372830398803	0.4829721609597268	0.5320067391335006	0.3820860058427933
api_candidate_410ff1685532db83	UNIPOUPJS	2	0.0	0.0	23	0.043478260869565216	0.2085144140570748	-0.043478260869565216	0.04347826086956522	0.20393111999232305	-0.2132007163556104	0.7378796671287638
api_candidate_410ff1685532db83	UnivVienna	11	0.45454545454545453	0.6875516509523286	50	0.04	0.19794866372215741	0.41454545454545455	0.20918623301010514	0.33565702650965085	1.2350268929452473	0.3519023862337964
api_candidate_410ff1685532db83	WorkSocialPsychology	24	0.16666666666666666	0.38069349381344053	60	0.06666666666666667	0.2515488742932317	0.09999999999999999	0.08422150128657788	0.2935623643940379	0.3406431209477987	0.2429832926419935
api_candidate_410ff1685532db83	unipoPsychLab	35	0.11428571428571428	0.40376380482162294	96	0.03125	0.17490598978639324	0.08303571428571428	0.07054453138561484	0.255923728082786	0.3244549261131971	0.19848456455429697
