level,subset,source_corpus,field,source_kind,published_scope,n,slope,intercept,slope_se,p_value,r_squared,median_D,median_N
row,all_usable_rows,forrt_fred,marketing/org behavior,replication_target_original_claim,published_original_claims_selected_for_replication,17,-0.24635790548264147,0.20803738185734913,0.12584274017889346,0.06914041682362233,0.20350253084772063,0.5003828019545271,106.0
row,all_usable_rows,forrt_fred,economics,replication_target_original_claim,published_original_claims_selected_for_replication,15,-0.4075001761555127,0.53897115305579,0.0643327056555004,2.5995216975282973e-05,0.7552842961767762,0.3960237010497315,393.0
row,all_usable_rows,forrt_fred,sociology,replication_target_original_claim,published_original_claims_selected_for_replication,14,-0.5625867375581932,1.1001464521535422,0.1981198531325779,0.014906992843617142,0.40189863576076545,0.5893955130531064,1681.0
row,all_usable_rows,forrt_fred,Evolutionary Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,12,-0.5045368722437076,0.6794392900128416,0.06918606654505165,2.6243464787089115e-05,0.8417221276470261,0.5601210780334355,35.5
row,all_usable_rows,forrt_fred,education,replication_target_original_claim,published_original_claims_selected_for_replication,12,-0.4810373380566484,0.8033923753896055,0.06181924344931914,1.499717699057274e-05,0.8582554508633291,0.15220139976007996,9341.0
row,all_usable_rows,forrt_fred,Clinical Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,8,-0.7407049810049278,1.4749170221260932,0.19570992164380013,0.009129815286265677,0.7047827779235974,0.1576381933537199,1068.0
row,all_usable_rows,forrt_fred,Organizational Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,8,-0.010252794077812646,-0.349505525914033,0.07597910720430151,0.8970705744195959,0.0030257204571180196,0.4208832278787158,97.0
row,all_usable_rows,forrt_fred,health,replication_target_original_claim,published_original_claims_selected_for_replication,5,-0.5420149678523442,1.042882364810417,0.4213157313024698,0.2885641197789372,0.35553654592899375,0.1265694939137127,4409.0
row,all_usable_rows,forrt_fred,Consumer Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,4,,,,,,0.40201512610368484,104.0
row,all_usable_rows,forrt_fred,Consumer Research,replication_target_original_claim,published_original_claims_selected_for_replication,4,,,,,,0.6574054199290261,68.0
row,all_usable_rows,forrt_fred,psychology_replication,replication_target_original_claim,published_original_claims_selected_for_replication,4,-0.6466396874479297,0.9805991178142424,0.11766392791108359,0.031551566605455134,0.9378923681443486,0.3928042963066929,172.0
row,all_usable_rows,forrt_fred,Cognitive psychology,replication_target_original_claim,published_original_claims_selected_for_replication,3,-0.8811651687054967,1.4684573763420885,0.8200955935704606,0.4771572860959531,0.5358504618065301,0.42,140.0
row,all_usable_rows,forrt_fred,Gender Stereotypes,replication_target_original_claim,published_original_claims_selected_for_replication,3,,,,,,0.4082482904638631,165.0
row,all_usable_rows,forrt_fred,Human Genetics,replication_target_original_claim,published_original_claims_selected_for_replication,3,,,,,,1.1464562082685321,383.0
row,all_usable_rows,forrt_fred,management,replication_target_original_claim,published_original_claims_selected_for_replication,3,0.9013023433332971,-2.7011311899866577,1.1121038453992176,0.5664114587156918,0.3964363074898871,0.3339324291590352,353.0
row,all_usable_rows,forrt_fred,Law,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.43488016159208487,78.0
row,all_usable_rows,forrt_fred,Psychopathology,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.6111958115490164,51.5
row,all_usable_rows,forrt_fred,Social/cognitive psychology,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.6368221048378526,46.0
row,all_usable_rows,forrt_fred,Sports Science,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.9045767114330592,17.0
row,all_usable_rows,forrt_fred,Animal Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,1.8340426038080408,18.0
row,all_usable_rows,forrt_fred,Health Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,0.831587915700115,54.0
row,all_usable_rows,forrt_fred,criminology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,0.2304555964698569,813.0
row,published_original_candidates,metabus_open_bosco,io_psychology_management,published_original_journal_correlation_matrix,published_jap_personnel_psychology,169135,-0.1197131584133559,-0.2273691601607268,0.002289620712524593,0.0,0.015906142052842576,0.3450221204771904,224.0
row,published_original_candidates,szucs_ioannidis_2017,cognitive_neuroscience_psychology,published_original_journal_test_statistics,published_18_journals,26796,-0.4980211629441837,0.6596443170169595,0.006982512145333869,0.0,0.15956535120587423,1.0744330228016885,21.0
row,published_original_candidates,economics_brodeur_2024,economics,published_economics_extracted_tests,published_top_journal_economics_tables,10071,-0.44876710193419483,0.21890340289633178,0.007277634004366211,0.0,0.2741197110392518,0.06083993020996478,2050.0
row,published_original_candidates,havranek_armington,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,1383,-0.3462895006399823,0.48966703349191903,0.02631074212183073,2.338815019646378e-37,0.11145469098047345,0.6543182313111007,122.0
row,published_original_candidates,motyl_2017_critical_tests,psychology_social_personality,published_original_article_critical_hypothesized_test,sampled_social_personality_journal_articles,1305,-0.30968969997381773,0.40612456374846695,0.014709874773808368,6.270158651497208e-85,0.2538238902005129,0.59,90.0
row,published_original_candidates,metalab,developmental_psychology,meta_analysis_curated_primary_studies,peer_reviewed_flag_available,894,-0.7058566694398797,0.49798865074065735,0.056065515071209174,1.4252412092704102e-33,0.15088411613001063,0.31,24.0
row,published_original_candidates,score_cos_claims,psychology and health,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,855,-0.35343460200058585,0.45780034047342466,0.012033806142028737,1.4318329911138354e-131,0.5027993835409315,0.46,183.0
row,published_original_candidates,button_nord_neuroscience,neuroscience,published_meta_analysis_primary_studies,published_primary_studies,688,-0.40408512516763323,0.24576142620623567,0.0251416529253377,1.4345843392939214e-49,0.2735513578372014,0.21262686955169954,100.0
