access_id	source_id	access_role	remote_url	api_url	local_path	content_type	file_sha256	file_size_bytes	retrieved_at	retrieved_by	retrieval_method	access_status	access_barrier	access_notes
acc_21c181e8fd7f	src_du2024	source_file_or_catalog			data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	csv	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	116679598		preexisting_pipeline_or_unknown	existing_local_file_plus_notes	local_file_found		data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment
acc_72aa8e244eab	src_ying2023pilot	source_file_or_catalog			data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	csv	132f4777c0b9137f9eac23ca45d60435820cbfa4565439f091d1022c11094dc3	9809		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv
acc_257dfff88ee0	src_tyner2026	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_b2a8ef9c99e9	src_bosco2020metabus	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_f06c7be1da8f	src_schaefer2019meaningfulness	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_bf7a03953cc7	src_yengo2022	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_31f42dbf57b1	src_tosh2024	source_file_or_catalog			data/derived/replication_pairs/replication_pairs_all_on_hand.csv	csv	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46	1546005		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/replication_pairs/replication_pairs_all_on_hand.csv
acc_e144aa086fbd	src_internalplot2replicationpairoriginalsbridge	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_1783c4826f15	src_du2024	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_682df5779b17	src_zhang2025clinifact	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
