source_result_id	problem_code	severity	detail
sr_68c0e5067d4b	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_f339c0254923	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_9078255a0573	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_b38402a7e48a	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_deff8d4a6913	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_b0fb1425aea4	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_c15be1b60041	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_b2348504f69b	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_87ff7572edff	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_05a96a248d34	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_6d53289e06ab	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_528e74f3ea09	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_68b9aab77905	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_612caed0e0da	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_21fe810427f5	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_d77f8db1d1b7	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_31cedf25f0f0	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_553821bb35af	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_6b48885948a9	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_afedb8c87b93	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_fbb29ff3b4c7	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_dc4eddf69c3c	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_0832a411bca2	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_47e74981aa68	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_6c3663410cb7	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_0372d6c4f192	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_6c8fbd0ac45b	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_df148fcf0ce2	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_d3539c7b3ccb	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_b60e3b988d3b	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_3fcd19c120b1	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_a9a7d2fcc0d6	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_be4fa916ebbe	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_e2cb991d651a	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_4018aa63d523	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_1ffcb30d1c76	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_5b1a0fc622e3	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
sr_1c71871780ff	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_1ba37b2938cd	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.
sr_0a4728aa6abf	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.
