mapping_id	source_result_id	from_source_id	to_source_id	relationship_type	relationship_confidence	notes
map_d4c21a17d6ad	sr_df1f5890afec	src_du2024	work_title_morphine_milligram_equivalents_mme	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_220ee8af489d	sr_f5b1fa84ce27	src_motyl2017state	work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_5f98940a1b17	sr_17b0cfe42e6d	src_du2024	work_title_period_1_endoscopic_remission	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_8cb2382155f6	sr_c1cbd6657a4e	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_84_3_445_3761	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_e07eebd9f50f	sr_6e06fcfca537	src_yengo2022	work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_ad023c6f013d	sr_307943984453	src_schaefer2019meaningfulness	work_title_schaefer_2019_np_soc_079	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_b53847ab6760	sr_61bbdea80744	src_motyl2017state	work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_371e52226583	sr_1ed207224a85	src_bosco2020metabus	work_title_jap_87_1_185	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_bb0080392e84	sr_fdf78d9e9f66	src_du2024	work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_cb601780fb69	sr_72511a245c94	src_du2024	work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_7ca42177d272	sr_c5752f09223e	src_yengo2022	work_title_genome_wide_association_and_longitudinal_analyses_reveal_genetic_l	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_ad47157c73dc	sr_9c4daeb580e8	src_du2024	work_title_the_occurrence_of_cardiovascular_event_and_peritonitis_events	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_4860851f1304	sr_c25aa56f24e3	src_yengo2022	work_title_melanesian_blond_hair_is_caused_by_an_amino_acid_change_in_tyrp1	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_a9de8f9ba014	sr_4871288bad74	src_du2024	work_title_pcr_corrected_adequate_clinical_and_parasitological_response_acpr	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_3cbe65bc0190	sr_92b015f56f77	src_du2024	work_title_narcotic_use	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_3f3c2a30382e	sr_2c54a948cfe2	src_du2024	work_title_the_primary_outcome_is_the_area_under_the_stimulated_c_peptide_cur	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_5816b0a33237	sr_6884c920951c	src_bergmann2018metalab	work_title_halberda_j_2006_is_this_a_dax_which_i_see_before_me_use_of_the_log	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_81fc62db77ec	sr_333ef50a595e	src_du2024	work_title_percentage_of_subjects_who_achieved_a_composite_p_gaps1_cpns2_resp	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_591da412630d	sr_03355505d651	src_motyl2017state	work_title_young_l_durwin_a_j_2013_moral_realism_as_moral_motivation_the_impa	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_c4a79f50d35d	sr_e89d75ebfd8e	src_schaefer2019meaningfulness	work_title_schaefer_2019_np_cli_064	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_270fc645570e	sr_61aeb1d7281e	src_kuhberger2014publicationbias	work_title_kuhberger_669	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_427ca0108389	sr_c6091d70fcc5	src_du2024	work_nct_nct02473289	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_039905de55a0	sr_e786a4f0bdc3	src_bergmann2018metalab	work_title_meltzoff_a_n_moore_m_k_1989_imitation_in_newborn_infants_exploring	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_8357d1afd82f	sr_81dcacb19b9f	src_tyner2026	work_title_computer_assisted_remedial_reading_intervention_for_school_beginne	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_c0e4ee011ff7	sr_e74bda715816	src_tyner2026	work_title_a_cross_validation_of_the_youth_level_of_service_case_management_i	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_da836d2cdc43	sr_3ea41f299d78	src_errington2021	work_title_pten_expression_of_sinc_vs_sicnot6l_in_dicer_ex5_hct116_cells	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_8d274f0e53b9	sr_78c450606fc2	src_motyl2017state	work_title_psalta_l_young_a_w_thompson_p_andrews_t_j_2014_the_thatcher_illusi	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_5553432d8f2b	sr_c32a10acbc15	src_yengo2022	work_title_a_scalable_variational_inference_approach_for_increased_mixed_mode	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_a5e26c07981a	sr_68c0e5067d4b	src_tyner2026	work_title_ethnicity_and_altruism_after_violence_the_contact_hypothesis_in_ko	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_99736d139d0f	sr_f339c0254923	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_93_5_1013_4374	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_7b675b634d4c	sr_9078255a0573	src_yengo2022	work_title_genetic_correlates_of_vitamin_d_binding_protein_and_25_hydroxyvita	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_05559e4a3e95	sr_b38402a7e48a	src_tyner2026	work_title_adapting_to_climate_change_the_remarkable_decline_in_the_us_temper	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_afa7d5a71ee4	sr_deff8d4a6913	src_yengo2022	work_title_genome_wide_association_study_meta_analysis_for_parkinson_disease	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_f27f8824fd71	sr_b0fb1425aea4	src_motyl2017state	work_title_clarkson_j_j_valente_m_j_leone_c_tormala_z_l_2013_motivated_reflec	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_d00339bba5e5	sr_c15be1b60041	src_yun2024llmextraction	work_title_pmcid_4493951	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_ad582183c7ff	sr_b2348504f69b	src_linden2024publicationbiaspsychology	work_title_linden_2018_1	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_9832d2072b2b	sr_87ff7572edff	src_yengo2022	work_title_evidence_for_vav2_and_znf433_as_susceptibility_genes_for_multiple	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_f08e406c73ef	sr_f31698e541dc	src_du2024	work_title_mediastinal_nodal_clearance_after_completion_of_induction_chemorad	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_334a5c97b38a	sr_05a96a248d34	src_schaefer2019meaningfulness	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_60	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_660b9711588e	sr_6d53289e06ab	src_zhang2025clinifact	work_title_do_cannabis_based_medicinal_extracts_have_general_or_specific_effe	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_e7c038644f5a	sr_528e74f3ea09	src_tosh2024	work_title_maximizing_performance	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_b9a47a2cb2a7	sr_68b9aab77905	src_yengo2022	work_title_a_genome_wide_association_meta_analysis_of_preschool_internalizing	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_385f365f80b5	sr_612caed0e0da	src_tyner2026	work_title_organizational_learning_in_target_setting	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_74bf35db7de8	sr_21fe810427f5	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_77_4_453_3437	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_827e9ac73dbd	sr_d77f8db1d1b7	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_93_3_632_4351	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_031c8f53e740	sr_31cedf25f0f0	src_yengo2022	work_title_genome_wide_association_study_of_mri_markers_of_cerebral_small_ves	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_5930878f0cf1	sr_553821bb35af	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_95_1_183_4501	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_91c031397c45	sr_6ec02a020539	src_du2024	work_title_percentage_of_patients_achieving_glycosylated_hemoglobin_hba1c_con	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_9551a2976134	sr_6b48885948a9	src_bosco2020metabus	work_title_jap_91_4_971	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_08a4fa661e5e	sr_afedb8c87b93	src_tyner2026	work_title_alves_et_al_2018_score_24716_49_3	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_d54fb1416be5	sr_fbb29ff3b4c7	src_bosco2020metabus	work_title_jap_86_6_1120	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_6829b9d32a05	sr_dc4eddf69c3c	src_yengo2022	work_title_identification_of_common_genetic_polymorphisms_associated_with_dow	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_ec648eafd7ff	sr_01b8db23d742	src_du2024	work_title_percentage_of_heavy_drinking_days_at_week_16_endpoint	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
