source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	primary_doi	failure_code	download_attempted
sr_afedb8c87b93	work_title_alves_et_al_2018_score_24716_49_3	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1177/0956797618756862%22&format=json&resultType=core	29746235	https://doi.org/10.1177/0956797618756862	https://journals.sagepub.com/doi/10.1177/0956797618756862	403	text/html; charset=UTF-8	5751	full_article_html			not_accepted		0.0	10.1177/0956797618756862	10.1177/0956797618756862	http_403_blocked	true
sr_afedb8c87b93	work_title_alves_et_al_2018_score_24716_49_3	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1177/0956797618756862?mailto=rexdouglass%40gmail.com	10.1177/0956797618756862	https://journals.sagepub.com/doi/pdf/10.1177/0956797618756862	https://journals.sagepub.com/doi/pdf/10.1177/0956797618756862	403	text/html; charset=UTF-8	5763	full_article_html			not_accepted		0.0	10.1177/0956797618756862	10.1177/0956797618756862	http_403_blocked	true
sr_afedb8c87b93	work_title_alves_et_al_2018_score_24716_49_3	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1177/0956797618756862?mailto=rexdouglass%40gmail.com	10.1177/0956797618756862	https://journals.sagepub.com/doi/full-xml/10.1177/0956797618756862	https://journals.sagepub.com/doi/full-xml/10.1177/0956797618756862	403	text/html; charset=UTF-8	5778	full_article_html			not_accepted		0.0	10.1177/0956797618756862	10.1177/0956797618756862	http_403_blocked	true
sr_afedb8c87b93	work_title_alves_et_al_2018_score_24716_49_3	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1177/0956797618756862	doi_dedup___::2e7327ba2fc09b4dd18a72d3d73e512a	https://pubmed.ncbi.nlm.nih.gov/29746235	https://pubmed.ncbi.nlm.nih.gov/29746235/	200	text/html; charset=utf-8	114278	full_article_html	data/cache/full_article_text_acquisition/sample_300/sr_afedb8c87b93__openaire_instance_url__778b7b817eb6.html	78b04b9d5b0d91fabbd69de65f6a01ff08b16fa68e77f1538f5daf059c650776	accepted_full_article_text	primary DOI appears in candidate text	0.5	10.1177/0956797618756862	10.1177/0956797618756862	full_article_text_obtained	true
sr_fbb29ff3b4c7	work_title_jap_86_6_1120	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1037/0021-9010.86.6.1120%22&format=json&resultType=core	11768055	https://doi.org/10.1037/0021-9010.86.6.1120	https://doi.apa.org/doi/10.1037/0021-9010.86.6.1120	403	text/html	856	full_article_html			not_accepted		0.0	10.1037/0021-9010.86.6.1120	10.1037/0021-9010.86.6.1120	http_403_blocked	true
sr_fbb29ff3b4c7	work_title_jap_86_6_1120	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/0021-9010.86.6.1120?mailto=rexdouglass%40gmail.com	10.1037/0021-9010.86.6.1120	https://psycnet.apa.org/journals/apl/86/6/1120.pdf	https://psycnet.apa.org/journals/apl/86/6/1120.pdf	403	text/html	853	full_article_pdf			not_accepted		0.0		10.1037/0021-9010.86.6.1120	http_403_blocked	true
sr_fbb29ff3b4c7	work_title_jap_86_6_1120	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1037/0021-9010.86.6.1120	doi_dedup___::5973622ba2a91560910e78e8a84cd712	https://pubmed.ncbi.nlm.nih.gov/11768055	https://pubmed.ncbi.nlm.nih.gov/11768055/	200	text/html; charset=utf-8	21220	full_article_html		5cda0732e8b11e67e13dd0f1982e1ebe4e7c0f9dd2183de32e2c1c60eafadd63	reject_not_full_article_text	html_landing_or_too_short_words=3314_body_terms=0	0.0	10.1037/0021-9010.86.6.1120	10.1037/0021-9010.86.6.1120	captcha_or_bot_block	true
sr_0832a411bca2	work_doi_10_2466_pms_109_2_577_580	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.2466/pms.109.2.577-580%22&format=json&resultType=core	20038011	https://doi.org/10.2466/PMS.109.2.577-580	https://journals.sagepub.com/doi/10.2466/pms.109.2.577-580	403	text/html; charset=UTF-8	5754	full_article_html			not_accepted		0.0	10.2466/pms.109.2.577-580	10.2466/pms.109.2.577-580	http_403_blocked	true
sr_0832a411bca2	work_doi_10_2466_pms_109_2_577_580	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.2466/pms.109.2.577-580?mailto=rexdouglass%40gmail.com	10.2466/pms.109.2.577-580	https://journals.sagepub.com/doi/pdf/10.2466/pms.109.2.577-580	https://journals.sagepub.com/doi/pdf/10.2466/pms.109.2.577-580	403	text/html; charset=UTF-8	5766	full_article_html			not_accepted		0.0	10.2466/pms.109.2.577-580	10.2466/pms.109.2.577-580	http_403_blocked	true
sr_0832a411bca2	work_doi_10_2466_pms_109_2_577_580	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.2466/pms.109.2.577-580	doi_dedup___::1d84504abf914b3dd97c41116fedc70c	https://pubmed.ncbi.nlm.nih.gov/20038011	https://pubmed.ncbi.nlm.nih.gov/20038011/	200	text/html; charset=utf-8	21220	full_article_html		b285decb3b61414f3e7eb32b361eef8c09f5379e26f3e905286bed9c2ca2c27c	reject_not_full_article_text	html_landing_or_too_short_words=3322_body_terms=0	0.0	10.2466/pms.109.2.577-580	10.2466/pms.109.2.577-580	captcha_or_bot_block	true
