canonical_result_id	source_result_id	membership_role	included_in_collapse	included_in_statistics	aggregation_role	weight	notes
cr_883a874bd406	sr_61bbdea80744	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_b529d42d472f	sr_1ed207224a85	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_12a6bb156011	sr_fdf78d9e9f66	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_3a17e8751776	sr_72511a245c94	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_ec328abd04c4	sr_c5752f09223e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_85f0d2ece873	sr_9c4daeb580e8	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_b4bab1b18a88	sr_c25aa56f24e3	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_54e13871be1b	sr_4871288bad74	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_d9028c8210d8	sr_92b015f56f77	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_5eb5f5c20b2c	sr_2c54a948cfe2	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_e1644510f2d2	sr_6884c920951c	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_07ef7e5e98d1	sr_333ef50a595e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_65b4af716391	sr_03355505d651	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_56e0ded9e2ff	sr_e89d75ebfd8e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_2d4c33760062	sr_61aeb1d7281e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_ac8cef9362a7	sr_c6091d70fcc5	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_99bc3115a75f	sr_e786a4f0bdc3	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_3ff8a12ec056	sr_81dcacb19b9f	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_39a539e17bd7	sr_e74bda715816	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_0486ad2e6931	sr_3ea41f299d78	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_7d913aacafba	sr_78c450606fc2	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_bf1da16be21f	sr_c32a10acbc15	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_c2cec164a9cd	sr_68c0e5067d4b	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_d55af5de8cd4	sr_f339c0254923	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_aabc312957ed	sr_9078255a0573	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_4d891256e9ec	sr_b38402a7e48a	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_4e57aa24fa12	sr_deff8d4a6913	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_58748c452e8b	sr_b0fb1425aea4	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
