source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	primary_doi	failure_code	download_attempted
sr_f44201a1b8b4	work_title_corbo_osbat_2013	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.2139/ssrn.2246577	doi_dedup___::88212fd43b0b4efe8f2eb0aa7627c75c	https://www.econstor.eu/bitstream/10419/153968/1/ecbwp1535.pdf	https://www.econstor.eu/bitstream/10419/153968/1/ecbwp1535.pdf	200	application/pdf	1073614	full_article_pdf	data/cache/full_article_text_acquisition/sample_300/sr_f44201a1b8b4__openaire_instance_url__8d993848201c.pdf	7c62209985e6a8ad2f0b8cbcaa4ee966a550a5d6cd88269ebb58d5ca2fe1a437	accepted_full_article_text	resolver metadata DOI matches primary DOI and title token coverage 1.0	1.0	10.2139/ssrn.2246577	10.2139/ssrn.2246577	full_article_text_obtained	true
sr_80c5ee34e5f4	work_title_do_women_shy_away_from_competition_do_men_compete_too_much	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1162/qjec.122.3.1067?mailto=rexdouglass%40gmail.com	10.1162/qjec.122.3.1067	http://academic.oup.com/qje/article-pdf/122/3/1067/5312966/122-3-1067.pdf	https://academic.oup.com/qje/article-pdf/122/3/1067/5312966/122-3-1067.pdf	403	text/html; charset=UTF-8	5810	full_article_pdf			not_accepted		0.0		10.1162/qjec.122.3.1067	http_403_blocked	true
sr_80c5ee34e5f4	work_title_do_women_shy_away_from_competition_do_men_compete_too_much	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1162/qjec.122.3.1067	doi_dedup___::017c74cae3e2f6205eb45a30e35cada3	http://www.nber.org/papers/w11474.pdf	https://www.nber.org/system/files/working_papers/w11474/w11474.pdf	200	application/pdf	351842	full_article_pdf	data/cache/full_article_text_acquisition/sample_300/sr_80c5ee34e5f4__openaire_instance_url__1817773e556c.pdf	3a5f55600284ca7ecdc04c3842c7d50b1c1e400537372d9a78f3816e1a1f9a26	accepted_full_article_text	resolver metadata DOI matches primary DOI and title token coverage 1.0	1.0	10.1162/qjec.122.3.1067	10.1162/qjec.122.3.1067	full_article_text_obtained	true
