queue_id	source_result_id	represented_source_id	source_type	current_evidence_level	target_acquisition_state	value_verification_state	source_is_original	number_verified_by_us	doi	pmid	title	result_label	outcome_label	d	standardized_n	next_bucket	tail_problem_family	identity_problem_type	rank	requires_identity_work_yn	acquisition_ready_yn	requires_manual_capture_yn	parsed_journal_abbrev	parsed_volume	parsed_issue	parsed_first_page	parsed_effect_id	suggested_routes	primary_next_action	stop_condition	failed_public_routes_seen	manual_route_type	queue_created_at	queue_status	notes
tailq_01_sr_a929155b5e72	sr_a929155b5e72	work_title_jap_74_1_143	paper	4	target_located	corpus_assertion_only	false	false			JAP-74-1-143	JAP-74-1-143	JAP-74-1-143	1.0087582215222426	42.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	74	1	143		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-74-1-143 | source_directness=candidate_child_numeric_row | effect_or_stat=0.9525614565086916 | N_text=42.0 | p_or_z=2.8720538536432434 | plotted_D=1.0087582215222426 | plotted_N=42.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_285363cf3974	sr_285363cf3974	work_title_jap_76_6_845	paper	4	target_located	corpus_assertion_only	false	false			JAP-76-6-845	JAP-76-6-845	JAP-76-6-845	0.5393578861931064	225.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	76	6	845		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-76-6-845 | source_directness=candidate_child_numeric_row | effect_or_stat=1.1547005383792517 | N_text=225.0 | p_or_z=8.184477217580747 | plotted_D=0.5393578861931064 | plotted_N=225.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_362d2e514afe	sr_362d2e514afe	work_title_jap_79_5_691	paper	4	target_located	corpus_assertion_only	false	false			JAP-79-5-691	JAP-79-5-691	JAP-79-5-691	0.1605144707810256	270.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	79	5	691		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-79-5-691 | source_directness=candidate_child_numeric_row | effect_or_stat=-0.1605144707810256 | N_text=270.0 | p_or_z=-1.3100102452505944 | plotted_D=0.1605144707810256 | plotted_N=270.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_5adb462eb079	sr_5adb462eb079	work_title_jap_79_6_959	paper	4	target_located	corpus_assertion_only	false	false			JAP-79-6-959	JAP-79-6-959	JAP-79-6-959	0.2827850071363719	377.5	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	79	6	959		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-79-6-959 | source_directness=candidate_child_numeric_row | effect_or_stat=0.28278500713637195 | N_text=377.5 | p_or_z=2.7271920976628707 | plotted_D=0.2827850071363719 | plotted_N=377.5 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_60c2a469e71e	sr_60c2a469e71e	work_title_jap_81_5_587	paper	4	target_located	corpus_assertion_only	false	false			JAP-81-5-587	JAP-81-5-587	JAP-81-5-587	1.0078065197205377	205.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	81	5	587		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-81-5-587 | source_directness=candidate_child_numeric_row | effect_or_stat=1.0078065197205377 | N_text=205.0 | p_or_z=6.8888853041670375 | plotted_D=1.0078065197205377 | plotted_N=205.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_8d7eceba3893	sr_8d7eceba3893	work_title_jap_82_1_89	paper	4	target_located	corpus_assertion_only	false	false			JAP-82-1-89	JAP-82-1-89	JAP-82-1-89	0.472672040177118	36.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	82	1	89		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-82-1-89 | source_directness=candidate_child_numeric_row | effect_or_stat=0.472672040177118 | N_text=36.0 | p_or_z=1.3453160629585177 | plotted_D=0.472672040177118 | plotted_N=36.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_46fcf0099591	sr_46fcf0099591	work_title_jap_83_4_531	paper	4	target_located	corpus_assertion_only	false	false			JAP-83-4-531	JAP-83-4-531	JAP-83-4-531	2.045736649261078	176.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	83	4	531		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-83-4-531 | source_directness=candidate_child_numeric_row | effect_or_stat=-0.652125970874945 | N_text=176.0 | p_or_z=-4.216116599484355 | plotted_D=2.045736649261078 | plotted_N=176.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_02_sr_1eb547defd9c	sr_1eb547defd9c	work_plot2_schaefer_schwarz_2019_with_prereg_schaefer_2019_preg_25_6452	other	2	target_identity_known	corpus_assertion_only	false	false			work_plot2_schaefer_schwarz_2019_with_prereg_schaefer_2019_preg_25_6452	plot2::schaefer_2019_preg_25	plot2::schaefer_2019_preg_25	0.262225245042163	732.0	needs_identity_crosswalk	identity_blocked	corpus_specific_anonymized_id	2	true	false	false						osf_project_inventory; workbook_search; code_search; appendix_or_author_crosswalk	Mirror project workbooks/code and build corpus-handle to represented-source crosswalk.	Promote only after crosswalk identifies a represented source with independent identifier or stable URL.	no_public_candidate_logged		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.13 | N_text=732.0 | plotted_D=0.262225245042163 | plotted_N=732.0 | transform=reported_or_derived_r_total_to_d; N: reported_n | source_file=data/raw/corpus_candidates/schaefer_schwarz_2019/studies_with_prereg.xlsx; recovered_raw_file=data/raw/corpus_candidates/schaefer_schwarz_2019/studies_with_prereg.xlsx; recovered_raw_file_sha256=3d8068ab385e8e454aeba870adb4415adc9d306fda33b188a22f1b522e5acdd6
tailq_02_sr_1e8a07a9cd86	sr_1e8a07a9cd86	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_dev_029_6789	other	2	target_identity_known	corpus_assertion_only	false	false			work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_dev_029_6789	plot2::schaefer_2019_np_DEV.029	plot2::schaefer_2019_np_DEV.029	0.6488091794049583	84.0	needs_identity_crosswalk	identity_blocked	corpus_specific_anonymized_id	2	true	false	false						osf_project_inventory; workbook_search; code_search; appendix_or_author_crosswalk	Mirror project workbooks/code and build corpus-handle to represented-source crosswalk.	Promote only after crosswalk identifies a represented source with independent identifier or stable URL.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.308573779208487 | N_text=84.0 | plotted_D=0.6488091794049583 | plotted_N=84.0 | transform=reported_or_derived_r_total_to_d; N: reported_n | source_file=data/raw/corpus_candidates/schaefer_schwarz_2019/studies_without_prereg.xlsx; recovered_raw_file=data/raw/corpus_candidates/schaefer_schwarz_2019/studies_without_prereg.xlsx; recovered_raw_file_sha256=62dfc5e065a94a3dbfdbdd1c97a97c92c54021438c6e34f22f61be4c61771c9e
tailq_02_sr_3e576eaeee38	sr_3e576eaeee38	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	other	2	target_identity_known	corpus_assertion_only	false	false			work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	plot2::schaefer_2019_np_MUL.077	plot2::schaefer_2019_np_MUL.077	0.241746889207614	265.0	needs_identity_crosswalk	identity_blocked	corpus_specific_anonymized_id	2	true	false	false						osf_project_inventory; workbook_search; code_search; appendix_or_author_crosswalk	Mirror project workbooks/code and build corpus-handle to represented-source crosswalk.	Promote only after crosswalk identifies a represented source with independent identifier or stable URL.	no_public_candidate_logged		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.12 | N_text=265.0 | plotted_D=0.241746889207614 | plotted_N=265.0 | transform=reported_or_derived_r_total_to_d; N: reported_n | source_file=data/raw/corpus_candidates/schaefer_schwarz_2019/studies_without_prereg.xlsx; recovered_raw_file=data/raw/corpus_candidates/schaefer_schwarz_2019/studies_without_prereg.xlsx; recovered_raw_file_sha256=62dfc5e065a94a3dbfdbdd1c97a97c92c54021438c6e34f22f61be4c61771c9e
