paper_id,claim_id,orig_analysis_type,orig_total_model_params,orig_sample_size_50_for_100,orig_sample_size_90_for_75,orig_sample_size_90_for_50,is_covid,orig_stat_type_for_repli,orig_pearsons_r_defined,orig_pearsons_r_value,orig_pearsons_r_ci_lb,orig_pearsons_r_ci_ub,orig_effect_size_type_repli,orig_effect_size_value_repli,orig_effect_size_ci_lb,orig_effect_size_ci_ub,orig_power_threshold_small,orig_power_threshold_medium,orig_power_for_50_effect,orig_power_for_75_effect,original_effective_df1_reference,original_effective_sample_size,orig_sample_size_value,orig_sample_size_units,orig_stat_type,orig_stat_dof_1,orig_stat_dof_2,orig_stat_value,orig_stat_interaction,orig_effect_size_text,orig_effect_size_type_repro,orig_effect_size_value_repro,orig_coef_type,orig_coef_value,orig_coef_se,orig_p_value_type,orig_p_value,orig_p_value_tails,bushel_complex,orig_conv_r,orig_conv_r_lb,orig_conv_r_ub
qYr7,qYr7_9oj2rd,Single equation regression,NA,80,NA,NA,FALSE,ser,no,NA,NA,NA,ser_method,-0.315,-0.352239315706261,-0.277760684293739,NA,NA,0.999999999877029,1,NA,NA,5659,respondent judgments,t,1337,NA,-16.57895,NA,"Table 1, Czech Republic 2006, Subjective distance: Coefficient (SE) = -0.315 (0.019), Significance (two-tailed): p < .001",ser_method,-0.315,NA,-0.315,0.019,exact,2.764298e-56,two-tailed,FALSE,-0.4129458914593563,-0.45405889632459023,-0.3690208447903366
qYr7,qYr7_j6d39n,Single equation regression,NA,122,NA,NA,FALSE,ser,no,NA,NA,NA,ser_method,-0.248,-0.295039135628961,-0.200960864371039,NA,NA,0.999328671577044,0.999999996481433,NA,NA,3388,respondent judgments,t,992,NA,-10.33333,NA,"Table 1, Australia 2007, Subjective distance: Coefficient (SE) = -0.248 (0.024), Significance (two-tailed): p < .001",ser_method,-0.248,NA,-0.248,0.024,exact,7.661777e-24,two-tailed,FALSE,-0.3117348661641302,-0.36486894943927933,-0.2553665556406733
qYr7,qYr7_single-trace,regression with clustered SE,NA,71,343,773,FALSE,ser,no,NA,NA,NA,ser_method,-0.125,-0.158319387737181,-0.0916806122628191,NA,NA,0.956965328503103,0.999810824850712,932,NA,933,respondents,t,NA,NA,-7.35294117647059,interaction,NA,NA,NA,unstandardized_coefficient,-0.125,0.017,less-than,0.001,two-tailed,NA,-0.23415754483130974,-0.2925334655604929,-0.17301656099858256
qYr7,qYr7_ywrd82,Single equation regression,NA,308,NA,NA,FALSE,ser,no,NA,NA,NA,ser_method,-0.188,-0.231119207659881,-0.144880792340119,NA,NA,0.989632171604363,0.999995688997235,NA,NA,5841,respondent judgments,t,896,NA,-8.545455,NA,"Table 1, Finland 2007, Subjective distance: Coefficient (SE) = -0.188 (0.022), Significance (two-tailed): p < .001",ser_method,-0.188,NA,-0.188,0.022,exact,5.4614680000000003e-17,two-tailed,FALSE,-0.2745160525758821,-0.33220273335581807,-0.21356512650711826
qg47,qg47_single-trace,Other regression,10,1214,5723,13536,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1718,country-years,NA,NA,NA,NA,interaction,"The estimated coefficient of the main independent variable measuring Reliance on Taxes has the expected sign and is statistically significant (coefficient on Reliance on Taxes term = 0.007, robust SE = 0.003, p < 0.05).",ser_method,0.007,NA,0.007,0.003,less-than,0.05,NA,NA,NA,NA,NA
qgWj,qgWj_1r285j,Single equation regression,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,societies,t,NA,NA,7.3,main effect,NULL,NA,NA,unstandardized,1.1,NA,less-than,0.01,NA,FALSE,NA,NA,NA
qgWj,qgWj_9olz6z,Single equation regression,NA,6,NA,NA,FALSE,ser,no,NA,NA,NA,ser_method,1.04,0.823152916689262,1.25684708331074,NA,NA,0.996928376557206,0.999999821002115,NA,NA,118,societies,t,113,NA,9.4,main effect,NULL,NA,NA,unstandardized,1.04,0.1106383,exact,7.465181e-16,two-tailed,FALSE,0.6624319216751193,0.5540050773271832,0.7400103301073412
qgWj,qgWj_j6qlvv,Multilevel regression,13,13015,NA,NA,FALSE,ser,no,NA,NA,NA,ser_method,0.79,0.453397549262677,1.12660245073732,NA,NA,0.633095673558527,0.93189272869527,NA,NA,73175,respondents,t,NA,NA,4.6,interaction,NULL,NA,NA,unstandardized,0.79,0.1717391,less-than,0.01,NA,FALSE,0.01700253520594064,0.00975905586530319,0.02424333853009334
qgWj,qgWj_pplx84,Multilevel regression,7,2612,NA,NA,FALSE,ser,no,NA,NA,NA,ser_method,0.83,0.665679794677817,0.994320205322183,NA,NA,0.998605278260713,0.999999976859403,NA,NA,73175,respondents,t,NA,NA,9.9,main effect,"TABLE 1, Values Model, SL-Values (Emancipative ‘Climate’): unstandardized regression coefficient = 0.83, T-value = 9.9, p < 0.010",ser_method,0.83,unstandardized,0.83,0.08383838,less-than,0.01,NA,FALSE,0.0365732183140205,0.02933959424343762,0.04380109821955169
qgWj,qgWj_q76z8j,Multilevel regression,7,8288,NA,NA,FALSE,ser,no,NA,NA,NA,ser_method,0.99,0.655454335468054,1.32454566453195,NA,NA,0.826400848148369,0.991576613602032,NA,NA,73175,respondents,t,NA,NA,5.8,interaction,NULL,NA,NA,unstandardized,0.99,0.1706897,less-than,0.01,NA,FALSE,0.02143615181064161,0.01419417574011245,0.02867475521109422
qgWj,qgWj_single-trace,"random intercepts, random slopes model",13,13285,64605,145351,FALSE,ser_t,no,NA,NA,NA,ser_method_t,0.54,0.30991347343748,0.77008652656252,NA,NA,0.633084185522783,0.931886711403661,70,NA,73175,respondents nested within countries,t,NA,NA,4.6,NA,NA,NA,NA,unstandardized_regression_coefficient,0.54,0.1173913,less-than,0.01,NA,NA,0.481787661311874,0.28453997415283794,0.6243958554892092
qgWj,qgWj_x61xpy,Multilevel regression,13,13882,NA,NA,FALSE,ser,no,NA,NA,NA,ser_method,0.54,0.309917279901663,0.770082720098337,NA,NA,0.633095552175492,0.931892665118733,NA,NA,73175,respondents,t,NA,NA,4.6,main effect,NULL,NA,NA,unstandardized,0.54,0.1173913,less-than,0.01,NA,FALSE,0.01700253520594064,0.00975905586530319,0.02424333853009334
qggQ,qggQ_single-trace,Logistic regression,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,less-than,0.05,two-tailed,NA,NA,NA,NA
qkNz,qkNz_single-trace,multiple regression,NA,21,67,98,FALSE,anova,yes,0.42640139782383,0.174444217045049,0.605778110218165,cohen_f_squared,0.22222217777778,0.0301787325765326,0.557400743871123,0.108994694028348,0.424034373046849,0.384931337050063,0.70551671122181,NA,NA,53,years,t,50,NA,3.333333,NA,NA,cohen_f_squared,0.2222222,unstand_coeff,0.001,3e-4,NA,NA,NA,NA,0.42640139782382996,0.17446061075489674,0.6057781105363129
rJ8q,rJ8q_single-trace,linear regression,NA,58,199,295,TRUE,anova,yes,0.260084993392122,0.094090217682879,0.405168089034526,cohen_f_squared,0.0725519206965743,0.00879772772061219,0.193449487384789,0.208444978655204,0.816466608046565,0.338141911098939,0.637849966892452,NA,NA,136,countries or regions,t,131,NA,3.0829047355014,main effect,NA,cohen_f_squared,0.072551920673107,b,0.8666,NA,exact,0.0025,two_tailed,NA,0.26008499335290397,0.09412312565084004,0.4051679349113298
rWbG,rWbG_single-trace,Multilevel regression,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697,eighth-graders,F,1695,NA,14.65,main effect,NULL,NA,NA,NA,NA,NA,less-than,0.01,NA,NA,NA,NA,NA
rjb,rjb_bz1ddg,Single equation regression,5,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,participants,t,130,NA,3.42,interaction,NULL,NA,NA,NA,0.07,NA,less-than,0.001,NA,TRUE,NA,NA,NA
rjb,rjb_gl9nvg,Single equation regression,5,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,participants,t,130,NA,3.42,interaction,NULL,NA,NA,NA,0.07,NA,less-than,0.001,NA,TRUE,NA,NA,NA
rjb,rjb_m71nkm,Single equation regression,5,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,participants,t,169,NA,2.28,interaction,NULL,NA,NA,NA,0.04,NA,exact,0.02,NA,TRUE,NA,NA,NA
rjb,rjb_mkr71g,Single equation regression,5,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,participants,t,169,NA,2.28,interaction,NULL,NA,NA,NA,0.04,NA,exact,0.02,NA,TRUE,NA,NA,NA
rjb,rjb_single-trace,multiple regression,NA,NA,461,689,FALSE,regress,yes,0.172747895837503,0.00987290330332961,0.310846866989035,cohen_f_squared,0.0307597633136095,9.63435612978729e-5,0.105709954993338,0.255273443302743,0.901574845710392,0.207146885180969,0.401549975565162,NA,NA,174,participants,t,169,NA,2.28,interaction,regression coefficient B = 0.04,cohen_f_squared,0.0307598,NA,0.04,NA,exact,0.02,NA,NA,0.17274789583750327,0.02320312952543461,0.3108468046706321
rpq,rpq_single-trace,Within-subjects t-test,NA,NA,54,118,FALSE,dep,yes,0.520582258428718,0.283627669304493,0.676316577698308,d_sample (dep),0.603331031303159,0.292676578863046,0.908531719846056,0.273851733076527,0.924003366102073,0.534786145379462,0.866580668073996,NA,NA,48,students,t,47,NA,4.18,main effect,d = -0.34,cohen_dz,0.603331,NA,NA,NA,exact,0.001,NA,NA,0.5205822584287181,0.2836238657954528,0.6763231092842535
rvyb,rvyb_single-trace,Sample mean comparison,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,participants,non-parametric,NA,NA,6.38,NA,NULL,NA,NA,NA,NA,NA,less-than,0.01,NA,NA,NA,NA,NA
rym8,rym8_single-trace,Single equation regression analysis (e.g. ordinary least squares (OLS) regression),NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213454,countries (militarized inter-state disputes),chi_squared,NA,NA,44041.069,NA,"b=0.168, SE=0.033",probit_coefficient,0.168,unstandardized_coefficient,0.168,0.033,less-than,0.001,undetermined,NA,NA,NA,NA
vGqL,vGqL_single-trace,Logistic regression,NA,2791,13638,29460,FALSE,ser,no,NA,NA,NA,ser_method,0.01093994,0.00442369281977133,0.0174561871802287,NA,NA,0.376650510191313,0.694254029655937,NA,NA,7840,Married men btw the ages of 18-65 in 32 countries,NA,NA,NA,3.29052717000779,NA,"Table 4 multilevel multinomial models estimates, Egalitarian, Time availability, Wife's work hours = 1.011, P < .001 (two-tailed)",odds_ratio,1.011,NA,0.01093994,0.003324677,less-than,0.001,two-tailed,NA,0.5087848473861477,0.2014247329671954,0.6955971375525782
vaWE,vaWE_bzyxpq,Single equation regression,12,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,students,NA,NA,NA,NA,main effect,NULL,NA,NA,NA,0.286,0.09,exact,0.01,NA,FALSE,NA,NA,NA
vaWE,vaWE_gl78od,Single equation regression,12,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,students,NA,NA,NA,NA,main effect,NULL,NA,NA,NA,-0.121,0.139,exact,0.408,NA,TRUE,NA,NA,NA
vaWE,vaWE_m73ov5,Single equation regression,12,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,students,NA,NA,NA,NA,main effect,NULL,NA,NA,NA,0.211,0.076,exact,0.021,NA,FALSE,NA,NA,NA
vaWE,vaWE_single-trace,Single equation regression analysis (e.g. ordinary least squares (OLS) regression),NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,students,NA,NA,NA,NA,NA,"b=0.21 SD, SE = 0.08",regression_coefficient,0.21,standardized_coefficient,0.211,0.076,exact,0.021,undetermined,NA,NA,NA,NA
vmxO,vmxO_single-trace,regression,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1434,2586,household-years,z,NA,NA,4.6171875,main effect,NA,NA,NA,NA,0.591,0.128,NA,NA,NA,NA,0.12103152293800594,0.06999820918692372,0.17112345254233935
vyRx,vyRx_single-trace,logistic regression,NA,1806,8781,19765,TRUE,ser,no,NA,NA,NA,ser_method,0.4916428043,0.265689253417816,0.717596355182184,NA,NA,0.56843526161991,0.892232588497892,NA,NA,8548,respondents,z,NA,NA,4.264603,NA,odds ratio = 1.635,odds_ratio,1.635,log_odds_logistic_regression_coefficient,0.491642804349217,0.11528454228375,less-than,0.01,NA,NA,0.046077068076667456,0.02491929600958858,0.06717301722288374
w5dv,w5dv_single-trace,1 way ANOVA,NA,NA,308,690,FALSE,anova,no,NA,NA,NA,cohen_f_squared,0.0737837837837838,0.00702040039463944,0.177336713967832,0.176458467822602,0.782518570969917,0.295583965973856,0.594680214983165,NA,NA,173,participants,F,2,148,5.46,main effect,NA,cohen_f_squared,0.0737838,NA,NA,NA,exact,0.005154111,two-tailed,NA,0.26213320711681126,0.08364891387726849,0.3951504475388906
