Timestamp,asana_ticket_name,submitted_by,rr_type_prereg,rr_prereg_googledoc,confrontation_osf_vol,confrontation_claim4_id,confrontation_data_source_url,confrontation_data_source_description,confrontation_p_value_type_reported,confrontation_primary_criteria_available,confrontation_repro_primary_criteria,confrontation_repro_secondary_criteria_num,confrontation_repro_secondary_criteria,confrontation_repro_analyst_criteria,rr_num_claims_prereg,confrontation_status
2021-12-09T10:07:00Z,Rich_JournExPsychGen_2018_LbEB - Silverstein - 69736,Priya,Push Button Reproduction,NA,NA,b2vooo,https://osf.io/uc9ny/?view_only=775e2b508eb848baa4ed826bc2d9226d,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/r2pdy/?view_only=bfdf11a8816d4fcfb389e25c0c34d2c5).",na,sample_size,"Sample size	95	95	81 to 109	< 81 or > 109
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",3,"[1] average for contingent-information condition	22.90%	22.90%	19.47% to 26.33%	< 19.47% or > 26.33%
[2] average for full-information condition	40.40%	40.40%	34.34% to 46.46%	< 34.34% or > 46.46%
[3] CI	-.02, .33	-.02, .33	NA	NA",If all of the available criteria satisfy the precise reproduction criteria,NA,NA
2021-12-09T10:08:18Z,Rich_JournExPsychGen_2018_LbEB - Silverstein - 69736,Priya,Push Button Reproduction,NA,NA,m8lkk9,https://osf.io/uc9ny/?view_only=775e2b508eb848baa4ed826bc2d9226d,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/r2pdy/?view_only=bfdf11a8816d4fcfb389e25c0c34d2c5).",na,sample_size,"Sample size	95	95	81 to 109	< 81 or > 109
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",3,"[1] average for contingent-information condition	37.50%	37.50%	31.88% to 43.13%	< 31.88% or > 43.13%
[2] average for full-information condition	25.50%	25.50%	21.68% to 29.33%	< 21.68% or > 29.33%
[3] CI	.07, .29	.07, .29	NA	NA",If all of the available criteria satisfy the precise reproduction criteria,NA,NA
2021-12-09T10:29:48Z,Hurst_EvoHumanBehavior_2017_yypJ - Reader - 21952,Priya,Author Data Reproduction,https://docs.google.com/spreadsheets/d/1U-NVkVJqtdXVP_YXnDcpr6pu7hFSUUNkGR5Kl2wT4Zg/edit#gid=226716288,https://osf.io/mr6fs/?view_only=2af6e74fb4814a2684223eb55bb2fa85,single-trace,https://osf.io/mr6fs/?view_only=2af6e74fb4814a2684223eb55bb2fa85,Data were provided to the SCORE team and are available on the OSF as listed above. The data are provided in a file called 'Dataset.csv'. The codebook is provided in 'Codebook.xlsx'. Age is provided in the column 'Age'. Each item of the DSM-5 Self-Rated Level 1 Cross-Cutting Symptom Measure - Adult questionnaire is listed in 23 columns titled 'DSM5_01' to 'DSM5_23'. Each item of the Mini-K questionnaire is listed in 20 columns titled 'MiniK_01' to 'MiniK_20'. The researchers' original summed scores for the DSM-5 Self-Rated Level 1 Cross-Cutting Symptom Measure - Adult questionnaire is given in a column called 'DSM5_Total'. The researchers' original summed scores for the Mini-K questionnaire is given in a column called 'MiniK_Total'.,less-than,"sample_size, p_value, coefficient","Sample size        138        138        117 to 159        <117 or >159
Focal variable P-value        p < 0.002        p < 0.002        p < 0.052        p >= 0.052
Focal variable coefficient        pr = -0.51        pr = -0.51        pr = -0.5865 to -0.4335        pr <-0.5865 or >-0.4335
Focal test statistic        NA        NA        NA        NA
Effect size of focal variable        NA        NA        NA        NA",0,NA,Reproduction will be successful if partial correlation coefficient = -0.51 and p<0.002.,1,NEVER
2021-12-13T09:17:33Z,Brown_ManagementSci_2014_5PyD - Suchow - 2k4w6,Priya,Push Button Reproduction,https://docs.google.com/spreadsheets/d/1b8J5mOj-c3NlTZ11V8DTnj3fsq6EtePVljzTP0HvUoI/edit#gid=226716288,https://osf.io/sc87r/?view_only=2549ed8cbdd54c3199446fbc28c4b1c9,pp36jq,https://pubsonline.informs.org/doi/suppl/10.1287/mnsc.2013.1794/suppl_file/mnsc.2013.1794-sm-data.zip,MATLAB and Stata code and data originally provided in the data archive published alongside the paper in Management Science and available in the OSF project linked above.,na,sample_size,"Sample size	101	101	86–116	less than 86 or greater than 116
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",1,% of subjects choosing first lottery	60%	60%	51% to 69%	less than 51% or greater than 69%,The reproduction will be considered a success if and only if all outcomes meet their associated precise reproduction criterion.,4,NA
2021-12-13T09:19:32Z,Brown_ManagementSci_2014_5PyD - Suchow - 2k4w6,Priya,Push Button Reproduction,NA,NA,q7w3nr,https://pubsonline.informs.org/doi/suppl/10.1287/mnsc.2013.1794/suppl_file/mnsc.2013.1794-sm-data.zip,MATLAB and Stata code and data originally provided in the data archive published alongside the paper in Management Science and available in the OSF project linked above.,na,sample_size,"Sample size	101	101	86–116	less than 86 or greater than 116
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",1,% of subjects types 3 or 4	68%	68%	57.8% to 78.2%	less than 57.8% or greater than 78.2%,The reproduction will be considered a success if and only if all outcomes meet their associated precise reproduction criterion.,4,NA
2021-12-13T09:21:28Z,Brown_ManagementSci_2014_5PyD - Suchow - 2k4w6,Priya,Push Button Reproduction,NA,NA,x64975,https://pubsonline.informs.org/doi/suppl/10.1287/mnsc.2013.1794/suppl_file/mnsc.2013.1794-sm-data.zip,MATLAB and Stata code and data originally provided in the data archive published alongside the paper in Management Science and available in the OSF project linked above.,na,sample_size,"Sample size	101	101	86–116	less than 86 or greater than 116
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",2,"Significance level	Significant at the 10% level	Significant at the 10% level	Significant at the 15% level	Not significant at the 15% level
Posterior probability of being in an early-prefering group	0.201	0.201	0.171 – 0.231	less than 0.171 or greater than 0.231",The reproduction will be considered a success if and only if all outcomes meet their associated precise reproduction criterion.,4,NA
2021-12-13T09:22:52Z,Brown_ManagementSci_2014_5PyD - Suchow - 2k4w6,Priya,Push Button Reproduction,NA,NA,j6o1rx,https://pubsonline.informs.org/doi/suppl/10.1287/mnsc.2013.1794/suppl_file/mnsc.2013.1794-sm-data.zip,MATLAB and Stata code and data originally provided in the data archive published alongside the paper in Management Science and available in the OSF project linked above.,na,sample_size,"Sample size        101        101        86–116        less than 86 or greater than 116
Focal variable P-value        NA        NA        NA        NA
Focal variable coefficient        NA        NA        NA        NA
Focal test statistic        NA        NA        NA        NA
Effect size of focal variable        NA        NA        NA        NA",2,"Significance level        significant at the 1% level        significant at the 1% level        significant at the 6% level        not significant at the 6% level
Posterior probability of being in an early-prefering group        0.507        0.507        0.431–0.583        less than 0.431 or greater than 0.583",The reproduction will be considered a success if and only if all outcomes meet their associated precise reproduction criterion.,4,NEVER
2021-12-13T09:35:39Z,McLaren_WorldPolitics_2012_wRvv - Urbanska_PBR - 2yg82,Priya,Source Data Reproduction,https://docs.google.com/spreadsheets/d/1JBdwtsfGqr0wVvGX5Tvafgypv8mob6LFZ0tBfvbGM8A/edit#gid=226716288,https://osf.io/e48gd/?view_only=3f8efd4cbd66489f87b9298201bc9874,m7zd6r,https://osf.io/e48gd/?view_only=d4fc515c15a14a01a8e36efbd1bd84cf,"Multiple data sources were used including European Social Survey Rounds 1-4, country election data, and country OECD and Eurostat data",exact,"sample_size, p_value, coefficient","Sample size        110,732        110,732        94,122-127,342        Below 94,122 or above 127,342
Focal variable P-value        p = 0.000        p = 0.000        p < 0.05        p >= 0.05
Focal variable coefficient        b = 0.17        b = 0.17        0.14 < b < 0.20        0.14 > b > 0.20
Focal test statistic        NA        NA        NA        NA
Effect size of focal variable        NA        NA        NA        NA",0,NA,"For this claim, a successful reproduction attempt is a focal coefficient within 15% accuracy of the original focal coefficient.",5,NEVER
2021-12-13T09:36:51Z,McLaren_WorldPolitics_2012_wRvv - Urbanska_PBR - 2yg82,Priya,Source Data Reproduction,NA,NA,bz6lqp,https://osf.io/e48gd/?view_only=d4fc515c15a14a01a8e36efbd1bd84cf,"Multiple data sources were used including European Social Survey Rounds 1-4, country election data, and country OECD and Eurostat data",exact,"sample_size, p_value, coefficient","Sample size        110,732        110,732        94,122-127,342        Below 94,122 or above 127,342
Focal variable P-value        p = 0.000        p = 0.000        p < 0.05        p >= 0.05
Focal variable coefficient        b = 0.13        b = 0.13        0.11 < b < 0.15        0.11 > b > 0.15
Focal test statistic        NA        NA        NA        NA
Effect size of focal variable        NA        NA        NA        NA",0,NA,"For this claim, a successful reproduction attempt is a focal coefficient within 15% accuracy of the original focal coefficient.",5,NEVER
2021-12-13T09:39:25Z,McLaren_WorldPolitics_2012_wRvv - Urbanska_PBR - 2yg82,Priya,Source Data Reproduction,NA,NA,gld3y5,https://osf.io/e48gd/?view_only=d4fc515c15a14a01a8e36efbd1bd84cf,"Multiple data sources were used including European Social Survey Rounds 1-4, country election data, and country OECD and Eurostat data",exact,"sample_size, p_value, coefficient","Sample size        110,732        110,732        94,122-127,342        Below 94,122 or above 127,342
Focal variable P-value        p = 0.000        p = 0.000        p < 0.05        p >= 0.05
Focal variable coefficient        b = 0.14        b = 0.14        0.12 < b < 0.16        0.12 > b > 0.16
Focal test statistic        NA        NA        NA        NA
Effect size of focal variable        NA        NA        NA        NA",0,NA,"For this claim, a successful reproduction attempt is a focal coefficient within 15% accuracy of the original focal coefficient.",5,NEVER
